"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","hgnc_symbol"
"ENSG00000166535",8.32642826745913,0.339922207755019,0.390360371228735,0.870790768758233,0.38386840655133,0.590360444835961,"ENSG00000166535","A2ML1"
"ENSG00000184389",1115.91541495221,0.0164280482085887,0.160004007341102,0.102672729774617,0.918222717723389,0.957776102048441,"ENSG00000184389","A3GALT2"
"ENSG00000128274",45.3994078701677,-0.00376830767284252,0.292993201083567,-0.0128614167800014,0.989738357028693,0.99565355243674,"ENSG00000128274","A4GALT"
"ENSG00000094914",169.182699698159,0.270138215513184,0.131275923393993,2.05778949047976,0.0396103453529635,0.148538795073613,"ENSG00000094914","AAAS"
"ENSG00000081760",81.2982240284599,0.220378983237953,0.195330066494531,1.1282389198599,0.259219031233422,0.467503080405231,"ENSG00000081760","AACS"
"ENSG00000114771",2279.69944005807,0.27439753229493,0.228103331336474,1.20295276130873,0.228994601251298,0.435642128559605,"ENSG00000114771","AADAC"
"ENSG00000103591",223.653562153836,0.0752407792354721,0.112236515659906,0.67037700514032,0.502617489467552,0.691149007157187,"ENSG00000103591","AAGAB"
"ENSG00000115977",179.010955635485,-0.140807877204662,0.246780613088737,-0.570579169256014,0.568284942195385,0.743303768034933,"ENSG00000115977","AAK1"
"ENSG00000087884",307.514690851744,0.822040378778709,0.226476678929355,3.62969106869996,0.000283760624585595,0.00833719019565202,"ENSG00000087884","AAMDC"
"ENSG00000127837",1084.68102472077,-0.00898447861602957,0.0872899692361339,-0.102926816158281,0.918021054509017,0.957776102048441,"ENSG00000127837","AAMP"
"ENSG00000131043",267.542074341642,-0.0153075746566406,0.0590553289335954,-0.25920733883056,0.795475269003324,0.892281273229635,"ENSG00000131043","AAR2"
"ENSG00000205002",13.4975812923179,-0.716135047401642,0.329190215604365,-2.17544451036274,0.0295968220883787,0.125137803485793,"ENSG00000205002","AARD"
"ENSG00000124608",130.563097526381,0.148006353487613,0.119114395604622,1.24255639073965,0.214031348340783,0.418081244419103,"ENSG00000124608","AARS2"
"ENSG00000266967",508.317644840278,0.217938762010888,0.104506520513074,2.08540826869864,0.0370322569161567,0.141635219579803,"ENSG00000266967","AARSD1"
"ENSG00000157426",101.598479169283,-0.0147148795543729,0.0766783074895469,-0.191904073474481,0.847817346578722,0.922087060227801,"ENSG00000157426","AASDH"
"ENSG00000149313",187.322826883115,0.233318073061089,0.111488095729054,2.09276220510677,0.0363703872356854,0.140668651638977,"ENSG00000149313","AASDHPPT"
"ENSG00000275700",353.521139127051,-0.00971008224819987,0.0804746305392524,-0.120660165609132,0.903960211641998,0.951229705570074,"ENSG00000275700","AATF"
"ENSG00000181409",42.928659003378,-0.119383422532219,0.218150506350168,-0.547252557555783,0.58420523270731,0.754889447258965,"ENSG00000181409","AATK"
"ENSG00000183044",2268.42142979774,0.25417545382753,0.293697714712842,0.86543218109833,0.386801624305926,0.592898544032345,"ENSG00000183044","ABAT"
"ENSG00000165029",88.3546229783314,-0.596089654775118,0.214498836427138,-2.77898782438198,0.0054528568932465,0.0457111029728178,"ENSG00000165029","ABCA1"
"ENSG00000144452",18.2308314740572,1.59549370495916,0.583937332052735,2.73230296708461,0.00628932771727185,0.0501530382197469,"ENSG00000144452","ABCA12"
"ENSG00000179869",17.1470938784501,0.543308441356632,0.259164378447199,2.09638548558217,0.0360480089015603,0.140370252460411,"ENSG00000179869","ABCA13"
"ENSG00000107331",736.72073838096,-0.0072447986875236,0.244974753044249,-0.0295736544174207,0.976407076849776,0.989071767732291,"ENSG00000107331","ABCA2"
"ENSG00000167972",2910.7862302224,-0.0947281181183956,0.178002793521747,-0.532172086989312,0.594606813595627,0.762854220606886,"ENSG00000167972","ABCA3"
"ENSG00000198691",8.72223735523477,-0.309581119138575,0.32471054114601,-0.953406434068825,0.340384182733044,0.550514325301128,"ENSG00000198691","ABCA4"
"ENSG00000154265",131.808939481415,-0.270399166974567,0.138244460936887,-1.95594937505679,0.0504711180631492,0.171694743095892,"ENSG00000154265","ABCA5"
"ENSG00000154262",11.2545659708099,-0.304088137937213,0.267426403904387,-1.13709092856042,0.255500275764686,0.463623270593843,"ENSG00000154262","ABCA6"
"ENSG00000064687",82.9482041001746,0.270495070848965,0.165497275011953,1.63443821555025,0.102166869459015,0.265734842028658,"ENSG00000064687","ABCA7"
"ENSG00000154258",26.7154782286883,-0.156649319819325,0.189233659942556,-0.827808963092918,0.407778697839588,0.609929709297939,"ENSG00000154258","ABCA9"
"ENSG00000085563",4996.23302452275,0.10072404539741,0.221426446336954,0.45488715130321,0.649190427024283,0.802290696239443,"ENSG00000085563","ABCB1"
"ENSG00000135776",239.492797736797,-0.0972285456226931,0.185001894167812,-0.525554325051931,0.59919789880177,0.766712117230313,"ENSG00000135776","ABCB10"
"ENSG00000005471",22.7078175520684,0.325160339030169,0.216866660080929,1.49935605089702,0.133781288591901,0.314267901883361,"ENSG00000005471","ABCB4"
"ENSG00000115657",1631.78153883794,-0.00687618059138518,0.176568983000119,-0.0389433097169763,0.968935586580436,0.985378919226765,"ENSG00000115657","ABCB6"
"ENSG00000131269",390.16009774287,-0.0139061616304068,0.0860959574464479,-0.161519333112203,0.871684385649781,0.936101799883836,"ENSG00000131269","ABCB7"
"ENSG00000150967",171.544963020182,0.290740654214928,0.15824712091654,1.83725714901484,0.0661719425713839,0.203457293580544,"ENSG00000150967","ABCB9"
"ENSG00000103222",620.810981223951,0.165645160454389,0.244710254765704,0.676903224235473,0.498467358275722,0.687159477500013,"ENSG00000103222","ABCC1"
"ENSG00000124574",430.740489414998,-0.0525486937801247,0.115988607428861,-0.453050475774997,0.650512395444441,0.802860169948508,"ENSG00000124574","ABCC10"
