"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2ML1",8.32642826745913,0.339922207755019,0.390360371228735,0.870790768758233,0.38386840655133,0.589510527739492
"A3GALT2",1115.91541495221,0.0164280482085887,0.160004007341102,0.102672729774617,0.918222717723389,0.957756147682391
"A4GALT",45.3994078701677,-0.00376830767284252,0.292993201083567,-0.0128614167800014,0.989738357028693,0.995575194645853
"AAAS",169.182699698159,0.270138215513184,0.131275923393993,2.05778949047976,0.0396103453529635,0.14704758207209
"AACS",81.2982240284599,0.220378983237953,0.195330066494531,1.1282389198599,0.259219031233422,0.466082390296113
"AADAC",2279.69944005807,0.27439753229493,0.228103331336474,1.20295276130873,0.228994601251298,0.433999600968769
"AAGAB",223.653562153836,0.0752407792354721,0.112236515659906,0.67037700514032,0.502617489467552,0.689869285782888
"AAK1",179.010955635485,-0.140807877204662,0.246780613088737,-0.570579169256014,0.568284942195385,0.741564628556014
"AAMDC",307.514690851744,0.822040378778709,0.226476678929355,3.62969106869996,0.000283760624585595,0.00804859910903233
"AAMP",1084.68102472077,-0.00898447861602957,0.0872899692361339,-0.102926816158281,0.918021054509017,0.957745560659114
"AAR2",267.542074341642,-0.0153075746566406,0.0590553289335954,-0.25920733883056,0.795475269003324,0.891403746879829
"AARD",13.4975812923179,-0.716135047401642,0.329190215604365,-2.17544451036274,0.0295968220883787,0.123658089506626
"AARS2",130.563097526381,0.148006353487613,0.119114395604622,1.24255639073965,0.214031348340783,0.416384660720926
"AARSD1",508.317644840278,0.217938762010888,0.104506520513074,2.08540826869864,0.0370322569161567,0.140156265905766
"AASDH",101.598479169283,-0.0147148795543729,0.0766783074895469,-0.191904073474481,0.847817346578722,0.921718393498418
"AASDHPPT",187.322826883115,0.233318073061089,0.111488095729054,2.09276220510677,0.0363703872356854,0.139164939266539
"AATF",353.521139127051,-0.00971008224819987,0.0804746305392524,-0.120660165609132,0.903960211641998,0.951097413193914
"AATK",42.928659003378,-0.119383422532219,0.218150506350168,-0.547252557555783,0.58420523270731,0.753278010749991
"ABAT",2268.42142979774,0.25417545382753,0.293697714712842,0.86543218109833,0.386801624305926,0.592130681553455
"ABCA1",88.3546229783314,-0.596089654775118,0.214498836427138,-2.77898782438198,0.0054528568932465,0.0445475467356358
"ABCA12",18.2308314740572,1.59549370495916,0.583937332052735,2.73230296708461,0.00628932771727185,0.0488516273522494
"ABCA13",17.1470938784501,0.543308441356632,0.259164378447199,2.09638548558217,0.0360480089015603,0.138821724608946
"ABCA17",76.1796777893451,-0.079340311287616,0.170594313234444,-0.465081805971928,0.641872874600592,0.796394320574921
"ABCA2",736.72073838096,-0.0072447986875236,0.244974753044249,-0.0295736544174207,0.976407076849776,0.989297822002537
"ABCA3",2910.7862302224,-0.0947281181183956,0.178002793521747,-0.532172086989312,0.594606813595627,0.761310773317009
"ABCA4",8.72223735523477,-0.309581119138575,0.32471054114601,-0.953406434068825,0.340384182733044,0.549435932261743
"ABCA5",131.808939481415,-0.270399166974567,0.138244460936887,-1.95594937505679,0.0504711180631492,0.170274867564183
"ABCA6",11.2545659708099,-0.304088137937213,0.267426403904387,-1.13709092856042,0.255500275764686,0.462288486339144
"ABCA7",82.9482041001746,0.270495070848965,0.165497275011953,1.63443821555025,0.102166869459015,0.26457739563227
"ABCA8A",70.1020126831538,-0.476949037612548,0.256300959920274,-1.86089446469849,0.0627590816211284,0.195326460587088
"ABCA9",26.7154782286883,-0.156649319819325,0.189233659942556,-0.827808963092918,0.407778697839588,0.609110381553998
"ABCB1",4996.23302452275,0.10072404539741,0.221426446336954,0.45488715130321,0.649190427024283,0.801142116728637
"ABCB10",239.492797736797,-0.0972285456226931,0.185001894167812,-0.525554325051931,0.59919789880177,0.765166729170392
"ABCB4",22.7078175520684,0.325160339030169,0.216866660080929,1.49935605089702,0.133781288591901,0.312817233161721
"ABCB6",1631.78153883794,-0.00687618059138518,0.176568983000119,-0.0389433097169763,0.968935586580436,0.985567328053692
"ABCB7",390.16009774287,-0.0139061616304068,0.0860959574464479,-0.161519333112203,0.871684385649781,0.935737397148455
"ABCB9",171.544963020182,0.290740654214928,0.15824712091654,1.83725714901484,0.0661719425713839,0.201939617779499
"ABCC1",620.810981223951,0.165645160454389,0.244710254765704,0.676903224235473,0.498467358275722,0.685963257321867
"ABCC10",430.740489414998,-0.0525486937801247,0.115988607428861,-0.453050475774997,0.650512395444441,0.801676181927332
"ABCC2",1488.01812956172,-1.09887441965745,0.403915380808997,-2.72055601709577,0.00651722286830416,0.0496445227287341
"ABCC3",793.542693642559,0.0860981386134671,0.0983323786272869,0.875582791908333,0.38125688365806,0.587307794906877
"ABCC4",75.2357177338375,-0.314817821374343,0.167662872641935,-1.87768357068935,0.0604244655636612,0.190241358030564
"ABCC5",1079.85347744879,-0.315636674947927,0.207683652722983,-1.51979547166833,0.128562387585676,0.305999331719102
"ABCC6",452.728178101971,0.215899459212295,0.273303082502296,0.789963498529079,0.42954908576956,0.629048446523191
"ABCC8",23.3873266885494,-0.186241639255315,0.211782125134854,-0.879402070107306,0.379183310098858,0.585760803110106
"ABCC9",34.1710902555692,-0.207146129558922,0.216679205433133,-0.956003734390872,0.339070347798673,0.548544723136997
"ABCD1",1268.45056817294,-0.0704552874395653,0.299126546318733,-0.235536726200462,0.813792177127415,0.901736885234153
"ABCD3",1858.61813740862,-0.460028745524167,0.143702413573179,-3.20125970111073,0.00136828149023948,0.0201993555202371
"ABCD4",544.24958127138,0.0246391562187857,0.141336219806592,0.174330092120071,0.861606051230059,0.93043162467168
"ABCE1",12658.4032132346,-0.118903261737146,0.125820261667037,-0.945024753261163,0.344646238865543,0.553281119402003
"ABCF1",1603.2607641709,0.00956187580819902,0.0575789973994519,0.166065340489761,0.868105529661972,0.934120033707878
"ABCF2",363.219112876659,-0.153096872773715,0.112239027812674,-1.36402529278169,0.172559605403365,0.364459694646973
