"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1M",18.4815521161925,0.274202072218254,0.351239236820178,0.780670390644984,0.4349963796743,0.620953347560122
"A2M",6.74251883898406,-0.599824121613402,0.594532953272022,-1.00889970574761,0.313022736348598,0.507948240114128
"A4GALT",167.703574352857,0.641831418030504,0.178978924983883,3.58607259535334,0.000335695543384992,0.00669064483994048
"A4GNT",57.7046625309508,0.192848669603817,0.143083398875815,1.34780604262269,0.177720773903012,0.360213375935656
"AAAS",142.177480982469,0.0743480903333553,0.0889913794446553,0.835452723593224,0.403462854880615,0.593910219194147
"AACS",30.8915134684574,-0.0747108710517701,0.244554971115461,-0.305497249599957,0.759987464417103,0.865088425053456
"AADAC",3008.31599669618,0.199351733316994,0.157413814034889,1.26641829079124,0.205363365872617,0.393942016715714
"AADAT",2370.92391862315,0.063430827275833,0.136918497481741,0.463274345267279,0.643167732335972,0.78363561698314
"AAGAB",160.764943795345,0.0624817887107051,0.0920801658079858,0.678558603391288,0.497417579901615,0.672842370931986
"AAK1",233.360361297602,-0.421537113991146,0.212327441163547,-1.98531622517154,0.0471092999727614,0.153265015022274
"AAMDC",220.457967282675,0.515304531899837,0.165565618207523,3.11238853500336,0.00185580079701723,0.020451060243042
"AAMP",963.74962251313,0.0698655278292366,0.0788447397284208,0.886115269958238,0.375555415377936,0.569057622247487
"AAR2",375.75144014516,0.0466260248155561,0.0556538892593756,0.837785560650665,0.402151149729442,0.592917674125024
"AARS2",167.499997699137,0.218210407027814,0.0952676454791141,2.29049858354747,0.0219924305937512,0.0963804705048357
"AARSD1",1671.38017487206,0.296177934481537,0.0977169764789058,3.03097726878065,0.00243763598675132,0.0242319073645946
"AASDH",133.259873782585,0.0741562920089114,0.0804653155662617,0.921593254025643,0.3567407785832,0.550353189900101
"AASDHPPT",151.326218129823,0.0447530994513198,0.0954237842789335,0.468993131948131,0.639074545215011,0.78085405737045
"AASS",386.788791823241,-0.394272978452047,0.154889151024482,-2.54551707362466,0.0109116027606605,0.0624894917701555
"AATF",396.476745012462,-0.15170393474568,0.0701655219960872,-2.16208659794678,0.0306115018602145,0.117972469517445
"AATK",70.7930639955905,-0.204569739813401,0.170877214697423,-1.19717388989303,0.231238784562719,0.423487799840565
"ABAT",4333.53767121656,-0.155215363168897,0.124686096506651,-1.24484900496198,0.213187258788113,0.4032063438213
"ABCA1",603.521026397887,-1.49262732357813,0.405815859871555,-3.67809016643795,0.000234986895714835,0.00542671458211047
"ABCA13",990.989261980504,-0.611606941217632,0.213391456988807,-2.86612664746796,0.0041552797341474,0.0342342896514545
"ABCA17",126.742708549705,0.572728057249006,0.161127483107788,3.55450259758525,0.000378694770801677,0.00726011974879786
"ABCA2",1703.56365892676,-0.0504181191002293,0.159079265370413,-0.316937087827453,0.751291339588354,0.858964104463095
"ABCA3",4462.50175998661,0.338257114697914,0.154532811671607,2.1889015739695,0.0286039946591405,0.11279107002713
"ABCA4",46.7386708947239,-0.328206102215974,0.218814495858907,-1.49992851674509,0.133632920209073,0.301235238948337
"ABCA5",210.803557831402,-0.018196268262723,0.105101707343879,-0.173130092008755,0.862549172095162,0.925621403870757
"ABCA6",10.2294232479816,-0.772521019575702,0.336879348297391,-2.29316823212842,0.0218383213307814,0.0959967801802507
"ABCA7",50.8317606280553,-0.318382482501601,0.171067996678242,-1.86114579397595,0.0627235907811393,0.183551340257457
"ABCA8A",175.117077508188,0.489562170907348,0.226129835036708,2.16496054502439,0.0303907069098975,0.117478970642779
"ABCA9",37.533271548683,0.0655064211497083,0.179224182732829,0.365499901580577,0.714738280264324,0.834955890224636
"ABCB1",95.3432707445039,-0.308504975107618,0.154989843428201,-1.99048510717758,0.0465375229461789,0.152426063650765
"ABCB10",260.273337973044,0.106292548063642,0.151074031622172,0.703579211611125,0.481694861210993,0.659328029658474
"ABCB11",14.0230305327366,0.220901903279536,0.40674560552401,0.543095980090428,0.587063720269986,0.744472738541981
"ABCB4",10.1792137914661,0.00847257830659714,0.327674230763905,0.0258567122805021,0.979371627087608,0.98843301807489
"ABCB6",582.819669407644,0.190602469778967,0.0792363065952204,2.40549412219151,0.0161506117656219,0.079134721665388
"ABCB7",438.165972679883,0.0598066314014188,0.114230128807466,0.523562671475427,0.60058275035923,0.754056067817784
"ABCB9",294.54631164748,1.38307574097648,0.273373738589519,5.05928531435574,4.20830785277468e-07,9.77460427804089e-05
"ABCC1",349.631684497547,-0.209740101047946,0.129118881296547,-1.6243952777614,0.104291474273114,0.255196907557641
"ABCC10",244.059611990738,0.112905303228371,0.0949344259967362,1.18929779205968,0.234322503880251,0.426933880670136
"ABCC2",703.555211983069,0.202995109707628,0.158409800903871,1.28145549422673,0.200033722787952,0.386561168613262
"ABCC3",197.528167570409,0.236740444825417,0.175010896597731,1.35271831313209,0.176145637677397,0.358106982572232
"ABCC4",1744.57431562756,-0.331276956287565,0.173301757688435,-1.91156143311103,0.0559324700586272,0.171345276192508
"ABCC5",207.582180345841,-0.192510484691696,0.11598955593905,-1.65972257702974,0.096970275323751,0.243108453299079
"ABCC6",316.003648980147,0.304808830313967,0.204087718386729,1.49351873166802,0.135301454728386,0.303576885521736
"ABCC8",18.9393780246893,-0.458329072041753,0.299039772867831,-1.53266927554926,0.125357363074564,0.288833695386223
"ABCC9",15.1458758669129,-0.568748922821515,0.206010001924427,-2.76078305668943,0.0057662965639775,0.0421072127567837
"ABCD1",104.401812064575,0.184341360427453,0.119236441976209,1.54601527328561,0.122100879231812,0.284017148700913
"ABCD3",2718.54444998754,-0.0520211152055857,0.180575709789982,-0.288084788735367,0.773281836102916,0.872787404583779
"ABCD4",538.116329392345,0.124311284620032,0.1120611655004,1.10931636365667,0.26729372832334,0.463556332126344
"ABCE1",8800.68337392337,0.205553007961223,0.120826702243882,1.70122170136138,0.0889013642719951,0.230023709870856
"ABCF1",1450.96243601195,0.0717164155220313,0.07526507308367,0.952851204200736,0.340665466379437,0.534882514223857
"ABCF2",403.159670070661,-0.150861746963436,0.121990330472268,-1.2366697129141,0.216209727216532,0.406889018115613
"ABCF3",1042.71342666335,0.00788616035535091,0.0541004742351609,0.145768784226766,0.88410391921794,0.936561774868083
"ABCG1",126.736696718658,-1.04348912907099,0.372201848480895,-2.80355708422698,0.00505422842249949,0.0387833360145799
"ABCG2",1080.77001444059,0.20304634318019,0.132700180771707,1.53011353865075,0.125988627648613,0.289514962850066
"ABCG3",122.388689867675,0.029631355265871,0.21842364908254,0.13566001387823,0.892090059713396,0.941100859570128
"ABHD1",1472.19987772017,-0.0831921793700067,0.229440760860131,-0.362586748135486,0.716913611014411,0.836409346877569
"ABHD10",272.877018706194,0.0910679740776698,0.11963955476257,0.761186166718844,0.446545879531821,0.630782202938425
"ABHD11",80.8020150292185,0.0339120107092218,0.0915999062250224,0.370218836533678,0.711219442635579,0.832777922097988
"ABHD12",191.06092403221,0.0559884796163931,0.0890199949416881,0.628942740932168,0.529386543137203,0.69970788662849
"ABHD12B",26.1088816888667,0.0428653211619261,0.213447161937754,0.200824038946119,0.840836165479683,0.913238877475597
