"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","hgnc_symbol"
"ENSG00000121410",1320.87125474898,3.89199754114256,0.584185027160787,6.66226856251033,2.6963272362009e-11,9.57555679149481e-08,"ENSG00000121410","A1BG"
"ENSG00000175899",10.5639217936773,-0.238636567348819,0.312349780473654,-0.764004274268882,0.444864695456565,0.612133518199918,"ENSG00000175899","A2M"
"ENSG00000094914",95.0037035700184,0.19418370754837,0.0890268822435737,2.18118059011762,0.0291700618790779,0.104779995370043,"ENSG00000094914","AAAS"
"ENSG00000081760",66.1812015726202,-1.90537321522724,0.587506418779538,-3.24315301811576,0.00118214703400107,0.0133700578558889,"ENSG00000081760","AACS"
"ENSG00000114771",3094.53530365169,0.163854460171365,0.114411309538184,1.43215265022973,0.152100139297389,0.306706405798793,"ENSG00000114771","AADAC"
"ENSG00000109576",1928.79259331588,0.675741636735878,0.18098533922534,3.73368163204937,0.0001887009976185,0.00426840855334926,"ENSG00000109576","AADAT"
"ENSG00000103591",117.201421778321,-0.0726135371701503,0.104618743560594,-0.694077702511244,0.487633481044878,0.648352315868231,"ENSG00000103591","AAGAB"
"ENSG00000115977",66.6731961071533,-0.32250661614122,0.211479947580325,-1.52499856289554,0.127259456105785,0.273409679374905,"ENSG00000115977","AAK1"
"ENSG00000087884",132.589299968773,-0.0779794684658013,0.163031410242451,-0.478309476375347,0.632429952580605,0.761517711888987,"ENSG00000087884","AAMDC"
"ENSG00000127837",895.485838233808,-0.255740672892977,0.0602082708997663,-4.24760035575063,2.16072386179527e-05,0.0010915578080481,"ENSG00000127837","AAMP"
"ENSG00000131043",236.526674159994,0.110493222095408,0.0760341459027168,1.45320527749178,0.146166767317051,0.29872640303009,"ENSG00000131043","AAR2"
"ENSG00000124608",123.868347796391,0.18711844835769,0.102248891175754,1.83002912017946,0.0672455845413219,0.179827926130332,"ENSG00000124608","AARS2"
"ENSG00000266967",560.52146527332,-0.165832930759562,0.0916866041462864,-1.80869312702404,0.0704986913458931,0.185679849431043,"ENSG00000266967","AARSD1"
"ENSG00000157426",101.580575144192,-0.0193210681919968,0.103919539732435,-0.185923342633574,0.852504876574206,0.915412518421463,"ENSG00000157426","AASDH"
"ENSG00000149313",117.023860578465,-0.0858936329176616,0.0948501181127186,-0.905572229394451,0.365162313155409,0.540488925306714,"ENSG00000149313","AASDHPPT"
"ENSG00000008311",254.474197381009,-1.19887785464278,0.293841972044509,-4.08000887790524,4.50339807991401e-05,0.0017258706166692,"ENSG00000008311","AASS"
"ENSG00000275700",241.612080280332,-0.27686704712691,0.111296752743712,-2.48764712627746,0.0128591252752471,0.0622449435177111,"ENSG00000275700","AATF"
"ENSG00000181409",47.3369717921008,0.112016879399257,0.115226616841694,0.972144131881905,0.330978849664925,0.505845454644973,"ENSG00000181409","AATK"
"ENSG00000183044",2613.74251387127,0.0354339396981065,0.192833464661391,0.183754099737446,0.854206365986628,0.916486870415059,"ENSG00000183044","ABAT"
"ENSG00000165029",848.333117822412,-0.29617350918884,0.175821131102007,-1.68451600403485,0.0920819891671778,0.219570616066946,"ENSG00000165029","ABCA1"
"ENSG00000107331",192.006100778179,0.895424081714501,0.24053017191376,3.72271002257275,0.000197095840216417,0.0043296063539499,"ENSG00000107331","ABCA2"
"ENSG00000167972",953.933495665111,0.421658698919813,0.147304383329475,2.86249933226149,0.00420314146209501,0.0306924394360249,"ENSG00000167972","ABCA3"
"ENSG00000154265",54.1993807790229,0.0121950526577957,0.119084654860884,0.102406583552198,0.918433958228695,0.954261302025406,"ENSG00000154265","ABCA5"
"ENSG00000154262",1084.53067755435,-0.498146794100886,0.18461535632737,-2.69829554816419,0.00696955341830091,0.0420224233834623,"ENSG00000154262","ABCA6"
"ENSG00000064687",14.2283998419225,0.318242631200521,0.228969968095273,1.38988808815356,0.164562863329029,0.322111472700253,"ENSG00000064687","ABCA7"
"ENSG00000154258",85.9807815634406,0.33879557287638,0.447867144543646,0.756464449343778,0.449370779383756,0.616068479859903,"ENSG00000154258","ABCA9"
"ENSG00000085563",591.953762248499,0.0418311766110816,0.0833866392511032,0.501653226305413,0.615911471655459,0.750620089112018,"ENSG00000085563","ABCB1"
"ENSG00000135776",329.284232255662,0.0557126950245486,0.173646321531381,0.320840053121887,0.748331604659889,0.846451312883157,"ENSG00000135776","ABCB10"
"ENSG00000073734",5370.82982677311,0.250757483733214,0.22573276293301,1.1108599410872,0.266628640680554,0.440171962916973,"ENSG00000073734","ABCB11"
"ENSG00000005471",1828.21193449073,-0.117949001843744,0.194579928691325,-0.606172500098168,0.544400211831856,0.695782132540378,"ENSG00000005471","ABCB4"
"ENSG00000115657",258.017880748496,0.133003950479284,0.0903384802569781,1.47228456911096,0.140944048485939,0.291701860626053,"ENSG00000115657","ABCB6"
"ENSG00000131269",310.50561969456,-0.0559035641169908,0.0760523062240192,-0.735067309495147,0.462298502293564,0.627190658784622,"ENSG00000131269","ABCB7"
"ENSG00000103222",68.7860182536454,0.247419444548849,0.183612755630795,1.34750684231522,0.177817051242618,0.338055471794941,"ENSG00000103222","ABCC1"
"ENSG00000124574",221.149661312244,-0.00536531512418391,0.0808489076250682,-0.0663622463406089,0.947089426971612,0.968873758353652,"ENSG00000124574","ABCC10"
"ENSG00000023839",2764.40444604624,0.20080014253477,0.125995534112281,1.5937084115682,0.111001359353767,0.248970206853692,"ENSG00000023839","ABCC2"
"ENSG00000108846",163.888026803769,0.0933111053377773,0.199218613111112,0.468385478046341,0.639508951085458,0.76625043789198,"ENSG00000108846","ABCC3"
"ENSG00000125257",1038.38736897507,0.552060149845856,0.1961049624211,2.81512585418622,0.00487581350433181,0.0338637008312589,"ENSG00000125257","ABCC4"
"ENSG00000114770",72.3555128294755,0.232486195423795,0.148133736260609,1.56943449407626,0.116546731847909,0.258164853380315,"ENSG00000114770","ABCC5"
"ENSG00000091262",3537.4873972365,0.333384923934483,0.16618223129995,2.00614061639803,0.0448412474722843,0.138314606418563,"ENSG00000091262","ABCC6"
"ENSG00000069431",11.9470235159392,0.0911773652816672,0.200382136839261,0.455017431792367,0.649096698029128,0.774062706604246,"ENSG00000069431","ABCC9"
"ENSG00000101986",871.76482139022,-0.00867351144993832,0.149519680404034,-0.0580091625831507,0.953741330132864,0.97267673362085,"ENSG00000101986","ABCD1"
"ENSG00000173208",16.0751695719045,1.42774844693355,0.476802598679407,2.99442253647099,0.00274964866513492,0.023121355073676,"ENSG00000173208","ABCD2"
"ENSG00000117528",1648.07479977145,0.084388535697296,0.180735931611992,0.466916207223604,0.640559829248665,0.767145281116825,"ENSG00000117528","ABCD3"
"ENSG00000119688",265.056975090661,0.0981594441625956,0.107627252208538,0.912031498977619,0.361752136229646,0.536933304456763,"ENSG00000119688","ABCD4"
"ENSG00000164163",3766.41320864864,-0.292723010196619,0.0680660691641824,-4.30057169146261,1.70358045704127e-05,0.000930766471247061,"ENSG00000164163","ABCE1"
"ENSG00000204574",1206.86743259067,-0.0669444513358369,0.053276415654587,-1.25654946026898,0.208916825320135,0.376170332425336,"ENSG00000204574","ABCF1"
"ENSG00000033050",341.26030964071,-0.384107976619353,0.127528038905494,-3.01194921458803,0.00259576020662129,0.022313924035683,"ENSG00000033050","ABCF2"
