"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",1320.87125474898,3.89199754114256,0.584185027160787,6.66226856251033,2.6963272362009e-11,9.99888016757835e-08
"A1M",3495.5240638601,0.37200896639248,0.137343305706713,2.70860646959292,0.00675664292466875,0.0411721973190802
"A2M",10.5639217936773,-0.238636567348819,0.312349780473654,-0.764004274268882,0.444864695456565,0.612914951922235
"AAAS",95.0037035700184,0.19418370754837,0.0890268822435737,2.18118059011762,0.0291700618790779,0.104616809897147
"AACS",66.1812015726202,-1.90537321522724,0.587506418779538,-3.24315301811576,0.00118214703400107,0.0132042025635159
"AADAC",3094.53530365169,0.163854460171365,0.114411309538184,1.43215265022973,0.152100139297389,0.306408984567906
"AADAT",1928.79259331588,0.675741636735878,0.18098533922534,3.73368163204937,0.0001887009976185,0.00416527499703535
"AAGAB",117.201421778321,-0.0726135371701503,0.104618743560594,-0.694077702511244,0.487633481044878,0.648836559816322
"AAK1",66.6731961071533,-0.32250661614122,0.211479947580325,-1.52499856289554,0.127259456105785,0.273158118245307
"AAMDC",132.589299968773,-0.0779794684658013,0.163031410242451,-0.478309476375347,0.632429952580605,0.762250547735347
"AAMP",895.485838233808,-0.255740672892977,0.0602082708997663,-4.24760035575063,2.16072386179527e-05,0.0010641628262379
"AAR2",236.526674159994,0.110493222095408,0.0760341459027168,1.45320527749178,0.146166767317051,0.298422698917634
"AARS2",123.868347796391,0.18711844835769,0.102248891175754,1.83002912017946,0.0672455845413219,0.179919944209285
"AARSD1",560.52146527332,-0.165832930759562,0.0916866041462864,-1.80869312702404,0.0704986913458931,0.18567659593349
"AASDH",101.580575144192,-0.0193210681919968,0.103919539732435,-0.185923342633574,0.852504876574206,0.915918758606307
"AASDHPPT",117.023860578465,-0.0858936329176616,0.0948501181127186,-0.905572229394451,0.365162313155409,0.541224451619228
"AASS",254.474197381009,-1.19887785464278,0.293841972044509,-4.08000887790524,4.50339807991401e-05,0.00166446191491838
"AATF",241.612080280332,-0.27686704712691,0.111296752743712,-2.48764712627746,0.0128591252752471,0.0619565910295035
"AATK",47.3369717921008,0.112016879399257,0.115226616841694,0.972144131881905,0.330978849664925,0.506414482536417
"ABAT",2613.74251387127,0.0354339396981065,0.192833464661391,0.183754099737446,0.854206365986628,0.91701686978686
"ABCA1",848.333117822412,-0.29617350918884,0.175821131102007,-1.68451600403485,0.0920819891671778,0.219736621511123
"ABCA17",26.9843443771456,0.503135563316422,0.183084532642101,2.74810523890605,0.00599407664160019,0.0381269883578057
"ABCA2",192.006100778179,0.895424081714501,0.24053017191376,3.72271002257275,0.000197095840216417,0.00423299463785258
"ABCA3",953.933495665111,0.421658698919813,0.147304383329475,2.86249933226149,0.00420314146209501,0.0304823655578925
"ABCA5",54.1993807790229,0.0121950526577957,0.119084654860884,0.102406583552198,0.918433958228695,0.954556967983392
"ABCA6",1084.53067755435,-0.498146794100886,0.18461535632737,-2.69829554816419,0.00696955341830091,0.0417985346515351
"ABCA7",14.2283998419225,0.318242631200521,0.228969968095273,1.38988808815356,0.164562863329029,0.321694228524943
"ABCA8A",621.082311179529,0.250271490020261,0.200892737332962,1.24579660441113,0.212839076515334,0.381048394952219
"ABCA9",85.9807815634406,0.33879557287638,0.447867144543646,0.756464449343778,0.449370779383756,0.616645218779242
"ABCB1",591.953762248499,0.0418311766110816,0.0833866392511032,0.501653226305413,0.615911471655459,0.751317447606029
"ABCB10",329.284232255662,0.0557126950245486,0.173646321531381,0.320840053121887,0.748331604659889,0.846744212961887
"ABCB11",5370.82982677311,0.250757483733214,0.22573276293301,1.1108599410872,0.266628640680554,0.440389125235863
"ABCB4",1828.21193449073,-0.117949001843744,0.194579928691325,-0.606172500098168,0.544400211831856,0.69621190217598
"ABCB6",258.017880748496,0.133003950479284,0.0903384802569781,1.47228456911096,0.140944048485939,0.291573381811921
"ABCB7",310.50561969456,-0.0559035641169908,0.0760523062240192,-0.735067309495147,0.462298502293564,0.627663026362692
"ABCC1",68.7860182536454,0.247419444548849,0.183612755630795,1.34750684231522,0.177817051242618,0.33792529809944
"ABCC10",221.149661312244,-0.00536531512418391,0.0808489076250682,-0.0663622463406089,0.947089426971612,0.969179793888994
"ABCC2",2764.40444604624,0.20080014253477,0.125995534112281,1.5937084115682,0.111001359353767,0.248668973582493
"ABCC3",163.888026803769,0.0933111053377773,0.199218613111112,0.468385478046341,0.639508951085458,0.766919817674313
"ABCC4",1038.38736897507,0.552060149845856,0.1961049624211,2.81512585418622,0.00487581350433181,0.0336706550190511
"ABCC5",72.3555128294755,0.232486195423795,0.148133736260609,1.56943449407626,0.116546731847909,0.2577873104987
"ABCC6",3537.4873972365,0.333384923934483,0.16618223129995,2.00614061639803,0.0448412474722843,0.138264655800766
"ABCC9",11.9470235159392,0.0911773652816672,0.200382136839261,0.455017431792367,0.649096698029128,0.774806949095928
"ABCD1",871.76482139022,-0.00867351144993832,0.149519680404034,-0.0580091625831507,0.953741330132864,0.973043485762535
