"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2ML1",8.14294322956614,0.327197262551958,0.319753655413742,1.02327919325452,0.306175858537012,0.448249769364933
"A3GALT2",7.23828375203726,-0.37961527413638,0.264262912513971,-1.43650605574973,0.150858394416099,0.264733469902801
"A4GALT",111.633496052115,0.19242894061393,0.139250701232477,1.3818884853777,0.167005944012193,0.285784864128759
"AAAS",150.539262828832,-0.0563083418480384,0.0862157986798092,-0.653109322308293,0.513685802749496,0.645498430432741
"AACS",389.950171401922,0.835815450116899,0.140431184031444,5.95177955581257,2.65242481828172e-09,9.53546722172278e-07
"AADAC",367.687031196755,0.951248563569697,0.209491997263889,4.54073938858602,5.60572891243617e-06,0.000138977494971556
"AAGAB",138.595817368024,0.125170844558117,0.0703222945500614,1.77995961819774,0.0750825696406914,0.155950900693868
"AAK1",180.6204991499,-0.28649686866721,0.201356352704818,-1.42283501274581,0.154783988918193,0.270143396084085
"AAMDC",110.500134829412,0.604104419625978,0.158689930064111,3.80682264704457,0.000140763613938486,0.00134745761212417
"AAMP",559.253977897796,-0.00359589013314085,0.0825841849248482,-0.0435421156776339,0.965269392887406,0.978018494804647
"AAR2",286.434993752206,0.0161963146013141,0.0426108953704132,0.380097964629018,0.703872696601129,0.800766564645905
"AARD",23.3497226694301,1.06762825189045,0.377565331103505,2.82766494680564,0.0046888852840504,0.0184959512520779
"AARS2",97.0631593826642,-0.0739370801700311,0.0981827388164543,-0.7530557923043,0.451416388093306,0.592638556979464
"AARSD1",391.645920945323,0.0211481758507272,0.0874323326889817,0.241880494324181,0.808872764695486,0.874482609697517
"AASDH",103.311602121224,-0.0709828924168834,0.0724147291490635,-0.980227272144695,0.32697394530431,0.469770959161677
"AASDHPPT",107.297901164919,0.173374628373549,0.0890531118448697,1.94686771502794,0.0515505961168012,0.117067523239804
"AASS",23.2743066442274,0.0702463380025976,0.159626198344289,0.440067725293358,0.659888056669769,0.767595832232622
"AATF",232.717170622175,-0.188870608382288,0.0828010911358935,-2.28101593579621,0.0225475039096059,0.0624860376013105
"AATK",259.135316166425,-0.249444500840425,0.108734135494062,-2.29407719762529,0.0217860648795821,0.0609369465466937
"ABAT",35.8198855019007,0.0859591332996179,0.283711150352633,0.30298115950951,0.761904219712997,0.842293259099646
"ABCA1",509.78201263957,-0.54848315378636,0.207502853056154,-2.64325596351164,0.00821129340512525,0.028414588034527
"ABCA13",18.800221936181,0.00940639604409931,0.371160879301203,0.025343177497071,0.979781234316732,0.987104270858945
"ABCA17",119.317157268139,0.00500947139245665,0.105132204421349,0.0476492566671551,0.96199577544121,0.976176048750207
"ABCA2",628.831566692349,-0.0563404841896374,0.162467023130829,-0.346781045801944,0.728755817804848,0.820135460350464
"ABCA3",4957.46603235777,-0.0146347046093992,0.101722801762409,-0.143868477429289,0.885604328052916,0.926084491320021
"ABCA4",78.608822705789,-0.392467993942454,0.164359822442607,-2.38785846875383,0.0169468666862605,0.0500808516388418
"ABCA5",534.395649592598,-0.12402603701116,0.135756172315118,-0.913594092232285,0.360930171822924,0.506029496666914
"ABCA6",163.386220741298,0.0816694954709854,0.143170363833075,0.570435761176143,0.568382180385276,0.693243066491965
"ABCA7",278.643964916533,-0.122905851825835,0.0721817745383229,-1.7027269364316,0.0886191815269466,0.176719483408589
"ABCA8A",236.085370423668,0.130738661176531,0.230406680378052,0.56742565346636,0.570425024844172,0.694973359736101
"ABCA9",107.461626467371,-0.0189077123780942,0.163504482964645,-0.115640330070844,0.907937598532145,0.939741554718732
"ABCB1",264.151164342702,0.191550744597477,0.137878274207688,1.38927431241953,0.164749351966713,0.283034448212978
"ABCB10",87.4435815214674,-0.159777204452413,0.108719289523375,-1.46963068975962,0.141661803690179,0.252463104290594
"ABCB4",22.2047299221851,0.548742190887158,0.235264583439566,2.33244708091865,0.0196771837662797,0.0560682765969158
"ABCB6",215.580614218548,-0.0195064906384487,0.102860133025388,-0.189640923696202,0.849590516602841,0.901647345565582
"ABCB7",194.724358937327,0.0834702546340953,0.0844871659218353,0.987963718789185,0.323170417183297,0.465909718078002
"ABCB9",59.2890041286256,-0.0362496201540764,0.113937401719745,-0.318153824880442,0.7503682566928,0.835763854346924
"ABCC1",1106.31037337789,0.024258324113679,0.0929829788166011,0.260889943755468,0.79417738008886,0.864517087485073
"ABCC10",222.745518286237,-0.0262672236600278,0.0841119724814441,-0.312288760863653,0.754821080782751,0.838459739721085
"ABCC3",215.290227355359,-0.0945206023467451,0.113419061775252,-0.833374927170921,0.404633310740202,0.548065338314987
