"","sex","total_weight_delta","pro_weight","Na","BUN","AnGap","K","Crea","Hct","Cl","Glu","Hb.","TCO2","iCa","trt","mean_RQ","mean_EE","mean_H2Og","body_temp_3"
"MEmidnightblue",0.429395516669081,0.980129364111903,0.766772564314994,0.281951354188093,0.296179866175953,0.985572658653501,0.389986855602681,0.643731032206343,0.883700508152338,0.159006798752415,0.976106138842787,0.898376028651825,0.853090775398349,0.0912594122073043,0.741573168173491,0.789036998019306,0.385590959933455,0.222490899741528,0.554558353597038
"MEgrey60",0.788195974749637,1.93766836151475e-05,3.96994569748396e-06,5.49703362779009e-07,6.01241863062738e-07,0.857580268085756,0.639073759286588,0.265167051899018,3.08825962868019e-06,1.090353492645e-05,0.680237958828182,3.06486709346369e-06,0.00125534792901572,0.715701936063384,0.000144804589801742,0.248024272611333,0.2891574597439,0.0140792972646075,0.0150622209768488
"MEred",0.533134492646933,0.000176179713347966,1.22009411881814e-05,4.65051487679812e-10,0.000542938287332014,0.466471816755651,0.23591582975193,0.515229029302161,0.000212225181954687,8.84936661420983e-08,0.504551282878409,0.000234341631737744,0.00661628691036671,0.148685004713688,0.000651849764197008,0.249837871843889,0.61569664386545,0.174258757779785,0.0441952318124992
"MEblue",0.887065065091223,0.0173785226234017,0.0176632579560779,0.00459853866285301,0.0105357572997304,0.275795789242552,0.142213348196994,0.870234618438067,0.0150279714358833,0.0417210208315076,0.839416724022133,0.0157804365672256,0.0761441924117842,0.517844087249215,0.080794305382833,0.162202508600156,0.576763583433007,0.316212471164019,0.368868383988064
"MEcyan",0.568007682839782,0.025250073034456,0.0111252323073337,0.00807013007413241,0.0422048702264651,0.346351571698325,0.287747130898842,0.914571154475922,0.00537218727445823,0.0634198061405196,0.504281561013785,0.00550196934515029,0.0503505643560917,0.0640544290464602,0.0572494850712165,0.262225515040126,0.66991948322035,0.665258811346349,0.0881437822680033
"MElightcyan",0.575233147474153,0.409290313784527,0.317004955396624,0.667486329992013,0.169734499467263,0.105347236488877,0.130756841528718,0.00111426555104125,0.0513370264650998,0.544963636124004,0.830811460835518,0.0493281643619015,0.112995762808421,0.356276659040376,0.384286735583966,0.14960609392442,0.462520529053805,0.147553561912261,0.223473746459165
"MEtan",0.631061804767015,0.894884022240774,0.846180272852414,0.968666860791621,0.741176514300214,0.0702060620533102,0.829464583353252,0.242049245950715,0.400421162380395,0.808489131638828,0.595492046961968,0.402634134040319,0.484004662546322,0.211288380393039,0.825090561600744,0.985709426743615,0.830183301507128,0.361862426310851,0.197382748643141
"MEroyalblue",0.43812074277284,0.461838152682961,0.312529608687586,0.711394402760202,0.322750835804905,0.352171091614069,0.878780229267353,0.0518607384937726,0.0900478057113302,0.997153030751006,0.773867541296352,0.0910271242510215,0.118388395468524,0.590623592578271,0.468761629179333,0.301761421819886,0.767174646900202,0.683826842852432,0.184168306730539
"MEsalmon",0.682068399034651,0.00337364029110216,0.000733682422375266,0.00087924641147874,0.00528622992951267,0.818789257362193,0.451045040871177,0.142197837778063,0.000128110322846882,0.00317026565443348,0.926064828542162,0.000141104048505791,0.0181665463967582,0.233883262695597,0.00384249063183918,0.128863155410302,0.616264827964709,0.240399931594211,0.0375016207966331
"MEdarkred",0.933637471330578,0.636518739808582,0.594671114779513,0.197221996868222,0.597732065830479,0.585840676689284,0.94435882738091,0.395195722889937,0.871159979170016,0.0724337716358362,0.110721022122599,0.864935365999498,0.871559123344271,0.394008231691717,0.599854442758878,0.83951519533079,0.295759425832427,0.383244829856185,0.795533463271802
"MEgreen",0.422922027843454,0.55020555712328,0.733745789065969,0.728768024910902,0.521645274336927,0.893028914375541,0.899687752378718,0.295540770024905,0.0613020444959254,0.368347128046192,0.274155792729328,0.0615088260947249,0.413222972094648,0.94838904197256,0.614523926403091,0.0905538345830873,0.948830866056724,0.516460594046225,0.678289928192458
"MEgreenyellow",0.360007582517651,0.00287122125773664,0.0046006862550298,0.0223028302951781,0.000355237033636863,0.990255680744227,0.8537671907212,0.140724540354603,4.25177337077984e-05,0.142184312227849,0.61306210265995,4.25433032086223e-05,0.00801479654875673,0.948992104197408,0.00714194442714992,0.0143554525600762,0.260161085228674,0.00950031014313398,0.174739280156919
"MElightgreen",0.992327609060839,0.669218949139324,0.455848487838834,0.536483834372292,0.847736074277954,0.158427200213722,0.663700238188764,0.295336460080532,0.0806449460783233,0.34534595294429,0.801331246118587,0.0801830872642394,0.39639129367422,0.424477719730947,0.428481539451564,0.978985895299541,0.472015143039543,0.370561908448094,0.105688319471374
"MEmagenta",0.710274472799116,0.868573572826171,0.879316230071529,0.228990385343739,0.55579180597491,0.0850726548521066,0.316638475438521,0.0382032348982551,0.225383340077223,0.167443018318278,0.607089799463546,0.218935502655892,0.313619035588312,0.641810137527884,0.884636836868714,0.430669602465212,0.63670802257067,0.921594512346235,0.349310706271462
"MEyellow",0.750385514182457,0.00823768492963184,0.00546977139561296,0.000108765404625887,0.0184973328269629,0.104097038080793,0.33876054678282,0.463096178760294,0.161515413531017,0.000308329454136877,0.432216056208337,0.166760186617933,0.318287700970124,0.80778552003418,0.022250347795022,0.668609788173483,0.570720054415723,0.106148457111275,0.672623969755314
"MEdarkgreen",0.46555380786144,0.0891467756815835,0.149235063648397,0.12574636416024,0.0510101437586482,0.704306118533001,0.531836646500367,0.456997251152976,0.217140758486088,0.198730782643752,0.445090020705888,0.22493976379124,0.418984293466975,0.39320589972596,0.17733245687857,0.203031393942458,0.095281063230271,0.0863895394200035,0.891512451473969
"MEblack",0.362441234778438,0.725602570124111,0.926735935999838,0.778089365982519,0.496565248429368,0.930687139452582,0.468121410077825,0.769038274931624,0.237454082754891,0.337278170982468,0.396841774266809,0.238123844879239,0.409795955159568,0.678087865678754,0.981553846746681,0.179898299376643,0.705390848207366,0.879029814478127,0.764360412502815
"MEturquoise",0.827465750696381,0.00626318132773044,0.00585826087946043,0.00138444798637224,0.00964186839488188,0.34162692546756,0.139332644356055,0.943570130088579,0.0031231053739045,0.0185510606320277,0.700419397291612,0.00331802795995598,0.042200565357125,0.187866005817562,0.0339238261569315,0.103554379523742,0.578660821440512,0.237198218022571,0.184698163853776
"MEpink",0.283564286431493,0.00227168816169399,0.000508736563664999,0.000150700674881137,0.00518736256271972,0.817890725244522,0.551278163444476,0.84529013570873,0.0480209752135166,0.000132090601142763,0.59018994878617,0.0491363922498108,0.107608645034924,0.721529943337294,0.00676076385140689,0.74883264330073,0.598170603363959,0.203959052232554,0.270296865437061
"MEpurple",0.966783779371765,0.00459264365922835,0.0027807909153125,6.6596256348409e-05,0.00626388598406023,0.10355888562186,0.340501558384887,0.384810088333936,0.0793850508627118,0.000276463085434346,0.394453397726594,0.0813388287284017,0.21938072725361,0.803861907542473,0.0182297544395809,0.572417658830926,0.616429116038526,0.164397652825503,0.480965840276963
"MElightyellow",0.937385143126279,0.00343371706114879,0.00128126899750111,0.0015627767778699,2.36442372408015e-05,0.763161098529339,0.901404249494851,0.171843018940628,5.67721610228196e-05,0.011455251289628,0.881047926980423,5.42913340757866e-05,0.00321402185788865,0.57354970082632,0.00916258543269036,0.321669659351508,0.804359443480013,0.0780375989222227,0.0618325606470158
"MEbrown",0.197924681120208,0.00015510890493445,1.21204368144029e-05,5.95998735380149e-05,0.00121250695359852,0.59127708400757,0.394498315867316,0.368354572199581,6.72382562899758e-05,0.000383236499804506,0.762599920287637,7.64354877699049e-05,0.0305934436739903,0.659964084581437,0.000126110331046497,0.171011479305241,0.939096374237611,0.0315076679001494,0.0630707067362252
"MEdarkturquoise",0.742577251363547,4.88342599835842e-05,3.44034597870253e-05,6.43393328191953e-05,8.6549865403551e-06,0.813533234657823,0.506349315817212,0.234468562185903,3.28928430047827e-06,0.0015134672555297,0.784451765352573,3.80260813886237e-06,0.00342677938109971,0.926535361883972,0.000113323609745077,0.0723970130122438,0.389671803696622,0.0051197639133641,0.201469367663186
"MEgrey",0.173868796147868,0.460896207118592,0.243075448684647,0.0252527164724247,0.767144671506211,0.390508913367879,0.640222180331852,0.450741511615338,0.73603419709502,0.00829647216966511,0.303487599622497,0.72560466993283,0.994921985778648,0.462826118565577,0.442648402857139,0.460175590505553,0.907291661706994,0.754802055471704,0.92676527277988
