"","sex","total_weight_delta","pro_weight","Na","BUN","AnGap","K","Crea","Hct","Cl","Glu","Hb.","TCO2","iCa","trt","mean_RQ","mean_EE","mean_H2Og","body_temp_3"
"MEpurple",0.42706660813775,0.846254329614124,0.945011690088147,0.759606971454919,0.66797906273445,0.885331193855079,0.972294005018244,0.311531313417591,0.660489621295308,0.699030239039945,0.386460172702734,0.663188000214143,0.964803264820757,0.126918447454871,0.983154995467828,0.628298624490857,0.705725590952383,0.285016131743496,0.730332296004625
"MEtan",0.552830402012843,0.674141574817909,0.802312184421513,0.798462847072297,0.761128310730286,0.62476218224202,0.750639853263409,0.484887491416781,0.575636433410767,0.760639098153555,0.171490874566004,0.574735962027238,0.770520181058326,0.108700620282203,0.903539816119367,0.883465952156455,0.989052489783157,0.447984093153338,0.566992005865895
"MEturquoise",0.53006509803765,0.837602932192169,0.783576524714515,0.955709781454364,0.670411343648559,0.887168267443272,0.83454235113825,0.112179146513033,0.881258661547654,0.945889007341197,0.741215961984492,0.891316613611548,0.951093958490145,0.949648532422451,0.706104842144083,0.94756432225515,0.856422927219532,0.46235516587402,0.784800108684163
"MEmagenta",0.462112910577079,0.844180095989568,0.690998673143927,0.683368227146141,0.857492070946962,0.988638324035417,0.844919355924358,0.0054964749757381,0.800583195901209,0.674015714651943,0.285982441585691,0.814944778734682,0.639378919944502,0.683125905598113,0.753820347587408,0.948123541140031,0.701948853618495,0.326995033331836,0.426931599421124
"MEblack",0.984813351129527,0.998361210329362,0.826026382039769,0.976097570371313,0.757005402528178,0.856039973439239,0.618801067135424,0.141539767286922,0.740388210703834,0.895364261570096,0.94309467372247,0.729740774553186,0.98303596538443,0.430786023555099,0.779778500256705,0.837515569538503,0.960043349321188,0.83900946076219,0.857325331513182
"MEpink",0.405504272487748,0.95229331075475,0.830615951643691,0.818421942350376,0.457434073899062,0.985649194957908,0.692834567826613,0.177241678765968,0.743362608387205,0.7133153236131,0.824008385861876,0.73527994231901,0.827577326188733,0.519812685852507,0.895044674131732,0.769600766995697,0.691296238380364,0.988376083899372,0.385357934370491
"MEblue",0.26795353123922,0.970124823062734,0.956204218811149,0.821860507392289,0.510355343304586,0.919071354326962,0.996824204849649,0.527795288377594,0.973741365680238,0.835202071542509,0.70401297486864,0.975510236006041,0.734417863348764,0.761490315877876,0.925191321518079,0.911934643271118,0.601117868757325,0.932759030051196,0.301911964744311
"MEyellow",0.470924867831549,0.837088535576481,0.768401909263622,0.89087216344171,0.626502217509424,0.832305295935491,0.786780057449755,0.118745200498448,0.809156298345951,0.866252764646414,0.789764683447324,0.818940480876954,0.953992775791681,0.930729882464718,0.710921635330882,0.94222181742381,0.85354590721306,0.532204368437337,0.718211063352751
"MEgreenyellow",0.783717220083723,0.00107591671255831,0.000100679058510948,5.9530230746944e-05,6.1947153187494e-05,0.808800135074144,0.813575733121541,0.0358559804009005,0.000276494129475359,0.000322992485586987,0.569254188072583,0.000286322605198716,0.00524836400767328,0.754130368901503,0.00154208770959239,0.377457836409,0.69946218559119,0.00239291283636345,0.0262890012577629
"MEmidnightblue",0.189520685805515,0.178553428818983,0.0668731852414531,0.192858199371741,0.056361660610969,0.400181654417379,0.308623171089323,7.53356576873199e-05,0.0116018336928076,0.292147562251603,0.334625963126702,0.0115619428017552,0.0365736438925027,0.446251553497261,0.11672305081983,0.245475886702929,0.850613426767983,0.0573892532670164,0.0723697430973601
"MEbrown",0.880981573992455,0.804978856814945,0.895749063631243,0.848170311283847,0.429027139118453,0.884530599878914,0.757043696515118,0.0219979249496022,0.808823053824563,0.898846889536385,0.507760304879192,0.795379381109212,0.975906708245323,0.804081735084812,0.896506766434934,0.941405257111471,0.673894583108047,0.484813937370937,0.64800340677411
"MEgreen",0.590156382616284,0.757023066183877,0.561747863188098,0.811372659651618,0.83168570608319,0.957945448416782,0.439958377577968,0.100853240486595,0.984571959297535,0.690120118306529,0.835176403700392,0.976896314627717,0.819820104883292,0.60255636391945,0.588493747004806,0.989635631065481,0.974545307952963,0.845812779998543,0.454897991140118
"MElightcyan",0.852806307185399,0.0128834208281203,0.00452313436489929,0.000846836839329613,0.000901365071398077,0.77913684868419,0.875611277404343,0.729371072282752,0.00519121322465657,0.00182897611884587,0.8198693704977,0.00510869608469927,0.0814923989330621,0.437304622083302,0.0155510573598889,0.596091040671633,0.690657551884862,0.246438765858968,0.336674969393944
"MEred",0.405434527587086,0.976373954185505,0.932024728441165,0.862550983875079,0.480016645099674,0.973825920438158,0.874911964484298,0.214175729934178,0.942295670265391,0.893448862288869,0.594653391553138,0.949546693173797,0.706165629260212,0.709102458090904,0.977664263771986,0.795892601956415,0.61487473328807,0.647770798916778,0.303592951245988
"MEcyan",0.503627262428686,0.450230948448908,0.645757238344339,0.236023930938878,0.512433218156278,0.121545293887861,0.390303916385215,0.210063271450441,0.420181870983498,0.126006153173102,0.39610554265169,0.40725063373701,0.288660549604365,0.9111227295152,0.59526175342561,0.0102893281044149,0.0314268896249655,0.800882932108818,0.951214252776129
"MEgrey60",0.676436973173407,0.12247501960919,0.107989798919514,0.377928794643127,0.353859709954813,0.549473134861211,0.59560171684888,0.711435285851025,0.317632576349256,0.349906972673834,0.188414757835903,0.317974161557035,0.924608578215611,0.282234686164074,0.13511615130312,0.660385655862486,0.979109094429997,0.519124142109075,0.978089435376103
"MEsalmon",0.601576701994134,0.354399753920864,0.446415060294516,0.864495998222315,0.990695684199341,0.56024193751581,0.207323739103094,0.451113400864856,0.944408394405668,0.964257200621403,0.514772446583746,0.95790611593971,0.563739622876319,0.273477579603432,0.505687405927311,0.2679305250477,0.178880040156765,0.944637265852347,0.740329239221177
"MEgrey",0.958875182978236,0.874171724683622,0.923021376348572,0.803254943724732,0.747355701671224,0.727999162274592,0.432574492252741,0.264530951354509,0.50704208866998,0.855432015137662,0.400487505370246,0.511639768889563,0.767962948935568,0.261229194263222,0.946046455397021,0.837025432917563,0.605383279465175,0.189318724456006,0.721480095930786
