"","sex","total_weight_delta","pro_weight","Na","BUN","AnGap","K","Crea","Hct","Cl","Glu","Hb.","TCO2","iCa","trt","mean_RQ","mean_EE","mean_H2Og","body_temp_3"
"MEblack",0.110783395136932,0.43540598125652,0.554248588973028,0.960678967565467,0.504199326185061,0.00653101635501851,0.025056964494424,0.362938492000185,0.788805531932214,0.545656158536277,0.594362692555431,0.803989246263052,0.0769327761963779,0.083904997040591,0.430500976387248,0.903402660027322,0.768799689842454,0.979715982362176,0.372701544861407
"MEgreen",0.874598560164352,0.705358624315957,0.681807007023947,0.027151056525147,0.711789088828889,0.210450176612137,0.551629259039826,0.377380199531128,0.716305143225025,0.00851766807594548,0.619442658092942,0.723178459983245,0.952682488340435,0.27288827564311,0.935103551932924,0.995731293158113,0.810939958998335,0.0575029204630122,0.658654859643483
"MEpurple",0.507498742077496,0.0995768739317757,0.0352076302984806,0.122679408250224,0.0189749145439729,0.827933526982542,0.662543359475513,0.0476038426111819,0.0114500987118263,0.367927313950715,0.288456045092952,0.0113079015748037,0.0222343019571429,0.430498750929523,0.047540611465669,0.274292322382299,0.97443970964727,0.0055060812919807,0.0429938946556816
"MEgreenyellow",0.593070826710074,0.0668477943144579,0.046993722388186,0.0830844679711707,0.0127242355825424,0.760466687753499,0.81790182741626,0.633029656766688,0.0328693887365267,0.131502805936937,0.909279008644708,0.0328396536284551,0.285250817777885,0.211805659659996,0.0482946750338056,0.410675105410802,0.746720480334856,0.0709808994601365,0.271380998463779
"MEmagenta",0.688588827517811,0.000258010446590886,0.000467583521403494,0.173164671903916,1.28352801116716e-05,0.780223262659577,0.133123367174529,0.253292395556472,0.00152230167019266,0.305096958110254,0.714300361713375,0.00151050196980514,0.0841650287818503,0.0264649655641601,0.000318399539610786,0.00491939039305129,0.221004366350102,0.00395605472739123,0.878273850348415
"MEtan",0.990448220988853,0.000293764211723689,2.99890824912391e-05,1.10578576980551e-07,2.67717249921045e-06,0.407445073841603,0.868645684801778,0.337415738310874,5.34943449925477e-06,3.84013639400962e-06,0.885232547302332,5.53931920352466e-06,0.0041740368748877,0.873367825835687,0.000471595654252475,0.0375550923927112,0.803235994029473,0.0783837973590476,0.0957863941504486
"MEblue",0.926174395397663,0.00140525879584551,0.000270555641759022,8.4989424488574e-05,2.22506156114052e-05,0.445056348026152,0.907974536146052,0.364711206801995,0.000137942946744626,0.000645115268288892,0.83971043695639,0.000141069055062732,0.0188812226958105,0.33471506156391,0.00108686481812592,0.0691139149792866,0.735202748463059,0.0276050483028997,0.122153777916268
"MEred",0.829868181612837,0.000939304170904704,0.000102917401924013,2.28697182891739e-09,2.87127100549996e-05,0.290221870675882,0.814654069689161,0.311391138177207,1.78703428323392e-05,1.32575354204339e-07,0.70652213202311,1.87010637609076e-05,0.00412215402032857,0.846381727568356,0.00175451635441202,0.0500333275843615,0.94895530718706,0.218321756393746,0.10986780918986
"MEyellow",0.588578874372801,0.00658816642084026,0.00129039001969276,3.70708426512653e-07,0.000621159119995024,0.265948094063022,0.834365306757059,0.316987020160057,0.000328978099960242,6.01532256109929e-06,0.64009263743294,0.000341098105549825,0.00705259131778454,0.711251456726587,0.00988023179590083,0.0595389445404554,0.944336464654946,0.353385951586194,0.245526196604387
"MEpink",0.776530114611443,0.326939752846952,0.530039448274908,0.0490347050043131,0.145613269325071,0.896590690576049,0.00990349991667589,0.368198235638066,0.849376763689276,0.0376004666145088,0.873373121182727,0.846196810277964,0.858695391370629,0.00862781693850645,0.298007286854075,0.104196826066582,0.0989000643112879,0.156414239782004,0.0593879682336332
"MEbrown",0.461137178418066,0.235530789001665,0.279872936487246,0.678300466259176,0.0665487121748536,0.846334620931513,0.831089900995794,0.626375869168897,0.477224629406581,0.864514034808528,0.871470417035355,0.480357773386953,0.890324599980846,0.163457976014198,0.186654509981341,0.537571175367965,0.324621286296488,0.0831325086072801,0.94447611352408
"MEturquoise",0.378752890564876,0.347059863447403,0.282209788120008,0.0699336335021936,0.480162843112181,0.378535373850266,0.59606082221135,0.919422581134017,0.360046409243027,0.0899207531503035,0.521130432099737,0.363814965010782,0.368154923954716,0.158504587473228,0.509353740129478,0.406115210230193,0.869803690160219,0.984925747484547,0.78691272375908
