"","sex","total_weight_delta","pro_weight","Na","BUN","AnGap","K","Crea","Hct","Cl","Glu","Hb.","TCO2","iCa","trt","mean_RQ","mean_EE","mean_H2Og","body_temp_3"
"MEpurple",0.593332118006288,0.056996728586722,0.0600679675369915,0.0998336191027259,0.423439051471496,0.0720005435925913,0.415042975045386,0.268084895551308,0.0421416016231319,0.1957937673311,0.930225907299766,0.0418731920489262,0.00657537950324882,0.530337084317293,0.0544918080616346,0.271436725095279,0.983098946103162,0.330084498908934,0.241228543317071
"MEsalmon",0.766547356989794,0.725829246364236,0.871792870658134,0.249852225392177,0.404075989696641,0.272336876949011,0.766639977544197,0.655001527222099,0.958498460350695,0.114370651757533,0.816938646864738,0.952965511926584,0.323925214852445,0.257723192996762,0.539765800169475,0.0763597481110194,0.218464784395907,0.457908947264416,0.369415307603677
"MEcyan",0.839084721646295,0.489916586029188,0.556439740628126,0.158461149151681,0.109075867038213,0.475461569158824,0.69684766482403,0.661647490593428,0.169901860346639,0.0305134647951831,0.580062846628701,0.16886274182358,0.990758341999021,0.27045619984327,0.742523837892688,0.094401477595717,0.0219487450691322,0.389202685091348,0.124560516463539
"MEblue",0.563119176432849,0.00077203862093914,2.88443502160884e-05,4.92638376391873e-07,4.52644980757323e-06,0.558491918960576,0.316089828822201,0.265249785561254,0.000105834509103263,6.28868854853608e-05,0.909109747392848,0.000107478234001117,6.88267277510537e-05,0.40065749883577,0.000741966504480002,0.197638996627522,0.34155892393057,0.00986857235849103,0.00328536006028834
"MEtan",0.552429871998581,0.000183906515540602,1.04088541848923e-05,3.70894859406311e-07,0.0126396563267329,0.23911396309499,0.544239455154878,0.0594638136007606,2.07479578602427e-07,5.36834924656094e-07,0.533823974447544,1.97766259204881e-07,0.000763422333022372,0.501469047746851,0.000576021807320285,0.746127528737629,0.361274063008614,0.025080858954816,5.32608654668212e-05
"MEyellow",0.88892741573507,0.0831825161238003,0.0173362134706952,8.33054343038708e-05,0.00903663051539835,0.510322321097159,0.467371776615522,0.759028951338664,0.0255935528841736,0.000295461369987108,0.864624195352122,0.0260572692821145,0.10069188552566,0.266232334193018,0.105715219086066,0.887038751769416,0.905721066050058,0.237969185216275,0.0151535174563361
"MEgreen",0.295657959647601,0.00814502857534249,0.000691774027865495,5.98779598386433e-12,0.030864366742105,0.692269501450766,0.135265500194369,0.210156175462448,0.000869421057952818,6.94522867558529e-09,0.538167757075268,0.000900399316131014,0.000366806300311271,0.0062915411888664,0.0165278195141755,0.83553128984475,0.524871045771333,0.308961445901264,0.0007789080668754
"MEgreenyellow",0.340796375815047,0.12315097233005,0.061984738584323,8.71905006538551e-05,0.891774544122766,0.769995884355337,0.110034740511533,0.60112473831812,0.0733219318062303,0.000153870963279907,0.746211622656836,0.0759077106188337,0.148992632176068,0.000741203171278378,0.189775444139592,0.61411132543598,0.300754019471321,0.42729015086425,0.00392495774078906
"MEbrown",0.74057045440006,0.000448758517686798,0.000175833819933535,0.000805394855821459,0.00112379726707427,0.63721692507961,0.386101780655606,0.123761225855504,5.70759672825914e-05,0.00961442096106721,0.925770800796931,5.90169989323986e-05,0.00147363077061043,0.576622855648201,0.000744483399084336,0.21656050438971,0.671498886471349,0.000381162580789641,0.00413204239798841
"MElightcyan",0.14087746347121,0.0501817016181005,0.00610307995841327,7.74665696395627e-05,0.00165562872897894,0.770837761707276,0.263246029795927,0.491518912514163,0.00283463479288503,0.000246125224375876,0.121326223918901,0.00285877650955068,0.0296157444909233,0.970573445888221,0.0500118684316664,0.773227461116234,0.294335437778791,0.239721682072181,0.0520617442137382
"MEturquoise",0.428068870589102,0.00276426214128508,0.000121106534337711,1.29024703560741e-07,4.70277836081104e-05,0.732382739436992,0.21152085446828,0.385327097812794,0.000497067114704121,2.60432558575266e-05,0.984390616768005,0.000506336886740505,0.000219697385546138,0.227579413627052,0.00264214248742451,0.313724634450184,0.489436155860626,0.021323771576098,0.00238730810579022
"MEpink",0.630206393056454,0.520706083547904,0.352276282052591,0.738857726978714,0.0087286699248463,0.547352757554144,0.831243474641258,0.975693333801511,0.84122481754969,0.795048254379647,0.577496693120727,0.837904473635331,0.407313422261277,0.913262941423639,0.430293048240585,0.0844383002530345,0.0356232118815716,0.178587199739825,0.983476572215692
"MEmagenta",0.855078878345254,0.972164039653666,0.917464215017714,0.0175175104152863,0.196568322603778,0.87133226500625,0.262437634159762,0.508838192615539,0.790513455708732,0.00249983114942054,0.338529736508521,0.79339926742198,0.874141670950546,0.0408249484869226,0.745472430266323,0.0334082376476514,0.0722031125218689,0.0330664400389839,0.268785594858053
"MEmidnightblue",0.962428651159488,0.0437769955530917,0.0228506409262865,2.93255720335462e-05,0.704829695695326,0.390585531722271,0.167528842784316,0.374082934401687,0.00328985753157786,8.27368545832728e-06,0.39583851262213,0.00339362184353317,0.0446529745247171,0.134850168705795,0.0981713548975601,0.231679097485486,0.0756199281304508,0.709395685848655,0.0026756948102201
"MEgrey60",0.888005617896001,0.0135466606108232,0.0109854938840944,0.215116169733554,0.105876548352456,0.454109470422465,0.284953788219077,0.0395150012056782,0.000376009946705877,0.270560230326772,0.631928590396674,0.000357340397937923,0.051160821355935,0.140769623231262,0.00893489220742274,0.202018628346694,0.308690162664873,0.0374975972500868,0.216066496408138
"MEblack",0.645227177308639,0.610961934042362,0.307810481801191,0.00210094577599758,0.257431826307099,0.558280063298144,0.277971925049129,0.850909194570394,0.424885921514579,0.00407667508140204,0.566299391589698,0.42900870460276,0.286988963916864,0.0471597292091929,0.804652715466969,0.252750212157973,0.865207267482423,0.805174138246846,0.075185679962066
"MEred",0.887428717327209,0.0773759951364685,0.0877721518797057,0.670726335245386,0.137126169887213,0.40083375078981,0.986878996331772,0.833061577676355,0.109029680634052,0.768380569800105,0.761652846293802,0.109303323384109,0.230407025784988,0.260074077200007,0.0414302291370046,0.0787665374694471,0.529079097074037,0.0613654801581012,0.810837288400049
"MEgrey",0.484520710238332,0.0971462670280476,0.100446363124385,0.0505436433832125,0.818377664923318,0.186187054676431,0.384935307255779,0.336666287264307,0.0913721772228528,0.095474840918915,0.892705297467117,0.0913586456892478,0.0179411911910574,0.211041984060163,0.111805039879606,0.578793689564846,0.560432073525287,0.542065111457759,0.292290842828035
