"","sex","total_weight_delta","pro_weight","Na","BUN","AnGap","K","Crea","Hct","Cl","Glu","Hb.","TCO2","iCa","trt","mean_RQ","mean_EE","mean_H2Og","body_temp_3"
"MEmagenta",0.391289703421637,0.211755155808356,0.160270598616824,0.156941813419663,0.189380471023458,0.690663371879329,0.852365358698057,0.487507193280241,0.199119303015686,0.258785538835254,0.421540026486426,0.198566054866512,0.136218359447103,0.936234277194589,0.145628765264794,0.624081524885248,0.544694091114046,0.510214528190366,0.0230667410202837
"MEgreenyellow",0.429799422356708,0.346259786004476,0.469184426710315,0.784210037160609,0.129078676333683,0.660818172059355,0.913747169218669,0.534713738597538,0.723999470906411,0.798216583642489,0.975930785912684,0.735920489926265,0.980518063633749,0.037847113271193,0.265868506817937,0.0679538234113072,0.0493704967617523,0.123737724010719,0.557648139192859
"MEpurple",0.700883306142802,0.0461520576392978,0.0269865133670698,0.0205575876099387,0.0382599073134163,0.424039838462796,0.782528993050943,0.111890117411884,0.00563064218821197,0.0951493909429407,0.927161633371245,0.00575516787088356,0.0030503721270821,0.503310354579895,0.0209204417280308,0.999438489566486,0.55216275381102,0.0104405019178861,0.12257681788246
"MEblue",0.669545427439352,0.0025209020260674,0.00151488167921052,0.00261619616210459,0.020545192544883,0.804058420773053,0.91881115968304,0.00699518648912765,0.0026454528868236,0.0044246817171407,0.593538019761617,0.0028352820314317,0.121778071668355,0.508566129837186,0.00324081991439063,0.0577239908601083,0.474386010735121,0.000626745422864607,0.0979253579432032
"MEyellow",0.647028469904289,1.20138452290002e-05,1.67726196286769e-07,4.58563503297645e-08,5.10386655506642e-06,0.369239466205087,0.993564974378312,0.0034844494963554,2.03145351531123e-07,3.31291060485067e-06,0.519666064876774,2.04600870658642e-07,2.42678582966517e-05,0.956091705277117,3.88184315758443e-06,0.195874351510643,0.740690029923123,0.00127132802418492,0.00812688413598886
"MEred",0.631166923397263,0.122754964730062,0.0434365024098833,0.00648051219412809,0.0403073047943757,0.22035390775403,0.607847434995321,0.850813407509692,0.0424581711959557,0.0246480251254349,0.694396795461648,0.0403550334505499,0.00333522877427012,0.224088704451232,0.118813078803874,0.4712071472324,0.488630362699067,0.87216012510333,0.12105593493337
"MEpink",0.17852162006586,0.00041309455202061,1.3419564007362e-05,4.06532334349109e-08,0.0087892223782647,0.358754099585176,0.501904391933676,0.0200726029016102,7.79805664930326e-06,1.33613718906089e-06,0.366016628509427,7.56123460148244e-06,0.00024901381419968,0.0927901217364138,0.000928454832329664,0.921653056526131,0.338347151782532,0.0467134548241978,0.000916933311923097
"MEturquoise",0.587609600906658,9.07773339475389e-06,2.35037267677118e-07,3.33144533867769e-07,9.00551649921908e-06,0.397310184161952,0.761433318747383,0.00890490258748396,2.28572731648533e-06,1.58959504110846e-05,0.586126914996021,2.29051524153981e-06,8.45159199492666e-05,0.915380794789242,7.9156488698318e-06,0.122248330246407,0.571189326384496,0.00150955669169036,0.0148111617662288
"MEbrown",0.470334888347165,0.00449013974224067,0.00213032398018159,0.00223331496482505,0.0502170655699677,0.920634419186281,0.919305211595434,0.00243227199464543,0.00390396445731371,0.00323331794181054,0.759951467941334,0.00414717764006972,0.0842078232844214,0.728725156408588,0.00485841965147605,0.0934564196131711,0.492670096395732,0.000243547811652573,0.0269711022532584
"MEgreen",0.886369523744293,0.865704466758777,0.674295749007555,0.38134421581881,0.414830011277966,0.317707784184009,0.715533769099437,0.348806808047796,0.555416206665894,0.536095624685985,0.721172076750867,0.542602436365131,0.127161030192517,0.210389485373217,0.788368711942855,0.171417449437273,0.390075687392632,0.142206486208864,0.756189029134599
"MEblack",0.0296183801361512,0.262732862369949,0.146075127740312,0.0274601983331061,0.251740815781604,0.971097710527996,0.105187139775366,0.869054859828355,0.387612324333825,0.108281554656284,0.819121163575191,0.380226625193336,0.127661843286426,0.0444378284645139,0.515167963390276,0.779520774481543,0.740657386348529,0.844249257697683,0.192588404231012
"MEtan",0.174141472082131,0.456041133478489,0.609638707969779,0.758137385334823,0.243793513867496,0.177037969276405,0.951505644503744,0.39257826800905,0.870178718423446,0.961402661763742,0.325864024259063,0.874684262829719,0.914212566873167,0.116237086970719,0.463776973571333,0.929898117313196,0.682604612875302,0.91456571063898,0.5597148759684
"MEgrey",0.752841046610449,0.0137610908779082,0.00262569291418424,0.000100661828060133,0.00115172658152694,0.398601939171255,0.541878898774764,0.443685857610226,0.0025061978628235,0.00136883843553179,0.590782530660489,0.00236705660530142,0.000618300358772035,0.338319675966569,0.013606832071877,0.890435866960099,0.730627548937396,0.739428489829033,0.0881759524086867
