"","MEmagenta","MEgreenyellow","MEpurple","MEblue","MEyellow","MEred","MEpink","MEturquoise","MEbrown","MEgreen","MEblack","MEtan","MEgrey"
"X1170_F_lu_yes",-0.0496476371857348,-0.0753680139891344,0.0520335170196227,-0.0207287261019636,0.200376925399219,-0.183813596234392,-0.15889309795739,-0.13585950451839,-0.0152729218544328,0.177947587526282,-0.0272116027200847,-0.101243262016864,0.174200373381318
"X1165_F_lu_yes",-0.0970698046012509,-0.0825284346638711,0.778858645995279,0.0575096126242265,0.205319118839451,-0.119035887452843,-0.16223344774451,-0.1350505387208,-0.0554142862916485,0.111485582794717,-0.189504584890093,-0.134758887617077,0.0945660152877112
"X1156_F_lu_yes",-0.0656984908367318,0.109010421543285,0.157060486854873,0.00459061737143901,0.172599754486539,-0.135417791870308,-0.0384848454959814,-0.152272971150355,-0.043717764322131,0.0966885320863896,-0.0806325004672317,-0.474226214762507,0.141019178569067
"X1171_F_lu_no",-0.100704756998343,-0.0232231134228876,-0.174599705113041,-0.0956472533852473,-0.236304396938032,0.235148550152298,0.26526125086321,0.254345420364817,0.0900390643932301,-0.143352308639548,-0.188648922209229,0.187894210864084,-0.25550621533512
"X1109_F_lu_no",-0.0255414404971279,-0.175811601713359,-0.169114219906553,-0.159563836794568,-0.206422069827347,0.0736861385144782,0.0816901136784106,0.22669085995301,0.167981885842415,0.0546475077694042,-0.0492723882778929,0.139235204555285,-0.122399413602202
"X1164_F_lu_no",-0.0502623269344546,0.164045414830307,-0.0598448918890387,-0.114010997056648,-0.176517477315731,0.026134827769449,0.230187275501489,0.138203888810773,0.130124384564874,0.0170225962996766,-0.0367057115820906,-0.263621642472149,-0.0364112175574024
"X1010_F_lu_yes",-0.0687282715701173,0.163880695830199,-0.0480973915932155,0.285299773261054,0.00859935304917343,0.26858108873979,-0.0567991058982034,-0.0378476421570065,-0.223242396618009,-0.255641892212428,-0.0871965969338301,0.0281746659353251,-0.131344705558881
"X1154_F_lu_no",0.033831792544077,0.303140709201164,0.0101325972544993,0.0413601178274441,0.163468849565363,-0.13396924305513,0.0752261123293733,-0.216266104226129,-0.0721412992177186,-0.0112999400943445,0.092847242398319,0.087642439763768,0.187684058952652
"X1152_F_lu_no",-0.0458942299083112,-0.120706676156034,0.167438916735667,-0.139816331970218,0.182052285542005,-0.236552674961127,-0.0946005795965469,-0.108079505430535,0.124853300218043,0.29285135955222,-0.213890217156084,-0.101252425607858,0.214693583678248
"X1108_F_lu_yes",-0.0552433538052063,0.0807015840588361,0.00482968767867285,0.213066432633149,0.175621124191008,0.00665966882823694,-0.0772246955065216,-0.183496214345129,-0.136262411687662,-0.101894102017625,-0.0807796535703486,-0.0534083397497962,0.0694819851334588
