"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0051301","GO:0051301","cell division",7.2e-10,"ASPM,AURKA,AURKB,BLM,BRCA2,BUB1,BUB1B,CCNA2,CCNE1,CCNF,CCSAP,CDCA2,CDCA3,CDCA5,CDK4,CENPE,CENPF,CENPJ,CENPT,CEP55,CHEK2,CKAP2,CKAP5,E2F7,E2F8,HMCN1,INCENP,KIF11,KIF18B,KIF20A,KIF20B,KIF23,KIF2C,KNL1,KNTC1,MASTL,NCAPD2,NCAPD3,NCAPG,NDE1,NEK2,NUSAP1,OIP5,PMF1,PRC1,RACGAP1,SFRP2,SGO2,SMC2,SMC4,SMYD5,SPAG5,SPC25,TERF1,TGFB1,TIMELESS,TOP2A,TPX2",58,80,30.89,58,7.61577310586391,0.52860693929757,"black"
"GO:0090068","GO:0090068","positive regulation of cell cycle process",4.5e-06,"ATAD5,AURKA,AURKB,CDCA5,CDK4,CENPJ,CHEK2,DLGAP5,DTL,E2F7,E2F8,GEN1,INCENP,KIF20B,KIF23,NCAPD2,NCAPD3,NCAPG,NUSAP1,PIWIL2,RACGAP1,RAD51C,RRM1,SASS6,SMC2,SMC4,SPAG5,STIL",28,38,14.67,28,5.29150262212918,0.515383876011526,"black"
"GO:0007018","GO:0007018","microtubule-based movement",2.9e-05,"CCSAP,CENPE,DLGAP5,KIF11,KIF15,KIF18B,KIF20A,KIF20B,KIF23,KIF24,KIF2C,NDE1,SLC9C1",13,14,5.41,13,3.60555127546399,0.556579320646788,"black"
"GO:0000070","GO:0000070","mitotic sister chromatid segregation",6.4e-05,"AURKB,BUB1,BUB1B,CCSAP,CDCA5,CENPE,CENPF,CHEK2,DLGAP5,ESCO2,GEN1,HASPIN,INCENP,KIF11,KIF15,KIF18B,KIF23,KIF2C,KNTC1,NCAPD2,NCAPD3,NCAPG,NEK2,NUSAP1,PRC1,RACGAP1,SMC2,SMC4,SPAG5,SPC25,TPX2",31,42,16.22,31,5.56776436283002,0.533682254975074,"black"
"GO:0007059","GO:0007059","chromosome segregation",0.00017,"ANKLE1,ASPM,AURKA,AURKB,BRCA1,BUB1,BUB1B,CCNE1,CCSAP,CDCA2,CDCA5,CENPE,CENPF,CENPJ,CENPT,CHEK2,DLGAP5,EME1,ESCO2,GEN1,HASPIN,HJURP,INCENP,KIF11,KIF15,KIF18B,KIF23,KIF2C,KNL1,KNTC1,MKI67,NCAPD2,NCAPD3,NCAPG,NDE1,NEK2,NUSAP1,OIP5,PMF1,PRC1,RACGAP1,RAD51C,SASS6,SGO2,SMC2,SMC4,SPAG5,SPC25,STIL,TERF1,TOP2A,TPX2",52,74,28.57,52,7.21110255092798,0.538895511880178,"black"
"GO:0007052","GO:0007052","mitotic spindle organization",0.00202,"AURKA,AURKB,CCSAP,CENPE,CENPJ,CHEK2,CKAP5,DLGAP5,INCENP,KIF11,KIF15,KIF23,NEK2,PRC1,RACGAP1,SASS6,SPC25,STIL,TPX2",19,24,9.27,19,4.35889894354067,0.524629065032695,"black"
"GO:0032465","GO:0032465","regulation of cytokinesis",0.00241,"AURKA,AURKB,BRCA2,E2F7,E2F8,INCENP,KIF20A,KIF20B,KIF23,PRC1,RACGAP1",11,14,5.41,11,3.3166247903554,0.550306816297371,"black"
"GO:0031400","GO:0031400","negative regulation of protein modification process",0.00241,"AIDA,BRCA1,BUB1B,EMILIN1,LIMK1,MASTL,PBK,SFRP2,SH2B3,TGFB1,UBASH3B",11,14,5.41,11,3.3166247903554,0.555783478334236,"black"
"GO:0006468","GO:0006468","protein phosphorylation",0.0031,"AIDA,AURKA,AURKB,BLM,BUB1,CCNA2,CCNE1,CCNF,CDK4,CENPE,CHEK2,EMILIN1,HASPIN,INCENP,IQGAP3,LIMK1,MASTL,MELK,NEK2,PBK,SFRP2,SH2B3,TGFB1,TPX2,UBASH3B",25,42,16.22,25,5,0.533961505552394,"black"
"GO:1902531","GO:1902531","regulation of intracellular signal transduction",0.00343,"AIDA,ARHGAP11A,ARHGAP19,ATAD5,AURKA,AURKB,BRCA1,BRCA2,CEP55,CHEK2,COL3A1,EMILIN1,FOXM1,GEN1,INCENP,IQGAP3,NUP93,PBK,RACGAP1,SFRP2,SH2B3,TGFB1,TRIM59",23,38,14.67,23,4.79583152331272,0.513361945252779,"black"
