"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0043409","GO:0043409","negative regulation of MAPK cascade",0.0045,"DUSP10,DUSP8,FLCN,IGF1R,SPRY4,TNIP1",6,29,1.63,6,-2.44948974278318,-0.834102454944388,"blue"
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process",0.0061,"ADCY6,FLCN,PANK3,TKT",4,14,0.79,4,-2,-0.534675290754446,"blue"
"GO:0006665","GO:0006665","sphingolipid metabolic process",0.0061,"CERS2,CERS6,PNPLA1,SERINC1",4,14,0.79,4,-2,-0.798421045013541,"blue"
"GO:0043603","GO:0043603","amide metabolic process",0.0063,"ALDH5A1,BACE1,CERS2,CERS6,EIF4EBP2,LSM14B,MKNK2,PER2,PKM,PNPLA1,PURA,SEPSECS,SPON1,TNIP1",14,121,6.81,14,-3.74165738677394,-0.713717942760112,"blue"
"GO:0043604","GO:0043604","amide biosynthetic process",0.0177,"CERS2,CERS6,EIF4EBP2,LSM14B,MKNK2,PER2,PKM,PNPLA1,PURA,SEPSECS,TNIP1",11,97,5.46,11,-3.3166247903554,-0.723574485903146,"blue"
"GO:0070373","GO:0070373","negative regulation of ERK1 and ERK2 cascade",0.0205,"DUSP10,FLCN,TNIP1",3,11,0.62,3,-1.73205080756888,-0.584217943172276,"blue"
"GO:0030148","GO:0030148","sphingolipid biosynthetic process",0.0205,"CERS2,CERS6,PNPLA1",3,11,0.62,3,-1.73205080756888,-0.953120112059226,"blue"
"GO:0008347","GO:0008347","glial cell migration",0.0205,"CERS2,CX3CL1,PTPRB",3,11,0.62,3,-1.73205080756888,-0.935017225866025,"blue"
"GO:0098657","GO:0098657","import into cell",0.0228,"PER2,SLC38A4,SLC5A3,SLC6A6",4,20,1.13,4,-2,-0.957676978370674,"blue"
"GO:0098739","GO:0098739","import across plasma membrane",0.0228,"PER2,SLC38A4,SLC5A3,SLC6A6",4,20,1.13,4,-2,-0.957676978370674,"blue"
"GO:0009152","GO:0009152","purine ribonucleotide biosynthetic process",0.0263,"ADCY6,FLCN,PANK3",3,12,0.68,3,-1.73205080756888,-0.557508911030784,"blue"
"GO:0097192","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand",0.0263,"BAG3,CX3CL1,MKNK2",3,12,0.68,3,-1.73205080756888,-0.910396611812219,"blue"
"GO:0038034","GO:0038034","signal transduction in absence of ligand",0.0263,"BAG3,CX3CL1,MKNK2",3,12,0.68,3,-1.73205080756888,-0.910396611812219,"blue"
"GO:0003018","GO:0003018","vascular process in circulatory system",0.027,"ADCY6,PER2,SLC5A3,SLC6A6,TJP2",5,31,1.74,5,-2.23606797749979,-0.766642815362174,"blue"
"GO:0031400","GO:0031400","negative regulation of protein modification process",0.0302,"CTDSP2,DUSP10,FLCN,FRY,INPP5F,LATS2,PER2,PTPRB,SPRY4",9,79,4.44,9,-3,-0.730210776404342,"blue"
"GO:1905039","GO:1905039","carboxylic acid transmembrane transport",0.0328,"PER2,SLC38A4,SLC6A6",3,13,0.73,3,-1.73205080756888,-0.919039707314091,"blue"
"GO:0009260","GO:0009260","ribonucleotide biosynthetic process",0.0328,"ADCY6,FLCN,PANK3",3,13,0.73,3,-1.73205080756888,-0.557508911030784,"blue"
"GO:1903825","GO:1903825","organic acid transmembrane transport",0.0328,"PER2,SLC38A4,SLC6A6",3,13,0.73,3,-1.73205080756888,-0.919039707314091,"blue"
"GO:0031345","GO:0031345","negative regulation of cell projection organization",0.0366,"ADCY6,CERS2,INPP5F,RAPGEF2",4,23,1.29,4,-2,-0.654495771491656,"blue"
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process",0.04,"ADCY6,FLCN,PANK3",3,14,0.79,3,-1.73205080756888,-0.557508911030784,"blue"
"GO:0006865","GO:0006865","amino acid transport",0.04,"PER2,SLC38A4,SLC6A6",3,14,0.79,3,-1.73205080756888,-0.919039707314091,"blue"
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process",0.04,"ADCY6,FLCN,PANK3",3,14,0.79,3,-1.73205080756888,-0.557508911030784,"blue"
"GO:0016485","GO:0016485","protein processing",0.0421,"BACE1,PISD,SPON1,SPRTN",4,24,1.35,4,-2,-0.618223525971899,"blue"
"GO:0009612","GO:0009612","response to mechanical stimulus",0.0421,"BACE1,BAG3,IGF1R,PPL",4,24,1.35,4,-2,-0.666932388374555,"blue"
"GO:0006163","GO:0006163","purine nucleotide metabolic process",0.045,"ADCY6,FLCN,PANK3,PKM,TJP2,TKT",6,47,2.64,6,-2.44948974278318,-0.549788107314676,"blue"
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade",0.048,"CX3CL1,DUSP10,FLCN,RAPGEF2,TNIP1",5,36,2.03,5,-2.23606797749979,-0.87472435037142,"blue"
"GO:0097191","GO:0097191","extrinsic apoptotic signaling pathway",0.048,"ACVR1B,BAG3,CX3CL1,MADD,MKNK2",5,36,2.03,5,-2.23606797749979,-0.738684898821116,"blue"
"GO:0048167","GO:0048167","regulation of synaptic plasticity",0.048,"CX3CL1,EIF4EBP2,RAPGEF2,SHANK2",4,25,1.41,4,-2,-1.14694792540539,"blue"
