"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:1901701","GO:1901701","cellular response to oxygen-containing compound",0.00015,"APPL2,BCL2L1,BCL2L11,C1QTNF12,CDKN1B,DDIT4,DGAT2,ERRFI1,GCH1,GCLM,GJB3,GKAP1,GOT1,GRAMD1B,GRAMD1C,HCN3,HDAC6,JUN,KLF15,KLF9,MAPK1,NDEL1,OSER1,PCK1,PDCD4,PDK4,PIM3,PINK1,PLAT,RORC,SESN1,SGK1,SIRT2,SLC13A2,SLC38A2,SMAD4,SNX6,TIRAP,TSC2,VPS54,WNT9A,ZFP36",42,53,29.35,42,-6.48074069840786,-0.833285074233589,"brown"
"GO:0051384","GO:0051384","response to glucocorticoid",0.00042,"ADM,BCL2L11,DDIT4,ERRFI1,GOT1,HDAC6,HSD11B2,KLF9,PAPPA,PCK1,PLAT,SSTR5,ZFP36",13,13,7.2,13,-3.60555127546399,-1.11973473591552,"brown"
"GO:1901654","GO:1901654","response to ketone",0.00076,"BCL2L1,CLDN4,DDIT4,ERRFI1,HDAC6,KLF9,PAPPA,PCK1,PLAT,SGK1,TXNIP,VPS54",12,12,6.65,12,-3.46410161513775,-1.14094256438857,"brown"
"GO:0044281","GO:0044281","small molecule metabolic process",0.00156,"ABHD12,ACMSD,ACOT12,ADM,AMPD2,APPL2,ASL,C1QTNF12,CLN8,CPT2,CRTC2,CRY1,CTNS,CYP4B1,DAB2,DDIT4,DGAT2,DHTKD1,GBA2,GCH1,GCLM,GLUD2,GOT1,HACL1,HOGA1,HSD11B2,IDO1,IGFBP3,LRRC47,MAPK1,MFSD2A,MINPP1,MTARC1,MTMR2,NR1H2,OLAH,OSBPL3,PAFAH1B1,PCK1,PDK4,PEX13,PFKFB3,PINK1,PLPP2,PNPLA2,PPT2,RORC,SERINC3,SLC23A1,SLC25A17,SLC27A2,SLC37A4,SLC46A1,SORD,STAR,SULT1A1,SULT2A1,UCKL1,UGT1A9,VPS9D1",60,85,47.07,60,-7.74596669241483,-0.765076170972467,"brown"
"GO:0007399","GO:0007399","nervous system development",0.00185,"ACAP3,ADM,AFG3L2,APPL2,ATP6AP2,B3GNT2,B4GAT1,BCL2L11,BCL6,BRD2,CAMSAP3,CDKL3,CLN8,CSNK1E,CTNS,DAB2,DDIT4,DEAF1,DLL3,DNAJB1,DOC2A,EDN3,FSTL4,GBA2,HDAC6,HES2,JUN,KLF15,LPAR3,LRCH4,MAFB,MAPK1,MAPK6,MAPK8IP3,MEF2D,MFSD2A,MST1R,MTMR2,NDEL1,NODAL,NPAS2,PAFAH1B1,PARP6,PEX13,PFKFB3,PICALM,PITPNM1,PLLP,RAB6A,RETREG3,RNF157,SGK1,SH3GL1,SH3TC2,SIRT2,SLC23A1,SLC25A46,SLC38A2,SMAD4,STK24,STXBP3,SYBU,TAOK2,TMEM41B,TOX,TPRN,TSC2,VAPA,VPS54,WNT9A,ZBTB16,ZNF358",72,105,58.15,72,-8.48528137423857,-0.774460013348323,"brown"
"GO:0080134","GO:0080134","regulation of response to stress",0.00199,"ABHD12,APOH,APPL2,BCL2L1,BCL2L11,BCL6,BCL7B,C1QTNF12,CCN2,CEBPG,CLDN4,CREB3L3,CRY1,DNAJB1,DUSP1,EPC1,ERRFI1,FXR2,GCH1,HDAC6,HEXIM1,IDO1,IFNLR1,IKBKB,KLRB1,MAPK1,MAPK8IP3,NPAS2,NR1H2,PAFAH1B1,PDCD4,PDGFA,PER1,PINK1,PLAT,PLAU,PLSCR1,PPP1R15A,RIOK3,RNF31,SERINC3,SESN1,SHLD2,SIRT2,SLC38A2,STK24,TAOK2,TIRAP,TRAF4,TRIM38,ZFP36",51,71,39.32,51,-7.14142842854285,-0.660472629930446,"brown"
"GO:0009653","GO:0009653","anatomical structure morphogenesis",0.00239,"ADM,AFG3L2,APOH,ATP6AP2,B3GNT2,B4GAT1,BAMBI,BCL2L1,BCL2L11,BCL6,BRD2,BTG1,CAMSAP3,CCN2,CDKL3,CLDN4,CNOT3,DAB2,DEAF1,DLL3,DUSP1,DYRK1B,EDN3,EGLN1,ERRFI1,FST,FSTL4,GPNMB,HDAC6,HIF3A,JUN,LEO1,LMBRD1,LPAR3,LYVE1,MAFB,MAPK1,MEF2D,MFSD2A,MPZL2,MTMR2,NDEL1,NODAL,PAFAH1B1,PARP6,PDCD4,PDGFA,PGAM5,PICALM,PINK1,RAB33B,RBM15,RHOU,RIC8A,RNF157,SCGB3A1,SGK1,SHROOM1,SLC25A46,SMAD4,TAOK2,TBC1D20,TPRN,TSC2,VPS54,WNT9A,ZBTB16,ZNF358",68,99,54.83,68,-8.24621125123532,-0.838019524862262,"brown"
"GO:0071383","GO:0071383","cellular response to steroid hormone stimulus",0.00305,"BCL2L11,CALCOCO1,CRY1,DAB2,DDIT4,EGLN2,ERRFI1,HDAC6,KLF9,NODAL,PAQR7,PCK1,PER1,PLAT,SGK1,SSTR5,VPS54,ZFP36",18,21,11.63,18,-4.24264068711929,-1.1196997335549,"brown"
"GO:0008285","GO:0008285","negative regulation of cell population proliferation",0.00375,"ADM,APOH,APPL2,BCL6,BTG1,CDKN1B,DAB2,DUSP1,GPNMB,IDO1,IFNLR1,IGFBP3,JUN,KLF9,NODAL,PDCD4,RNF41,SIRT2,SMAD4,SSTR5,TAX1BP3,TSC2,WNT9A,ZBTB16",24,30,16.61,24,-4.89897948556636,-0.969517475734403,"brown"
"GO:0060322","GO:0060322","head development",0.00834,"ATP6AP2,BCL2L11,CSNK1E,CTNS,DDIT4,DNAJB1,LIMK2,MAFB,MAPK1,MFSD2A,NDEL1,NODAL,PAFAH1B1,PEX13,PFKFB3,PITPNM1,SIRT2,SLC23A1,SLC25A46,SLC38A2,STXBP3,TOX",22,28,15.51,22,-4.69041575982343,-0.816386807211721,"brown"
"GO:0007281","GO:0007281","germ cell development",0.00839,"BCL2L1,CEP57,DEAF1,EPC1,NODAL,PAFAH1B1,PAQR7,SBF1,SIRT2,TBC1D20,ZBTB16",11,12,6.65,11,-3.3166247903554,-0.985731912252174,"brown"
"GO:0051241","GO:0051241","negative regulation of multicellular organismal process",0.0104,"ADM,APOH,APOM,APPL2,BCL6,CDKL3,CDKN1B,CRY1,DLL3,ERRFI1,FSTL4,GPNMB,HDAC6,IDO1,MAFB,MTMR2,NODAL,NR1H2,PDCD4,PDGFA,PGAM5,PLAT,PLAU,SIRT2,SMAD4,WNT9A,ZFP36",27,36,19.94,27,-5.19615242270663,-0.84477612241979,"brown"
"GO:0006869","GO:0006869","lipid transport",0.01111,"APOH,APOM,CHKA,CIDEC,CLN8,CPT2,CRY1,DAB2,EEPD1,GRAMD1B,GRAMD1C,MFSD2A,NR1H2,OSBPL3,PITPNM1,PLSCR1,SLC10A6,SLC25A17,SLC27A2,SLCO4A1,STAR,STARD10,TMEM41B,VAPA,VPS54",25,33,18.28,25,-5,-0.695492554248577,"brown"
"GO:0010817","GO:0010817","regulation of hormone levels",0.01226,"ADM,ATP6AP2,C1QTNF12,CRY1,DAB2,DGAT2,EDN3,HSD17B11,PIM3,PNPLA2,RAB1A,RPH3AL,SLC25A22,SLCO4A1,SMAD4,SSTR5,STXBP3,SULT1A1,SULT2A1,UGT1A9,YIPF5",21,27,14.95,21,-4.58257569495584,-0.779559262211646,"brown"
"GO:0043434","GO:0043434","response to peptide hormone",0.01256,"ADM,APPL2,BTG1,C1QTNF12,CCN2,CDKN1B,CRY1,ERRFI1,GKAP1,GOT1,HSD11B2,KLF15,MAPK1,NDEL1,PCK1,PDK4,PLAT,STXBP3,TSC2",19,24,13.29,19,-4.35889894354067,-0.864752166726306,"brown"
"GO:0007420","GO:0007420","brain development",0.01256,"BCL2L11,CSNK1E,CTNS,DDIT4,DNAJB1,MAFB,MFSD2A,NDEL1,NODAL,PAFAH1B1,PEX13,PFKFB3,PITPNM1,SIRT2,SLC23A1,SLC25A46,SLC38A2,STXBP3,TOX",19,24,13.29,19,-4.35889894354067,-0.800770424047158,"brown"
"GO:0043436","GO:0043436","oxoacid metabolic process",0.01383,"ABHD12,ACMSD,ACOT12,APPL2,ASL,CPT2,CTNS,CYP4B1,DDIT4,DGAT2,DHTKD1,GBA2,GCLM,GLUD2,GOT1,HACL1,HOGA1,IDO1,LRRC47,MFSD2A,MINPP1,MTARC1,NR1H2,OLAH,OSBPL3,PCK1,PDK4,PEX13,SERINC3,SLC23A1,SLC25A17,SLC27A2,SLC46A1,SORD,STAR,SULT1A1,SULT2A1,UGT1A9",38,54,29.91,38,-6.16441400296898,-0.825280114255145,"brown"
"GO:0006082","GO:0006082","organic acid metabolic process",0.01383,"ABHD12,ACMSD,ACOT12,APPL2,ASL,CPT2,CTNS,CYP4B1,DDIT4,DGAT2,DHTKD1,GBA2,GCLM,GLUD2,GOT1,HACL1,HOGA1,IDO1,LRRC47,MFSD2A,MINPP1,MTARC1,NR1H2,OLAH,OSBPL3,PCK1,PDK4,PEX13,SERINC3,SLC23A1,SLC25A17,SLC27A2,SLC46A1,SORD,STAR,SULT1A1,SULT2A1,UGT1A9",38,54,29.91,38,-6.16441400296898,-0.825280114255145,"brown"
"GO:0072593","GO:0072593","reactive oxygen species metabolic process",0.01417,"CCN2,CTNS,DDIT4,GCH1,HDAC6,PDK4,PINK1,RNF41,SESN1,SIRT2",10,11,6.09,10,-3.16227766016838,-0.887347860341032,"brown"
"GO:0044283","GO:0044283","small molecule biosynthetic process",0.01579,"ACMSD,ADM,ASL,C1QTNF12,CRTC2,CRY1,DAB2,DGAT2,GCH1,GLUD2,GOT1,HOGA1,IDO1,NR1H2,OLAH,OSBPL3,PCK1,PDK4,SERINC3,SLC27A2,SLC37A4,SORD,STAR,UCKL1",24,32,17.72,24,-4.89897948556636,-0.820661261232659,"brown"
"GO:0071417","GO:0071417","cellular response to organonitrogen compound",0.01785,"APPL2,BCL2L1,BCL2L11,C1QTNF12,ERRFI1,GCLM,GKAP1,GOT1,HCN3,JUN,KLF15,MAPK1,NDEL1,PCK1,PDK4,PLAT,SESN1,SIRT2,SNX6,TSC2",20,26,14.4,20,-4.47213595499958,-0.831448851509037,"brown"
"GO:0048871","GO:0048871","multicellular organismal-level homeostasis",0.01785,"ALAS1,AMPD2,APPL2,BCL2L11,BCL6,CCN2,CEBPG,CLN8,CNOT3,CPT2,MAFB,MFSD2A,NR1H2,PDK4,PGAM5,PLEKHM1,SQSTM1,TSC22D3,VPS54,ZFP36",20,26,14.4,20,-4.47213595499958,-0.68524768113809,"brown"
"GO:0001558","GO:0001558","regulation of cell growth",0.01859,"BCL6,BTG1,CDKL3,CDKN1B,CDKN2AIP,DAB2,EGLN2,FSTL4,HDAC6,IGFBP3,LPAR3,MFSD2A,PAFAH1B1,RNF157,SCGB3A1,SGK1,SMAD4,TAOK2",18,23,12.74,18,-4.24264068711929,-0.885469593784615,"brown"
"GO:0046395","GO:0046395","carboxylic acid catabolic process",0.01862,"ACMSD,CPT2,GLUD2,GOT1,HACL1,HOGA1,IDO1,MFSD2A,PCK1,PEX13,SLC25A17,SLC27A2,SORD,SULT2A1",14,17,9.41,14,-3.74165738677394,-0.755129731770663,"brown"
"GO:0016054","GO:0016054","organic acid catabolic process",0.01862,"ACMSD,CPT2,GLUD2,GOT1,HACL1,HOGA1,IDO1,MFSD2A,PCK1,PEX13,SLC25A17,SLC27A2,SORD,SULT2A1",14,17,9.41,14,-3.74165738677394,-0.755129731770663,"brown"
"GO:0007417","GO:0007417","central nervous system development",0.01873,"ATP6AP2,BCL2L11,CLN8,CSNK1E,CTNS,DDIT4,DNAJB1,GBA2,MAFB,MAPK1,MFSD2A,NDEL1,NODAL,NPAS2,PAFAH1B1,PEX13,PFKFB3,PITPNM1,SH3GL1,SIRT2,SLC23A1,SLC25A46,SLC38A2,STXBP3,TOX,VPS54,ZBTB16",27,37,20.49,27,-5.19615242270663,-0.851522482514131,"brown"
