"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0044273","GO:0044273","sulfur compound catabolic process",0.0036,"CDO1",1,11,0,1,-1,-2.09946261460765,"grey"
"GO:0000096","GO:0000096","sulfur amino acid metabolic process",0.0036,"CDO1",1,11,0,1,-1,-2.09946261460765,"grey"
"GO:0007589","GO:0007589","body fluid secretion",0.0039,"CDO1",1,12,0,1,-1,-2.09946261460765,"grey"
"GO:1901606","GO:1901606","alpha-amino acid catabolic process",0.0049,"CDO1",1,15,0,1,-1,-2.09946261460765,"grey"
"GO:0051591","GO:0051591","response to cAMP",0.0055,"CDO1",1,17,0.01,1,-1,-2.09946261460765,"grey"
"GO:0043200","GO:0043200","response to amino acid",0.0059,"CDO1",1,18,0.01,1,-1,-2.09946261460765,"grey"
"GO:0009063","GO:0009063","amino acid catabolic process",0.0065,"CDO1",1,20,0.01,1,-1,-2.09946261460765,"grey"
"GO:0006575","GO:0006575","cellular modified amino acid metabolic process",0.0075,"CDO1",1,23,0.01,1,-1,-2.09946261460765,"grey"
"GO:0045471","GO:0045471","response to ethanol",0.0085,"CDO1",1,26,0.01,1,-1,-2.09946261460765,"grey"
"GO:0030879","GO:0030879","mammary gland development",0.0091,"CDO1",1,28,0.01,1,-1,-2.09946261460765,"grey"
"GO:0051384","GO:0051384","response to glucocorticoid",0.0098,"CDO1",1,30,0.01,1,-1,-2.09946261460765,"grey"
"GO:0044272","GO:0044272","sulfur compound biosynthetic process",0.0111,"CDO1",1,34,0.01,1,-1,-2.09946261460765,"grey"
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process",0.0189,"CDO1",1,58,0.02,1,-1,-2.09946261460765,"grey"
"GO:0016053","GO:0016053","organic acid biosynthetic process",0.0192,"CDO1",1,59,0.02,1,-1,-2.09946261460765,"grey"
"GO:0043434","GO:0043434","response to peptide hormone",0.0277,"CDO1",1,85,0.03,1,-1,-2.09946261460765,"grey"
"GO:1901652","GO:1901652","response to peptide",0.0326,"CDO1",1,100,0.03,1,-1,-2.09946261460765,"grey"
"GO:0044283","GO:0044283","small molecule biosynthetic process",0.0375,"CDO1",1,115,0.04,1,-1,-2.09946261460765,"grey"
"GO:0006954","GO:0006954","inflammatory response",0.0463,"CDO1",1,142,0.05,1,-1,-2.09946261460765,"grey"
"GO:0006952","GO:0006952","defense response",0.0984,"CDO1",1,302,0.1,1,-1,-2.09946261460765,"grey"
"GO:1901566","GO:1901566","organonitrogen compound biosynthetic process",0.1042,"CDO1",1,320,0.1,1,-1,-2.09946261460765,"grey"
"GO:0006950","GO:0006950","response to stress",0.2443,"CDO1",1,750,0.24,1,-1,-2.09946261460765,"grey"
"GO:0044249","GO:0044249","cellular biosynthetic process",0.341,"CDO1",1,1047,0.34,1,-1,-2.09946261460765,"grey"
"GO:1901576","GO:1901576","organic substance biosynthetic process",0.3466,"CDO1",1,1064,0.35,1,-1,-2.09946261460765,"grey"
"GO:0009058","GO:0009058","biosynthetic process",0.3508,"CDO1",1,1077,0.35,1,-1,-2.09946261460765,"grey"
"GO:0050878","GO:0050878","regulation of body fluid levels",1,"CDO1",1,61,0.02,1,-1,-2.09946261460765,"grey"
"GO:0048856","GO:0048856","anatomical structure development",1,"CDO1",1,1022,0.33,1,-1,-2.09946261460765,"grey"
"GO:0071704","GO:0071704","organic substance metabolic process",1,"CDO1",1,2026,0.66,1,-1,-2.09946261460765,"grey"
"GO:0019752","GO:0019752","carboxylic acid metabolic process",1,"CDO1",1,191,0.06,1,-1,-2.09946261460765,"grey"
"GO:1901605","GO:1901605","alpha-amino acid metabolic process",1,"CDO1",1,37,0.01,1,-1,-2.09946261460765,"grey"
"GO:0048513","GO:0048513","animal organ development",1,"CDO1",1,548,0.18,1,-1,-2.09946261460765,"grey"
