"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0051641","GO:0051641","cellular localization",0.26,"ATP2C2,MLPH,MYO5C,P2RY4,PTPRN2,RAB27A,RAB3B,SYTL2,ZDHHC14,ZG16",10,14,8.45,10,-3.16227766016838,-0.795973484763346,"lightgreen"
"GO:0007165","GO:0007165","signal transduction",0.28,"ATOH1,ERN2,MCF2L,NEURL1,P2RY4,RAP1GAP,RGS2,SGSM3",8,11,6.64,8,-2.82842712474619,-0.865918014896521,"lightgreen"
"GO:0036211","GO:0036211","protein modification process",0.38,"ERN2,NEURL1,PTPRN2,RGS2,RNF39,USP54,ZDHHC14",7,10,6.03,7,-2.64575131106459,-0.71768227458926,"lightgreen"
"GO:0010646","GO:0010646","regulation of cell communication",0.38,"ERN2,MCF2L,NEURL1,P2RY4,RAP1GAP,RGS2,SGSM3",7,10,6.03,7,-2.64575131106459,-0.875995246828403,"lightgreen"
"GO:0043412","GO:0043412","macromolecule modification",0.38,"ERN2,NEURL1,PTPRN2,RGS2,RNF39,USP54,ZDHHC14",7,10,6.03,7,-2.64575131106459,-0.71768227458926,"lightgreen"
"GO:0023051","GO:0023051","regulation of signaling",0.38,"ERN2,MCF2L,NEURL1,P2RY4,RAP1GAP,RGS2,SGSM3",7,10,6.03,7,-2.64575131106459,-0.875995246828403,"lightgreen"
"GO:0019222","GO:0019222","regulation of metabolic process",0.4,"ATOH1,CREB3L4,ERN2,FER1L6,LRP3,NEURL1,RAB27A,RGS2,SGSM3,TFF3",10,15,9.05,10,-3.16227766016838,-0.7849280572479,"lightgreen"
"GO:0071704","GO:0071704","organic substance metabolic process",0.42,"AGPAT4,ATOH1,CAPN8,CAPN9,CREB3L4,ERN2,FER1L6,HS3ST6,LRP3,NEURL1,PTPRN2,RAB27A,RGS2,RNF39,SGSM3,SPATA20,TFF3,USP54,ZDHHC14",19,30,18.1,19,-4.35889894354067,-0.782667753510914,"lightgreen"
"GO:0008152","GO:0008152","metabolic process",0.42,"AGPAT4,ATOH1,CAPN8,CAPN9,CREB3L4,ERN2,FER1L6,HS3ST6,LRP3,NEURL1,PTPRN2,RAB27A,RGS2,RNF39,SGSM3,SPATA20,TFF3,USP54,ZDHHC14",19,30,18.1,19,-4.35889894354067,-0.782667753510914,"lightgreen"
"GO:0051649","GO:0051649","establishment of localization in cell",0.44,"MLPH,MYO5C,P2RY4,PTPRN2,RAB27A,RAB3B,SYTL2,ZDHHC14",8,12,7.24,8,-2.82842712474619,-0.830296928569768,"lightgreen"
"GO:0060255","GO:0060255","regulation of macromolecule metabolic process",0.49,"ATOH1,CREB3L4,ERN2,FER1L6,LRP3,NEURL1,RAB27A,RGS2,SGSM3",9,14,8.45,9,-3,-0.80934455513253,"lightgreen"
"GO:0032502","GO:0032502","developmental process",0.49,"ATOH1,ATP2C2,BCAS1,CCDC40,CREB3L4,HS3ST6,LRP3,NEURL1,RAB27A,RAP1GAP,RGS2,SPATA20",12,19,11.47,12,-3.46410161513775,-0.705589610867005,"lightgreen"
"GO:0023052","GO:0023052","signaling",0.54,"ATOH1,ERN2,MCF2L,NEURL1,P2RY4,PTPRN2,RAB3B,RAP1GAP,RGS2,SGSM3",10,16,9.66,10,-3.16227766016838,-0.8518890824254,"lightgreen"
"GO:0043170","GO:0043170","macromolecule metabolic process",0.54,"ATOH1,CAPN8,CAPN9,CREB3L4,ERN2,FER1L6,HS3ST6,LRP3,NEURL1,PTPRN2,RAB27A,RGS2,RNF39,SGSM3,USP54,ZDHHC14",16,26,15.69,16,-4,-0.773599978600566,"lightgreen"
"GO:0070727","GO:0070727","cellular macromolecule localization",0.54,"ATP2C2,MLPH,PTPRN2,RAB3B,SYTL2,ZDHHC14,ZG16",7,11,6.64,7,-2.64575131106459,-0.687232070238839,"lightgreen"
"GO:0008104","GO:0008104","protein localization",0.54,"ATP2C2,MLPH,PTPRN2,RAB3B,SYTL2,ZDHHC14,ZG16",7,11,6.64,7,-2.64575131106459,-0.687232070238839,"lightgreen"
"GO:0042221","GO:0042221","response to chemical",0.54,"ATOH1,CREB3L4,ERN2,NEURL1,P2RY4,PTPRN2,RGS2",7,11,6.64,7,-2.64575131106459,-0.851227236834988,"lightgreen"
"GO:0016043","GO:0016043","cellular component organization",0.59,"ANO7,ATOH1,CCDC40,ERN2,HEPACAM2,MYO5C,NEURL1,RAB27A,RAB3B,RAP1GAP,RGS2",11,18,10.86,11,-3.3166247903554,-0.720016726830709,"lightgreen"
"GO:0071840","GO:0071840","cellular component organization or biogenesis",0.59,"ANO7,ATOH1,CCDC40,ERN2,HEPACAM2,MYO5C,NEURL1,RAB27A,RAB3B,RAP1GAP,RGS2",11,18,10.86,11,-3.3166247903554,-0.720016726830709,"lightgreen"
"GO:0019538","GO:0019538","protein metabolic process",0.59,"CAPN8,CAPN9,ERN2,HS3ST6,NEURL1,PTPRN2,RGS2,RNF39,SGSM3,USP54,ZDHHC14",11,18,10.86,11,-3.3166247903554,-0.758030087981372,"lightgreen"
"GO:1901564","GO:1901564","organonitrogen compound metabolic process",0.59,"CAPN8,CAPN9,ERN2,HS3ST6,NEURL1,PTPRN2,RGS2,RNF39,SGSM3,USP54,ZDHHC14",11,18,10.86,11,-3.3166247903554,-0.758030087981372,"lightgreen"
"GO:0033036","GO:0033036","macromolecule localization",0.59,"ANO7,ATP2C2,MLPH,PTPRN2,RAB3B,SYTL2,ZDHHC14,ZG16",8,13,7.84,8,-2.82842712474619,-0.707401555291054,"lightgreen"
"GO:0010604","GO:0010604","positive regulation of macromolecule metabolic process",0.59,"ATOH1,CREB3L4,ERN2,FER1L6,LRP3,NEURL1,RAB27A,SGSM3",8,13,7.84,8,-2.82842712474619,-0.794721516159441,"lightgreen"
"GO:0009893","GO:0009893","positive regulation of metabolic process",0.59,"ATOH1,CREB3L4,ERN2,FER1L6,LRP3,NEURL1,RAB27A,SGSM3",8,13,7.84,8,-2.82842712474619,-0.794721516159441,"lightgreen"
"GO:0010467","GO:0010467","gene expression",0.59,"ATOH1,CREB3L4,ERN2,FER1L6,LRP3,NEURL1,RAB27A,RGS2",8,13,7.84,8,-2.82842712474619,-0.810971612422302,"lightgreen"
"GO:0010468","GO:0010468","regulation of gene expression",0.59,"ATOH1,CREB3L4,ERN2,FER1L6,LRP3,NEURL1,RAB27A,RGS2",8,13,7.84,8,-2.82842712474619,-0.810971612422302,"lightgreen"
"GO:0051179","GO:0051179","localization",0.63,"ANO7,ATP2C2,CCDC40,CRACR2A,LRP3,MLPH,MYO5C,NEURL1,P2RY4,PTPRN2,RAB27A,RAB3B,RASEF,RGS2,SGSM3,SYTL2,ZDHHC14,ZG16",18,30,18.1,18,-4.24264068711929,-0.766478232734743,"lightgreen"
"GO:0006810","GO:0006810","transport",0.63,"ANO7,ATP2C2,CCDC40,CRACR2A,LRP3,MLPH,MYO5C,NEURL1,P2RY4,PTPRN2,RAB27A,RAB3B,RASEF,RGS2,SGSM3,SYTL2,ZDHHC14,ZG16",18,30,18.1,18,-4.24264068711929,-0.766478232734743,"lightgreen"
"GO:0051234","GO:0051234","establishment of localization",0.63,"ANO7,ATP2C2,CCDC40,CRACR2A,LRP3,MLPH,MYO5C,NEURL1,P2RY4,PTPRN2,RAB27A,RAB3B,RASEF,RGS2,SGSM3,SYTL2,ZDHHC14,ZG16",18,30,18.1,18,-4.24264068711929,-0.766478232734743,"lightgreen"
"GO:0048731","GO:0048731","system development",0.65,"ATOH1,BCAS1,CCDC40,NEURL1,RAP1GAP,RGS2",6,10,6.03,6,-2.44948974278318,-0.713666766902395,"lightgreen"
