"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0030036","GO:0030036","actin cytoskeleton organization",0.013,"CLDN3,CORO1C,CTTN,EPS8,EZR,F2RL1,IQGAP2,NCK2,PDCD6IP,PIK3R1,PIK3R2,RFLNB,RHPN2,SDC4,SPIRE2,SRF",16,18,11.37,16,-4,-0.475740394769027,"magenta"
"GO:0030029","GO:0030029","actin filament-based process",0.022,"ATP1A1,CLDN3,CORO1C,CTTN,DSC2,EPS8,EZR,F2RL1,IQGAP2,JUP,NCK2,PDCD6IP,PIK3R1,PIK3R2,PKP2,RFLNB,RHPN2,SDC4,SPIRE2,SRF",20,24,15.16,20,-4.47213595499958,-0.481534711291823,"magenta"
"GO:0007015","GO:0007015","actin filament organization",0.028,"CORO1C,CTTN,EPS8,EZR,F2RL1,IQGAP2,NCK2,PIK3R1,PIK3R2,RFLNB,RHPN2,SDC4,SPIRE2,SRF",14,16,10.11,14,-3.74165738677394,-0.471342351855717,"magenta"
"GO:0050896","GO:0050896","response to stimulus",0.035,"ADAP1,ADGRB2,ADIPOR1,AHNAK,AMER3,ARHGAP21,ARHGAP42,ATP1A1,BACH1,BMP2,CANT1,CAPN2,CCDC92,CDH17,CDK16,CLDN3,CORO1C,CRY2,CSRNP1,CTTN,CUL1,DOCK9,DSC2,ELF1,EPC2,EPHA2,EPS8,EPS8L3,ETV5,EZR,F2RL1,FAM110C,GCNT2,GPSM2,GSDME,IFNGR1,IL1R1,IQGAP2,ITGA6,ITGB4,ITPKC,JAG1,JUP,KLF4,LRRC8A,MACO1,MAP2K3,MPP2,NCK2,NCSTN,NDRG1,NGEF,NOCT,NPC1,NR2F2,NRG1,ODC1,P2RY2,PAK4,PDGFC,PELI1,PERP,PIK3R1,PIK3R2,PPP1R2,PPP4R1,PPP4R2,PVR,RALGDS,RBBP8,RHPN2,RNF152,SDC4,SHB,SLC25A25,SOX13,SPINT1,SPIRE2,SREBF2,SRF,TAPT1,TIAM2,TNKS1BP1,TRIM25,UBXN6,ULK2,VASN,WRNIP1,WSB2,ZWILCH",90,132,83.37,90,-9.48683298050514,-0.523050492089195,"magenta"
"GO:0065007","GO:0065007","biological regulation",0.035,"ADAP1,ADGRB2,ADIPOR1,AHNAK,AMER3,ARHGAP21,ARHGAP42,ASAP1,ASPH,ATP1A1,BACH1,BMP2,CABLES2,CANT1,CAPN2,CAST,CCDC92,CDH17,CDK16,CLDN3,CORO1C,CRY2,CSRNP1,CTTN,CUL1,DOCK9,DSC2,EIF4G2,ELF1,EPC2,EPHA2,EPS8,EPS8L3,ETV5,EZR,F2RL1,FAM110C,FOSL2,GCNT2,GPSM2,GSDME,IFNGR1,IL1R1,IQGAP2,ITGA6,ITGB4,JAG1,JUP,KCNK5,KLF4,KLF6,KLHL21,LRRC8A,LRRFIP1,MACO1,MAP2K3,MISP,MPP2,MPP7,MXD1,MXI1,NCK2,NCSTN,NDRG1,NGEF,NOCT,NPC1,NR2F2,NRG1,ODC1,P2RY2,PAK4,PDCD6IP,PDGFC,PDP1,PELI1,PERP,PIK3R1,PIK3R2,PKP2,PPP1R2,PPP4R1,PPP4R2,PVR,RALGDS,RBBP8,RETREG1,RFLNB,RHPN2,RIPK4,RNF152,RTN3,SDC4,SHB,SLC4A9,SLC9A2,SOX13,SPAST,SPINT1,SPIRE2,SREBF2,SRF,TAPT1,TBC1D10B,TIAM2,TNKS1BP1,TRIM25,TTC39B,ULK2,VASN,WRNIP1,WSB2,ZSCAN22,ZWILCH",114,172,108.63,114,-10.6770782520313,-0.530568532967909,"magenta"
"GO:0051336","GO:0051336","regulation of hydrolase activity",0.038,"ADAP1,ARHGAP42,ASAP1,ASPH,BMP2,CAST,CLDN3,CORO1C,CRY2,DOCK9,EPHA2,F2RL1,IQGAP2,ITGA6,KLF4,NCSTN,NGEF,PERP,PPP1R2,RALGDS,SPINT1,TBC1D10B,TIAM2",23,29,18.32,23,-4.79583152331272,-0.510002296567267,"magenta"
"GO:0045321","GO:0045321","leukocyte activation",0.05,"CDH17,F2RL1,IFNGR1,KLF6,LRRC8A,NCK2,NCSTN,NDRG1,PELI1,PIK3R1,PIK3R2,SDC4,SHB,SOX13,SRF",15,18,11.37,15,-3.87298334620742,-0.496219059491938,"magenta"
"GO:0050789","GO:0050789","regulation of biological process",0.05,"ADAP1,ADGRB2,ADIPOR1,AHNAK,AMER3,ARHGAP21,ARHGAP42,ASAP1,ASPH,ATP1A1,BACH1,BMP2,CABLES2,CANT1,CAPN2,CAST,CCDC92,CDH17,CDK16,CLDN3,CORO1C,CRY2,CSRNP1,CTTN,CUL1,DOCK9,DSC2,EIF4G2,ELF1,EPC2,EPHA2,EPS8,EPS8L3,ETV5,EZR,F2RL1,FAM110C,FOSL2,GCNT2,GPSM2,GSDME,IFNGR1,IL1R1,IQGAP2,ITGA6,ITGB4,JAG1,JUP,KCNK5,KLF4,KLF6,KLHL21,LRRC8A,LRRFIP1,MACO1,MAP2K3,MISP,MPP2,MPP7,MXD1,MXI1,NCK2,NCSTN,NDRG1,NGEF,NOCT,NPC1,NR2F2,NRG1,ODC1,P2RY2,PAK4,PDCD6IP,PDGFC,PELI1,PERP,PIK3R1,PIK3R2,PKP2,PPP1R2,PPP4R1,PPP4R2,PVR,RALGDS,RBBP8,RETREG1,RFLNB,RHPN2,RIPK4,RNF152,RTN3,SDC4,SHB,SOX13,SPAST,SPINT1,SPIRE2,SREBF2,SRF,TAPT1,TIAM2,TNKS1BP1,TRIM25,TTC39B,ULK2,VASN,WRNIP1,WSB2,ZSCAN22,ZWILCH",110,166,104.84,110,-10.4880884817015,-0.529192994167294,"magenta"
"GO:0050794","GO:0050794","regulation of cellular process",0.051,"ADAP1,ADGRB2,ADIPOR1,AHNAK,AMER3,ARHGAP21,ARHGAP42,ASAP1,ASPH,ATP1A1,BACH1,BMP2,CABLES2,CANT1,CAPN2,CAST,CDH17,CDK16,CLDN3,CORO1C,CRY2,CSRNP1,CTTN,CUL1,DOCK9,DSC2,EIF4G2,ELF1,EPC2,EPHA2,EPS8,EPS8L3,ETV5,EZR,F2RL1,FAM110C,FOSL2,GCNT2,GPSM2,GSDME,IFNGR1,IL1R1,IQGAP2,ITGA6,ITGB4,JAG1,JUP,KCNK5,KLF4,KLF6,KLHL21,LRRC8A,LRRFIP1,MACO1,MAP2K3,MISP,MPP2,MPP7,MXD1,MXI1,NCK2,NCSTN,NDRG1,NGEF,NOCT,NPC1,NR2F2,NRG1,ODC1,P2RY2,PAK4,PDCD6IP,PDGFC,PELI1,PERP,PIK3R1,PIK3R2,PKP2,PPP1R2,PPP4R1,PPP4R2,PVR,RALGDS,RBBP8,RETREG1,RFLNB,RHPN2,RIPK4,RNF152,SDC4,SHB,SOX13,SPAST,SPINT1,SPIRE2,SREBF2,SRF,TAPT1,TIAM2,TNKS1BP1,TRIM25,ULK2,VASN,WRNIP1,WSB2,ZSCAN22,ZWILCH",107,161,101.68,107,-10.3440804327886,-0.531755246764527,"magenta"
"GO:0051716","GO:0051716","cellular response to stimulus",0.053,"ADAP1,ADGRB2,ADIPOR1,AMER3,ARHGAP21,ARHGAP42,ATP1A1,BACH1,BMP2,CANT1,CAPN2,CDH17,CDK16,CORO1C,CRY2,CSRNP1,CTTN,CUL1,DOCK9,DSC2,ELF1,EPC2,EPHA2,EPS8,EPS8L3,ETV5,EZR,F2RL1,FAM110C,GCNT2,GPSM2,GSDME,IFNGR1,IL1R1,IQGAP2,ITGA6,ITGB4,ITPKC,JAG1,JUP,KLF4,MACO1,MAP2K3,MPP2,NCK2,NCSTN,NDRG1,NGEF,NPC1,NR2F2,NRG1,P2RY2,PAK4,PDGFC,PELI1,PERP,PIK3R1,PIK3R2,PPP1R2,PPP4R1,PPP4R2,RALGDS,RBBP8,RHPN2,RNF152,SHB,SOX13,SPIRE2,SREBF2,SRF,TAPT1,TIAM2,TNKS1BP1,TRIM25,UBXN6,ULK2,VASN,WRNIP1,WSB2,ZWILCH",80,117,73.89,80,-8.94427190999916,-0.514131098653573,"magenta"
