"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0019637","GO:0019637","organophosphate metabolic process",0.05,"ACOT7,FMO2,PLA2G2A",3,11,0.95,3,-0.577350269189626,-0.219545563764456,"midnightblue"
"GO:0009605","GO:0009605","response to external stimulus",0.062,"CBS,CMTM8,DMBT1,PLA2G2A",4,20,1.72,4,-1,-0.476598147573457,"midnightblue"
"GO:0006793","GO:0006793","phosphorus metabolic process",0.062,"ACOT7,CBS,FMO2,PLA2G2A",4,20,1.72,4,-1,-0.605350336556148,"midnightblue"
"GO:0006796","GO:0006796","phosphate-containing compound metabolic process",0.062,"ACOT7,CBS,FMO2,PLA2G2A",4,20,1.72,4,-1,-0.605350336556148,"midnightblue"
"GO:0043436","GO:0043436","oxoacid metabolic process",0.064,"ACOT7,CBS,FMO2",3,12,1.03,3,-1.73205080756888,-1.35925723266495,"midnightblue"
"GO:0019752","GO:0019752","carboxylic acid metabolic process",0.064,"ACOT7,CBS,FMO2",3,12,1.03,3,-1.73205080756888,-1.35925723266495,"midnightblue"
"GO:0006082","GO:0006082","organic acid metabolic process",0.064,"ACOT7,CBS,FMO2",3,12,1.03,3,-1.73205080756888,-1.35925723266495,"midnightblue"
"GO:0006629","GO:0006629","lipid metabolic process",0.087,"ACOT7,BDH1,FMO2,PLA2G2A",4,22,1.89,4,0,0.000965531682610515,"midnightblue"
"GO:0044255","GO:0044255","cellular lipid metabolic process",0.116,"ACOT7,FMO2,PLA2G2A",3,15,1.29,3,-0.577350269189626,-0.219545563764456,"midnightblue"
"GO:0044281","GO:0044281","small molecule metabolic process",0.205,"ACOT7,CBS,FMO2",3,19,1.63,3,-1.73205080756888,-1.35925723266495,"midnightblue"
"GO:1901575","GO:1901575","organic substance catabolic process",0.205,"ACOT7,CBS,PLA2G2A",3,19,1.63,3,-0.577350269189626,-0.255888812326019,"midnightblue"
"GO:0009056","GO:0009056","catabolic process",0.23,"ACOT7,CBS,PLA2G2A",3,20,1.72,3,-0.577350269189626,-0.255888812326019,"midnightblue"
"GO:0044419","GO:0044419","biological process involved in interspecies interaction between organisms",0.239,"DMBT1,PLA2G2A",2,11,0.95,2,0,0.392702802286706,"midnightblue"
"GO:0009607","GO:0009607","response to biotic stimulus",0.239,"DMBT1,PLA2G2A",2,11,0.95,2,0,0.392702802286706,"midnightblue"
"GO:0051707","GO:0051707","response to other organism",0.239,"DMBT1,PLA2G2A",2,11,0.95,2,0,0.392702802286706,"midnightblue"
"GO:0043207","GO:0043207","response to external biotic stimulus",0.239,"DMBT1,PLA2G2A",2,11,0.95,2,0,0.392702802286706,"midnightblue"
"GO:0006952","GO:0006952","defense response",0.274,"DMBT1,PLA2G2A",2,12,1.03,2,0,0.392702802286706,"midnightblue"
"GO:1902531","GO:1902531","regulation of intracellular signal transduction",0.274,"CBS,PLA2G2A",2,12,1.03,2,0,-0.0531971515804891,"midnightblue"
"GO:1901565","GO:1901565","organonitrogen compound catabolic process",0.31,"ACOT7,CBS",2,13,1.12,2,-1.41421356237309,-1.21201839437415,"midnightblue"
"GO:1901566","GO:1901566","organonitrogen compound biosynthetic process",0.31,"ACOT7,CBS",2,13,1.12,2,-1.41421356237309,-1.21201839437415,"midnightblue"
"GO:1901360","GO:1901360","organic cyclic compound metabolic process",0.322,"ACOT7,BDH1,CBS,FMO2",4,34,2.92,4,-1,-0.853818219992756,"midnightblue"
"GO:0002376","GO:0002376","immune system process",0.345,"DMBT1,PLA2G2A",2,14,1.2,2,0,0.392702802286706,"midnightblue"
"GO:0003008","GO:0003008","system process",0.381,"BEST2,CBS",2,15,1.29,2,-1.41421356237309,-2.21331729279038,"midnightblue"
"GO:0044248","GO:0044248","cellular catabolic process",0.45,"ACOT7,CBS",2,17,1.46,2,-1.41421356237309,-1.21201839437415,"midnightblue"
"GO:1901564","GO:1901564","organonitrogen compound metabolic process",0.477,"ACOT7,CBS,FMO2,PLA2G2A",4,40,3.44,4,-1,-0.605350336556148,"midnightblue"
"GO:0007399","GO:0007399","nervous system development",0.484,"CBS,CMTM8",2,18,1.55,2,-1.41421356237309,-1.34589909743362,"midnightblue"
"GO:0048523","GO:0048523","negative regulation of cellular process",0.509,"CBS,FMO2,PLA2G2A",3,30,2.58,3,-0.577350269189626,-0.586709737469171,"midnightblue"
"GO:0006950","GO:0006950","response to stress",0.509,"CBS,DMBT1,PLA2G2A",3,30,2.58,3,-0.577350269189626,-0.32578635011927,"midnightblue"
"GO:0009966","GO:0009966","regulation of signal transduction",0.516,"CBS,PLA2G2A",2,19,1.63,2,0,-0.0531971515804891,"midnightblue"
"GO:0033036","GO:0033036","macromolecule localization",0.516,"DMBT1,PLA2G2A",2,19,1.63,2,0,0.392702802286706,"midnightblue"
