"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0051249","GO:0051249","regulation of lymphocyte activation",0.0082,"ADAM8,BANK1,CCL2,CCR2,CD1D,CD22,CD80,CD81,CD86,CORO1A,FANCA,FGR,HAVCR2,IL1B,IL4I1,NFAM1,NLRP3,PTPN6,PTPRC,SAMSN1,SIRPB1,SPI1,THEMIS2,TNFSF14,VSIR",25,25,20.92,25,5,1.04041409865971,"purple"
"GO:0050867","GO:0050867","positive regulation of cell activation",0.0124,"ADAM8,CCL2,CCR2,CD1D,CD80,CD81,CD86,CORO1A,CTSC,FGR,HAVCR2,IL1B,IL4I1,ITGAM,ITGB2,NLRP3,PLEK,PTPN6,PTPRC,SIRPB1,SPI1,TNFSF14,VSIR",23,23,19.25,23,4.79583152331272,1.00301955530161,"purple"
"GO:0002696","GO:0002696","positive regulation of leukocyte activation",0.0152,"ADAM8,CCL2,CCR2,CD1D,CD80,CD81,CD86,CORO1A,CTSC,FGR,HAVCR2,IL1B,IL4I1,ITGAM,ITGB2,NLRP3,PTPN6,PTPRC,SIRPB1,SPI1,TNFSF14,VSIR",22,22,18.41,22,4.69041575982343,0.986288464743225,"purple"
"GO:0045785","GO:0045785","positive regulation of cell adhesion",0.0229,"ADAM8,CASS4,CCL2,CCR2,CD1D,CD80,CD81,CD86,CORO1A,HAVCR2,IL1B,IL4I1,ITGB2,NLRP3,P2RY12,PTPN6,PTPRC,SIRPB1,TNFSF14,VSIR",20,20,16.74,20,4.47213595499958,1.0080755199142,"purple"
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion",0.028,"ADAM8,CCL2,CCR2,CD1D,CD80,CD81,CD86,CORO1A,CX3CR1,HAVCR2,IL1B,IL4I1,ITGB2,NLRP3,PTPN6,PTPRC,SIRPB1,TNFSF14,VSIR",19,19,15.9,19,4.35889894354067,1.02547239291513,"purple"
"GO:0051050","GO:0051050","positive regulation of transport",0.028,"ADAM8,ARRB2,CCL2,CCR2,CD300LF,CD81,CFP,CXCL10,DOCK2,FCER1G,FGR,IL1B,ITGAM,ITGB2,P2RY12,PRKCB,PTPRC,SIRPB1,TTN",19,19,15.9,19,4.35889894354067,0.940321752666655,"purple"
"GO:0043933","GO:0043933","protein-containing complex organization",0.028,"ALDH1A2,CFL1,CORO1A,DBNL,FANCA,GFM2,HCK,KCNC3,KCTD15,LCP1,NLRP3,P2RY12,PILRB,PLEK,PSTPIP1,ROM1,TTN,TWF2,XRCC5",19,19,15.9,19,4.35889894354067,0.65990375501369,"purple"
"GO:1903131","GO:1903131","mononuclear cell differentiation",0.028,"ADAM8,CCR2,CD1D,CD80,CD86,CMTM7,DOCK2,FANCA,FCER1G,IL1B,IL34,IL4I1,LY9,NFAM1,NLRP3,PTPN6,PTPRC,SPI1,VSIR",19,19,15.9,19,4.35889894354067,0.987090768353565,"purple"
"GO:0002250","GO:0002250","adaptive immune response",0.0333,"C1RL,CCR2,CD1D,CD244,CD80,CD81,CD86,CLEC4A,CTSC,CX3CR1,DBNL,FCER1G,GAPT,HAVCR2,IL17RA,IL1B,IL4I1,LILRA6,LILRB3,LY9,NLRP3,PRKCB,PTPN6,PTPRC,SAMSN1,SIGLEC10,UNC93B1",27,28,23.43,27,5.19615242270663,0.867682789804456,"purple"
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation",0.0341,"ADAM8,CCL2,CCR2,CD1D,CD80,CD81,CD86,CORO1A,HAVCR2,IL1B,IL4I1,NLRP3,PTPN6,PTPRC,SIRPB1,SPI1,TNFSF14,VSIR",18,18,15.07,18,4.24264068711929,1.019890222229,"purple"
