"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0042113","GO:0042113","B cell activation",0.00083,"BTK,CARD11,CCR6,CD180,CD19,CD27,CD74,CD79A,CR2,CXCR5,DOCK10,FCRL1,FLT3,GPR183,HDAC9,ICOSLG,IKZF3,IL27RA,IL2RG,IRF8,ITGA4,LAPTM5,LAX1,LYL1,LYN,MEF2C,MS4A1,MZB1,NCKAP1L,NFKBIZ,PIK3CD,PLCG2,POU2AF1,SASH3,SFRP1,SH3KBP1,SLAMF8,SWAP70,SYK,TBC1D10C,TCIRG1,TLR9,TNFRSF13B,TNFRSF4,TNFSF13,VCAM1,ZAP70",47,50,38.52,47,6.85565460040104,1.2491400700376,"red"
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation",0.00273,"BTK,CD74,IRF1,LAG3,LAPTM5,LAX1,LYN,NCKAP1L,PLA2G2D,PLA2G5,PTPN22,RASSF5,RIPOR2,RUNX3,SFRP1,SOCS1,SPN,TBC1D10C,TNFRSF13B,TNFRSF14,TSPAN32,ZC3H12A",22,22,16.95,22,4.69041575982343,1.08200018856424,"red"
"GO:0046651","GO:0046651","lymphocyte proliferation",0.00537,"BTK,CARD11,CCDC88B,CCL5,CD180,CD19,CD3E,CD74,CD79A,CR2,EBI3,FLT3,GPR183,HLA-DPA1,ICOSLG,IKZF3,IL23R,IRF1,LYN,MEF2C,MS4A1,MZB1,NCKAP1L,NFKBIZ,PIK3CG,PLA2G2D,PLA2G5,PSMB10,PTPN22,RASAL3,RASSF5,SASH3,SH2D2A,SPN,SYK,TLR9,TMIGD2,TNFRSF13B,TNFRSF14,TNFRSF4,TNFRSF9,TSPAN32,VCAM1,ZAP70",44,48,36.98,44,6.6332495807108,1.32473240510208,"red"
"GO:1902105","GO:1902105","regulation of leukocyte differentiation",0.00541,"BTK,CARD11,CD2,CD27,CD4,CD74,CD83,GPR55,HCLS1,HLA-DOA,IKZF3,IL23R,IL2RG,IRF1,IRF4,LAG3,LYN,NCKAP1L,NFKBIZ,PIK3R6,RASSF2,RHOH,RUNX3,SASH3,SFRP1,SLAMF8,SOCS1,SYK,TESC,TLR9,TNF,ZAP70,ZC3H12A",33,35,26.97,33,5.74456264653803,1.1827810501358,"red"
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion",0.00805,"CARD11,CCDC88B,CCL5,CD27,CD3E,CD4,CD5,CD74,CD83,EBI3,HLA-DOA,HLA-DPA1,ICOSLG,IL23R,IL2RG,IRF1,ITGA4,KLRK1,LAG3,LAPTM5,LAX1,LYN,NCKAP1L,NFKBIZ,PIK3R6,PLA2G2D,PLA2G5,PTPN22,RASAL3,RHOH,RIPOR2,RUNX3,SASH3,SIRPA,SKAP1,SOCS1,SPN,SYK,THY1,TMIGD2,TNF,TNFRSF14,TSPAN32,VAV1,VCAM1,ZAP70,ZC3H12A",47,52,40.07,47,6.85565460040104,1.1722184598588,"red"
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion",0.0082,"AKNA,CD74,IRF1,LAG3,LAPTM5,LAX1,NCKAP1L,PLA2G2D,PLA2G5,PTPN22,RIPOR2,RUNX3,SOCS1,SPN,SWAP70,TNFRSF14,TSPAN32,ZC3H12A",18,18,13.87,18,4.24264068711929,1.08936386911551,"red"
"GO:0045892","GO:0045892","negative regulation of DNA-templated transcription",0.00841,"BATF3,BIN1,CBX4,HCLS1,HDAC9,IKZF1,IRF1,IRF8,LBH,MEF2C,PARP1,PARP10,PARP14,POU2F1,RFX5,RUNX3,SEMA4D,SFRP1,SLA2,STAT1,TFEC,TNF,TNFRSF4,ZBTB32,ZNF296",25,26,20.03,25,5,0.840236427499642,"red"
"GO:0046631","GO:0046631","alpha-beta T cell activation",0.00851,"CARD11,CD247,CD3D,CD3E,CD3G,CD83,EBI3,GPR18,GPR183,IL23R,IL2RG,IRF1,IRF4,NCKAP1L,NFKBIZ,NKG7,PLA2G2D,PTPN22,RASAL3,RUNX3,SASH3,SEMA4A,SLAMF6,SOCS1,SPN,SYK,TCIRG1,TNFRSF14,WDFY4,ZAP70,ZC3H12A",31,33,25.43,31,5.56776436283002,1.11736087446813,"red"
"GO:1903131","GO:1903131","mononuclear cell differentiation",0.00966,"BATF3,BTK,CARD11,CCR6,CD19,CD2,CD27,CD3D,CD3E,CD3G,CD4,CD74,CD79A,CD83,CD8A,CR2,DOCK10,FLT3,GPR18,GPR183,HDAC9,HLA-DOA,IKZF1,IKZF3,IL23R,IL2RG,IRF1,IRF4,IRF8,ITGA4,LAG3,LYL1,LYN,MS4A1,NCKAP1L,NFKBIZ,PIK3CD,PIK3R6,PLA2G2D,PLCG2,POU2AF1,PTPN22,RHOH,RUNX3,SASH3,SEMA4A,SFRP1,SLAMF6,SLAMF8,SOCS1,SPN,SYK,TCIRG1,TLR9,TNFRSF9,UBD,VAV1,VCAM1,ZAP70,ZC3H12A",60,68,52.39,60,7.74596669241483,1.3117371383094,"red"
"GO:0033627","GO:0033627","cell adhesion mediated by integrin",0.01078,"CCL5,CD3E,FERMT3,ITGA4,ITGAD,ITGAE,ITGAL,ITGAX,ITGB7,LPXN,LYN,NCKAP1L,PIK3CG,SKAP1,SWAP70,SYK,TESC",17,17,13.1,17,4.12310562561766,1.06001528293475,"red"
