"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0043170","GO:0043170","macromolecule metabolic process",0.098,"CASP3,PRIMPOL",2,11,0.65,2,1.41421356237309,1.72378348954287,"royalblue"
"GO:0071840","GO:0071840","cellular component organization or biogenesis",0.118,"CASP3,PRIMPOL",2,12,0.71,2,1.41421356237309,1.72378348954287,"royalblue"
"GO:0016043","GO:0016043","cellular component organization",0.118,"CASP3,PRIMPOL",2,12,0.71,2,1.41421356237309,1.72378348954287,"royalblue"
"GO:0051716","GO:0051716","cellular response to stimulus",0.139,"CASP3,PRIMPOL",2,13,0.76,2,1.41421356237309,1.72378348954287,"royalblue"
"GO:0050896","GO:0050896","response to stimulus",0.214,"CASP3,PRIMPOL",2,16,0.94,2,1.41421356237309,1.72378348954287,"royalblue"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",0.242,"CASP3,PRIMPOL",2,17,1,2,1.41421356237309,1.72378348954287,"royalblue"
"GO:0044238","GO:0044238","primary metabolic process",0.374,"CASP3,PRIMPOL",2,21,1.24,2,1.41421356237309,1.72378348954287,"royalblue"
"GO:0071704","GO:0071704","organic substance metabolic process",0.412,"CASP3,PRIMPOL",2,22,1.29,2,1.41421356237309,1.72378348954287,"royalblue"
"GO:0044237","GO:0044237","cellular metabolic process",0.412,"CASP3,PRIMPOL",2,22,1.29,2,1.41421356237309,1.72378348954287,"royalblue"
"GO:0051171","GO:0051171","regulation of nitrogen compound metabolic process",0.508,"CASP3",1,10,0.59,1,1,2.70401819005466,"royalblue"
"GO:0080090","GO:0080090","regulation of primary metabolic process",0.508,"CASP3",1,10,0.59,1,1,2.70401819005466,"royalblue"
"GO:0048523","GO:0048523","negative regulation of cellular process",0.508,"CASP3",1,10,0.59,1,1,2.70401819005466,"royalblue"
"GO:0060255","GO:0060255","regulation of macromolecule metabolic process",0.508,"CASP3",1,10,0.59,1,1,2.70401819005466,"royalblue"
"GO:0006139","GO:0006139","nucleobase-containing compound metabolic process",0.508,"PRIMPOL",1,10,0.59,1,1,0.743548789031084,"royalblue"
"GO:0008152","GO:0008152","metabolic process",0.535,"CASP3,PRIMPOL",2,25,1.47,2,1.41421356237309,1.72378348954287,"royalblue"
"GO:0031323","GO:0031323","regulation of cellular metabolic process",0.549,"CASP3",1,11,0.65,1,1,2.70401819005466,"royalblue"
"GO:0048519","GO:0048519","negative regulation of biological process",0.549,"CASP3",1,11,0.65,1,1,2.70401819005466,"royalblue"
"GO:1901362","GO:1901362","organic cyclic compound biosynthetic process",0.549,"PRIMPOL",1,11,0.65,1,1,0.743548789031084,"royalblue"
"GO:0048869","GO:0048869","cellular developmental process",0.549,"CASP3",1,11,0.65,1,1,2.70401819005466,"royalblue"
"GO:0044271","GO:0044271","cellular nitrogen compound biosynthetic process",0.549,"PRIMPOL",1,11,0.65,1,1,0.743548789031084,"royalblue"
"GO:0030154","GO:0030154","cell differentiation",0.549,"CASP3",1,11,0.65,1,1,2.70401819005466,"royalblue"
"GO:0034641","GO:0034641","cellular nitrogen compound metabolic process",0.588,"PRIMPOL",1,12,0.71,1,1,0.743548789031084,"royalblue"
"GO:0048856","GO:0048856","anatomical structure development",0.588,"CASP3",1,12,0.71,1,1,2.70401819005466,"royalblue"
"GO:0006725","GO:0006725","cellular aromatic compound metabolic process",0.588,"PRIMPOL",1,12,0.71,1,1,0.743548789031084,"royalblue"
"GO:0019222","GO:0019222","regulation of metabolic process",0.588,"CASP3",1,12,0.71,1,1,2.70401819005466,"royalblue"
"GO:0046483","GO:0046483","heterocycle metabolic process",0.626,"PRIMPOL",1,13,0.76,1,1,0.743548789031084,"royalblue"
"GO:0048522","GO:0048522","positive regulation of cellular process",0.626,"CASP3",1,13,0.76,1,1,2.70401819005466,"royalblue"
"GO:0048518","GO:0048518","positive regulation of biological process",0.661,"CASP3",1,14,0.82,1,1,2.70401819005466,"royalblue"
"GO:0032502","GO:0032502","developmental process",0.661,"CASP3",1,14,0.82,1,1,2.70401819005466,"royalblue"
"GO:0044249","GO:0044249","cellular biosynthetic process",0.661,"PRIMPOL",1,14,0.82,1,1,0.743548789031084,"royalblue"
