"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0022607","GO:0022607","cellular component assembly",0.011,"EIF5,PKN2,RANBP9",3,29,0.69,3,-1.73205080756888,-0.421780159043705,"salmon"
"GO:0044085","GO:0044085","cellular component biogenesis",0.012,"EIF5,PKN2,RANBP9",3,30,0.71,3,-1.73205080756888,-0.421780159043705,"salmon"
"GO:0065003","GO:0065003","protein-containing complex assembly",0.024,"EIF5,RANBP9",2,12,0.29,2,-1.41421356237309,-0.390250876322778,"salmon"
"GO:0043933","GO:0043933","protein-containing complex organization",0.042,"EIF5,RANBP9",2,16,0.38,2,-1.41421356237309,-0.390250876322778,"salmon"
"GO:0071840","GO:0071840","cellular component organization or biogenesis",0.116,"EIF5,PKN2,RANBP9",3,62,1.48,3,-1.73205080756888,-0.421780159043705,"salmon"
"GO:0016043","GO:0016043","cellular component organization",0.116,"EIF5,PKN2,RANBP9",3,62,1.48,3,-1.73205080756888,-0.421780159043705,"salmon"
"GO:0019538","GO:0019538","protein metabolic process",0.147,"EIF5,PKN2,RANBP9",3,67,1.6,3,-1.73205080756888,-0.421780159043705,"salmon"
"GO:0051246","GO:0051246","regulation of protein metabolic process",0.158,"EIF5,RANBP9",2,32,0.76,2,-1.41421356237309,-0.390250876322778,"salmon"
"GO:1901564","GO:1901564","organonitrogen compound metabolic process",0.183,"EIF5,PKN2,RANBP9",3,72,1.71,3,-1.73205080756888,-0.421780159043705,"salmon"
"GO:0035556","GO:0035556","intracellular signal transduction",0.216,"PKN2,RANBP9",2,38,0.9,2,-1.41421356237309,-0.440282619498999,"salmon"
"GO:0043604","GO:0043604","amide biosynthetic process",0.221,"EIF5",1,10,0.24,1,-1,-0.384775238133115,"salmon"
"GO:0006518","GO:0006518","peptide metabolic process",0.221,"EIF5",1,10,0.24,1,-1,-0.384775238133115,"salmon"
"GO:2000112","GO:2000112","regulation of cellular macromolecule biosynthetic process",0.221,"EIF5",1,10,0.24,1,-1,-0.384775238133115,"salmon"
"GO:0000165","GO:0000165","MAPK cascade",0.221,"RANBP9",1,10,0.24,1,-1,-0.395726514512441,"salmon"
"GO:0051301","GO:0051301","cell division",0.221,"PKN2",1,10,0.24,1,-1,-0.484838724485557,"salmon"
"GO:0007346","GO:0007346","regulation of mitotic cell cycle",0.241,"PKN2",1,11,0.26,1,-1,-0.484838724485557,"salmon"
"GO:0007017","GO:0007017","microtubule-based process",0.241,"RANBP9",1,11,0.26,1,-1,-0.395726514512441,"salmon"
"GO:0043603","GO:0043603","amide metabolic process",0.261,"EIF5",1,12,0.29,1,-1,-0.384775238133115,"salmon"
"GO:0010564","GO:0010564","regulation of cell cycle process",0.261,"PKN2",1,12,0.29,1,-1,-0.484838724485557,"salmon"
"GO:0018193","GO:0018193","peptidyl-amino acid modification",0.261,"PKN2",1,12,0.29,1,-1,-0.484838724485557,"salmon"
"GO:0016477","GO:0016477","cell migration",0.281,"PKN2",1,13,0.31,1,-1,-0.484838724485557,"salmon"
"GO:0048870","GO:0048870","cell motility",0.281,"PKN2",1,13,0.31,1,-1,-0.484838724485557,"salmon"
"GO:0030030","GO:0030030","cell projection organization",0.337,"PKN2",1,16,0.38,1,-1,-0.484838724485557,"salmon"
"GO:0034645","GO:0034645","cellular macromolecule biosynthetic process",0.337,"EIF5",1,16,0.38,1,-1,-0.384775238133115,"salmon"
"GO:0007165","GO:0007165","signal transduction",0.346,"PKN2,RANBP9",2,50,1.19,2,-1.41421356237309,-0.440282619498999,"salmon"
"GO:0009968","GO:0009968","negative regulation of signal transduction",0.355,"RANBP9",1,17,0.4,1,-1,-0.395726514512441,"salmon"
"GO:0007154","GO:0007154","cell communication",0.358,"PKN2,RANBP9",2,51,1.21,2,-1.41421356237309,-0.440282619498999,"salmon"
"GO:0023052","GO:0023052","signaling",0.358,"PKN2,RANBP9",2,51,1.21,2,-1.41421356237309,-0.440282619498999,"salmon"
"GO:0007155","GO:0007155","cell adhesion",0.373,"PKN2",1,18,0.43,1,-1,-0.484838724485557,"salmon"
"GO:0006468","GO:0006468","protein phosphorylation",0.373,"PKN2",1,18,0.43,1,-1,-0.484838724485557,"salmon"
