"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0072073","GO:0072073","kidney epithelium development",0.043,"AGT,LAMA5,PECAM1,PKD1,PKD2,SPRY1,WWTR1",7,10,3.91,7,-2.64575131106459,-0.680957436292692,"tan"
"GO:0006508","GO:0006508","proteolysis",0.064,"ADAMTS1,ADAMTS2,HTRA3,MMP19,NKD2,PKD1,RHPN1,SNX33,TIMP3,TRIM3,WWTR1",11,19,7.43,11,-3.3166247903554,-0.648557987826754,"tan"
"GO:0051129","GO:0051129","negative regulation of cellular component organization",0.069,"DENND5A,HSPA2,KANK3,RHPN1,S1PR1,SEMA3F,SEMA3G,SEMA6B,SNX33,SPTBN2",10,17,6.64,10,-3.16227766016838,-0.639601603303391,"tan"
"GO:0006816","GO:0006816","calcium ion transport",0.082,"AGT,ATP1A2,GNB5,HSPA2,PKD1,PKD2,RGS4",7,11,4.3,7,-2.64575131106459,-0.740586826600719,"tan"
"GO:0031344","GO:0031344","regulation of cell projection organization",0.082,"AGT,DENND5A,DIXDC1,ENPP2,SEMA3F,SEMA3G,SEMA6B",7,11,4.3,7,-2.64575131106459,-0.675480996296418,"tan"
"GO:1901699","GO:1901699","cellular response to nitrogen compound",0.082,"AGT,AGTR1,ASS1,GNB5,PKD2,RGS4,TNS2",7,11,4.3,7,-2.64575131106459,-0.78500417052566,"tan"
"GO:0120035","GO:0120035","regulation of plasma membrane bounded cell projection organization",0.082,"AGT,DENND5A,DIXDC1,ENPP2,SEMA3F,SEMA3G,SEMA6B",7,11,4.3,7,-2.64575131106459,-0.675480996296418,"tan"
"GO:0071417","GO:0071417","cellular response to organonitrogen compound",0.082,"AGT,AGTR1,ASS1,GNB5,PKD2,RGS4,TNS2",7,11,4.3,7,-2.64575131106459,-0.78500417052566,"tan"
"GO:0001822","GO:0001822","kidney development",0.097,"ADAMTS1,AGT,AGTR1,ASS1,LAMA5,PECAM1,PKD1,PKD2,SPRY1,TNS2,WWTR1",11,20,7.82,11,-3.3166247903554,-0.736433918020524,"tan"
"GO:0007186","GO:0007186","G protein-coupled receptor signaling pathway",0.105,"ADGRF5,ADGRL4,AGT,AGTR1,FZD2,GNB5,PREX2,RGS4,RGS5,S1PR1",10,18,7.03,10,-3.16227766016838,-0.760903101670833,"tan"
