"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly",3.7e-05,"BCS1L,DMAC1,FOXRED1,NDUFA1,NDUFA12,NDUFA2,NDUFA9,NDUFAB1,NDUFAF5,NDUFB1,NDUFB5,NDUFC2,NDUFS1,NDUFS4,NDUFS5,TIMM21",16,41,5.57,16,4,0.53788925393006,"turquoise"
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",0.00019,"ATP5F1E,ATP5ME,ATP5MF,ATP5PF,NDUFA1,NDUFA12,NDUFA2,NDUFA9,NDUFAB1,NDUFB1,NDUFB5,NDUFC2,NDUFS1,NDUFS4,NDUFS5,NDUFV2",16,46,6.24,16,4,0.624415288444747,"turquoise"
"GO:0006120","GO:0006120","mitochondrial electron transport, NADH to ubiquinone",0.00036,"NDUFA1,NDUFA2,NDUFA4,NDUFA9,NDUFAB1,NDUFB1,NDUFB5,NDUFC2,NDUFS1,NDUFS4,NDUFS5,NDUFV2,PARK7",13,35,4.75,13,3.60555127546399,0.540856803330104,"turquoise"
"GO:0072676","GO:0072676","lymphocyte migration",0.00065,"AIF1,CCL11,CCL20,CCL7,CXCL13,PYCARD,XCL1",7,13,1.76,7,2.64575131106459,1.24169015619016,"turquoise"
"GO:0051301","GO:0051301","cell division",7e-04,"ANAPC13,BIRC5,CCNB1,CDC20,CDC6,CDC7,CDK1,CENPA,CENPS,CETN3,CKS1B,CKS2,HAUS1,HAUS4,MAD2L1,NUP37,PTTG1,RALA,SKA3,SPC24,SPDL1,STMN1,SYCE1,TACC3,UBE2C,VRK1",26,102,13.85,26,5.09901951359279,0.68749408560989,"turquoise"
"GO:0048144","GO:0048144","fibroblast proliferation",0.00133,"CCNB1,CDC6,CDK1,CKS1B,CKS2,NDUFS4,PRDX1,RNASEH2B",8,18,2.44,8,2.82842712474619,0.680243331581407,"turquoise"
"GO:0006954","GO:0006954","inflammatory response",0.00135,"AIF1,CCL11,CCL20,CCL7,CHID1,CXCL13,CYBA,EZH2,HMGB2,IFI35,NDUFC2,NMI,NOS2,PARK7,PYCARD,RARRES2,TMEM258,TMSB4X,TYROBP,XCL1",20,74,10.04,20,4.47213595499958,1.05363358263346,"turquoise"
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity",0.00151,"B2M,NOS2,PRDX1,SERPINB9,TYROBP,XCL1",6,11,1.49,6,2.44948974278318,1.47373205520541,"turquoise"
"GO:0071346","GO:0071346","cellular response to type II interferon",0.00192,"AIF1,CCL11,CCL20,CCL7,NOS2,PARP9,XCL1",7,15,2.04,7,2.64575131106459,1.56634888917378,"turquoise"
"GO:0043547","GO:0043547","positive regulation of GTPase activity",0.00204,"CCL11,CCL20,CCL7,CXCL13,DOCK11,EZH2,GPR65,XCL1",8,19,2.58,8,2.82842712474619,1.06864833229143,"turquoise"
"GO:0071677","GO:0071677","positive regulation of mononuclear cell migration",0.00268,"AIF1,CCL20,CCL7,CXCL13,PYCARD,XCL1",6,12,1.63,6,2.44948974278318,1.25953612713536,"turquoise"
"GO:0042742","GO:0042742","defense response to bacterium",0.00279,"CCL20,CXCL13,CYBA,HMGB2,LYG1,NOS2,PYCARD,RARRES2,ROMO1",9,24,3.26,9,3,1.52423923369808,"turquoise"
"GO:0032479","GO:0032479","regulation of type I interferon production",0.00302,"BANF1,HMGB2,IRF7,NMI,PYCARD,TRAIP,TRIM21",7,16,2.17,7,2.64575131106459,0.692171868022237,"turquoise"
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling",0.00302,"BIRC5,CCNB1,CDC20,MAD2L1,SPC24,SPDL1,TTK",7,16,2.17,7,2.64575131106459,0.655271009047315,"turquoise"
"GO:0001818","GO:0001818","negative regulation of cytokine production",0.00385,"BANF1,CHID1,EZH2,NMI,PYCARD,TMSB4X,TRAIP,TYROBP,XCL1",9,25,3.39,9,3,0.727455230774411,"turquoise"
"GO:0009394","GO:0009394","2'-deoxyribonucleotide metabolic process",0.00442,"DCTPP1,DTYMK,DUT,GUK1,RRM2B,TYMS",6,13,1.76,6,2.44948974278318,0.693677476864619,"turquoise"
"GO:0050921","GO:0050921","positive regulation of chemotaxis",0.00442,"AIF1,CCL7,CXCL13,RARRES2,TMSB4X,XCL1",6,13,1.76,6,2.44948974278318,1.19595525341744,"turquoise"
"GO:0070374","GO:0070374","positive regulation of ERK1 and ERK2 cascade",0.00442,"CCL11,CCL20,CCL7,GLIPR2,PYCARD,XCL1",6,13,1.76,6,2.44948974278318,1.12317807371679,"turquoise"
"GO:0060326","GO:0060326","cell chemotaxis",0.00444,"AIF1,CCL11,CCL20,CCL28,CCL7,CXCL13,HMGB2,RARRES2,TMSB4X,XCL1",10,30,4.07,10,3.16227766016838,1.10758390142569,"turquoise"
"GO:0008284","GO:0008284","positive regulation of cell population proliferation",0.00505,"AIF1,BIRC5,CCL11,CCNB1,CDC20,CDC6,CDC7,CDK1,COPS9,CYBA,ELL3,EZH2,HMGB2,NDUFS4,POLD4,PYCARD,RNASEH2B,ROMO1,TTK,XCL1",20,82,11.13,20,4.47213595499958,0.798224592605628,"turquoise"
"GO:0072593","GO:0072593","reactive oxygen species metabolic process",0.00579,"CYBA,NDUFC2,NDUFS1,NDUFS4,NOS2,PARK7,PRDX1,PRDX4,ROMO1,TYROBP",10,31,4.21,10,3.16227766016838,0.993201678208071,"turquoise"
"GO:0071356","GO:0071356","cellular response to tumor necrosis factor",0.00596,"CCL11,CCL20,CCL7,CYBA,PYCARD,TMSB4X,TRAIP,XCL1",8,22,2.99,8,2.82842712474619,0.997180564994028,"turquoise"
"GO:0071347","GO:0071347","cellular response to interleukin-1",0.00627,"CCL11,CCL20,CCL7,PYCARD,XCL1",5,10,1.36,5,2.23606797749979,1.16375143455518,"turquoise"
"GO:0033260","GO:0033260","nuclear DNA replication",0.00627,"CDC45,CDC7,DBF4,FEN1,GINS1",5,10,1.36,5,2.23606797749979,0.545571762489392,"turquoise"
"GO:0002274","GO:0002274","myeloid leukocyte activation",0.00686,"AIF1,BATF2,IFI35,NMI,PYCARD,TYROBP",6,14,1.9,6,2.44948974278318,0.938521330190087,"turquoise"
