"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0006139","GO:0006139","nucleobase-containing compound metabolic process",0.095,"CTNNBIP1,DCLRE1B,EPC2,MAPK10,MAX,MIER3,PCGF2,PPM1D,QKI,RBM46,RIPK2,RXRB,SPIDR,TENT4B,TPMT,TSC22D3,ZNF227,ZNF724",18,25,15.48,18,-4.24264068711929,-0.480183832162366,"midnightblue"
"GO:0006725","GO:0006725","cellular aromatic compound metabolic process",0.095,"CTNNBIP1,DCLRE1B,EPC2,MAPK10,MAX,MIER3,PCGF2,PPM1D,QKI,RBM46,RIPK2,RXRB,SPIDR,TENT4B,TPMT,TSC22D3,ZNF227,ZNF724",18,25,15.48,18,-4.24264068711929,-0.480183832162366,"midnightblue"
"GO:0046483","GO:0046483","heterocycle metabolic process",0.095,"CTNNBIP1,DCLRE1B,EPC2,MAPK10,MAX,MIER3,PCGF2,PPM1D,QKI,RBM46,RIPK2,RXRB,SPIDR,TENT4B,TPMT,TSC22D3,ZNF227,ZNF724",18,25,15.48,18,-4.24264068711929,-0.480183832162366,"midnightblue"
"GO:0034641","GO:0034641","cellular nitrogen compound metabolic process",0.095,"CTNNBIP1,DCLRE1B,EPC2,MAPK10,MAX,MIER3,PCGF2,PPM1D,QKI,RBM46,RIPK2,RXRB,SPIDR,TENT4B,TPMT,TSC22D3,ZNF227,ZNF724",18,25,15.48,18,-4.24264068711929,-0.480183832162366,"midnightblue"
"GO:1901360","GO:1901360","organic cyclic compound metabolic process",0.095,"CTNNBIP1,DCLRE1B,EPC2,MAPK10,MAX,MIER3,PCGF2,PPM1D,QKI,RBM46,RIPK2,RXRB,SPIDR,TENT4B,TPMT,TSC22D3,ZNF227,ZNF724",18,25,15.48,18,-4.24264068711929,-0.480183832162366,"midnightblue"
"GO:0044237","GO:0044237","cellular metabolic process",0.136,"CCNF,CLDN3,CTNNBIP1,DCLRE1B,EPC2,FAM135A,GLUL,MAPK10,MAX,MIER3,PCGF2,PPM1D,QKI,RBM46,RETREG1,RIPK2,RXRB,SPIDR,TBC1D17,TENT4B,TPMT,TSC22D3,ZNF227,ZNF724",24,36,22.29,24,-4.89897948556636,-0.602364477121697,"midnightblue"
"GO:0090304","GO:0090304","nucleic acid metabolic process",0.146,"CTNNBIP1,DCLRE1B,EPC2,MAPK10,MAX,MIER3,PCGF2,PPM1D,QKI,RBM46,RIPK2,RXRB,SPIDR,TENT4B,TSC22D3,ZNF227,ZNF724",17,24,14.86,17,-4.12310562561766,-0.479817484538166,"midnightblue"
"GO:0051252","GO:0051252","regulation of RNA metabolic process",0.17,"CTNNBIP1,EPC2,MAPK10,MAX,MIER3,PCGF2,PPM1D,QKI,RBM46,RIPK2,RXRB,TENT4B,TSC22D3,ZNF227,ZNF724",15,21,13,15,-3.87298334620742,-0.49652940051994,"midnightblue"
"GO:0016070","GO:0016070","RNA metabolic process",0.17,"CTNNBIP1,EPC2,MAPK10,MAX,MIER3,PCGF2,PPM1D,QKI,RBM46,RIPK2,RXRB,TENT4B,TSC22D3,ZNF227,ZNF724",15,21,13,15,-3.87298334620742,-0.49652940051994,"midnightblue"
"GO:0019219","GO:0019219","regulation of nucleobase-containing compound metabolic process",0.21,"CTNNBIP1,EPC2,MAPK10,MAX,MIER3,PCGF2,PPM1D,QKI,RBM46,RIPK2,RXRB,SPIDR,TENT4B,TSC22D3,ZNF227,ZNF724",16,23,14.24,16,-4,-0.492817660281683,"midnightblue"
"GO:0010468","GO:0010468","regulation of gene expression",0.21,"CLDN3,CTNNBIP1,EPC2,MAPK10,MAX,MIER3,PCGF2,PPM1D,QKI,RBM46,RIPK2,RXRB,TENT4B,TSC22D3,ZNF227,ZNF724",16,23,14.24,16,-4,-0.507619225121351,"midnightblue"
"GO:0010467","GO:0010467","gene expression",0.253,"CLDN3,CTNNBIP1,EPC2,MAPK10,MAX,MIER3,PCGF2,PPM1D,QKI,RBM46,RIPK2,RXRB,TENT4B,TLL1,TSC22D3,ZNF227,ZNF724",17,25,15.48,17,-4.12310562561766,-0.534960789319513,"midnightblue"
"GO:0097659","GO:0097659","nucleic acid-templated transcription",0.265,"CTNNBIP1,EPC2,MAPK10,MAX,MIER3,PCGF2,PPM1D,RIPK2,RXRB,TSC22D3,ZNF227,ZNF724",12,17,10.52,12,-3.46410161513775,-0.502005556525563,"midnightblue"
