"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0032501","GO:0032501","multicellular organismal process",0.075,"ABCG2,ADIPOR2,AGT,BCL2L1,CCN2,CDKN1A,ENPP4,ERRFI1,FMO2,GLUL,HIF3A,HPS4,HSPA2,KLF15,KNG1,LPIN1,MAFF,NDRG1,NFKBIA,PDK4,PTN,SDC4,SGK1,SLC2A1,SUN2,TCAP,TSC22D3,TTC21A,ZFP36",29,30,26.84,29,-5.0137741307804,-0.719130822456776,"cyan"
"GO:0044249","GO:0044249","cellular biosynthetic process",0.09,"ACSM5,AGT,CCN2,CDKN1A,FMO3,GLUL,HIF3A,KLF15,LPIN1,MAFF,NFKBIA,PDK4,PNPLA2,SDS,SGK1,SMOX,TSC22D3,ZFP36",18,18,16.11,18,-4.24264068711929,-1.1087692696909,"cyan"
"GO:0006950","GO:0006950","response to stress",0.122,"ADIPOR2,AGT,AHNAK,BCL2L1,CCN2,CDKN1A,ENPP4,ERRFI1,GLUL,HIF3A,HPS4,HSPA2,HTRA1,KLF15,KNG1,LYVE1,NDRG1,NFKBIA,PDK4,PTN,SDC4,SGK1,SLC2A1,TCAP,TSC22D3,ZFP36",26,27,24.16,26,-4.31455497304005,-0.665762592012248,"cyan"
"GO:0032502","GO:0032502","developmental process",0.122,"ADIPOR2,AGT,BCL2L1,CCN2,CDKN1A,ERRFI1,GLUL,HIF3A,HPS4,HSPA2,HTRA1,KLF15,LPIN1,LYVE1,MAFF,NDRG1,NFKBIA,PTN,SDC4,SGK1,SLC2A1,SLFN5,SUN2,TCAP,TTC21A,ZFP36",26,27,24.16,26,-4.31455497304005,-0.690884678693648,"cyan"
"GO:0048513","GO:0048513","animal organ development",0.145,"AGT,BCL2L1,CCN2,CDKN1A,ERRFI1,HTRA1,KLF15,LPIN1,MAFF,PTN,SDC4,SLC2A1,SUN2,TCAP,ZFP36",15,15,13.42,15,-2.84018778721877,-0.639750416335802,"cyan"
"GO:0048856","GO:0048856","anatomical structure development",0.164,"ADIPOR2,AGT,BCL2L1,CCN2,CDKN1A,ERRFI1,GLUL,HIF3A,HSPA2,HTRA1,KLF15,LPIN1,LYVE1,MAFF,NDRG1,NFKBIA,PTN,SDC4,SGK1,SLC2A1,SUN2,TCAP,TTC21A,ZFP36",24,25,22.37,24,-4.08248290463863,-0.712375732706436,"cyan"
"GO:0032879","GO:0032879","regulation of localization",0.168,"AGT,AHNAK,BCL2L1,GLUL,HPS4,HSPA2,KLF15,NFKBIA,PNPLA2,RPH3AL,SDC4,SGK1,SNX33,ZFP36",14,14,12.53,14,-3.74165738677394,-0.757329327516852,"cyan"
"GO:0009889","GO:0009889","regulation of biosynthetic process",0.195,"AGT,CCN2,CDKN1A,ERRFI1,HIF3A,KLF15,LPIN1,MAFF,NFKBIA,PDK4,SGK1,TSC22D3,ZFP36",13,13,11.63,13,-3.60555127546399,-1.14281394035567,"cyan"
"GO:0009628","GO:0009628","response to abiotic stimulus",0.195,"AGT,BCL2L1,CCN2,CDKN1A,ERRFI1,HIF3A,HSPA2,NDRG1,NFKBIA,PTN,SLC2A1,TCAP,TSC22D3",13,13,11.63,13,-3.05085107923876,-0.850101418960903,"cyan"
"GO:0010467","GO:0010467","gene expression",0.195,"AGT,AHNAK,CCN2,CDKN1A,ERRFI1,HIF3A,KLF15,LPIN1,MAFF,NFKBIA,SGK1,TSC22D3,ZFP36",13,13,11.63,13,-3.60555127546399,-1.100151659008,"cyan"
"GO:0010468","GO:0010468","regulation of gene expression",0.195,"AGT,AHNAK,CCN2,CDKN1A,ERRFI1,HIF3A,KLF15,LPIN1,MAFF,NFKBIA,SGK1,TSC22D3,ZFP36",13,13,11.63,13,-3.60555127546399,-1.100151659008,"cyan"
"GO:0008283","GO:0008283","cell population proliferation",0.195,"AGT,BCL2L1,CCN2,CDKN1A,ERRFI1,GLUL,HTRA1,NDRG1,NFKBIA,PTN,SDC4,SGK1,ZFP36",13,13,11.63,13,-2.49615088301353,-0.570588971536429,"cyan"
"GO:0044271","GO:0044271","cellular nitrogen compound biosynthetic process",0.195,"AGT,CCN2,CDKN1A,HIF3A,KLF15,LPIN1,MAFF,NFKBIA,PDK4,SGK1,SMOX,TSC22D3,ZFP36",13,13,11.63,13,-3.60555127546399,-1.09197581725915,"cyan"
"GO:0042127","GO:0042127","regulation of cell population proliferation",0.195,"AGT,BCL2L1,CCN2,CDKN1A,ERRFI1,GLUL,HTRA1,NDRG1,NFKBIA,PTN,SDC4,SGK1,ZFP36",13,13,11.63,13,-2.49615088301353,-0.570588971536429,"cyan"
"GO:0065008","GO:0065008","regulation of biological quality",0.195,"AGT,BCL2L1,ENPP4,GLUL,HPS4,KNG1,PNPLA2,PTN,RPH3AL,SGK1,SLC3A2,SULT1A1,ZFP36",13,13,11.63,13,-3.05085107923876,-0.572527730908385,"cyan"
"GO:0065009","GO:0065009","regulation of molecular function",0.195,"AGT,AHNAK,CCN2,CDKN1A,ERRFI1,HSPA2,KNG1,LPIN1,NFKBIA,PPP1R36,SDC4,SGK1,ZFP36",13,13,11.63,13,-3.60555127546399,-0.807075867597049,"cyan"
"GO:0090304","GO:0090304","nucleic acid metabolic process",0.224,"AGT,AHNAK,CCN2,CDKN1A,HIF3A,KLF15,LPIN1,MAFF,NFKBIA,SGK1,TSC22D3,ZFP36",12,12,10.74,12,-3.46410161513775,-1.12346684168623,"cyan"
"GO:0042592","GO:0042592","homeostatic process",0.224,"ADIPOR2,AGT,CCN2,FMO2,KLF15,LPIN1,PDK4,PNPLA2,RPH3AL,SLC2A1,TSC22D3,ZFP36",12,12,10.74,12,-3.46410161513775,-0.891176266241623,"cyan"
"GO:0051649","GO:0051649","establishment of localization in cell",0.224,"AGT,BCL2L1,CDKN1A,HPS4,NFKBIA,PLEKHF1,RPH3AL,SDC4,SNX33,SUN2,TINAGL1,TTC21A",12,12,10.74,12,-3.46410161513775,-0.604288711187742,"cyan"
"GO:0018130","GO:0018130","heterocycle biosynthetic process",0.224,"AGT,CCN2,CDKN1A,HIF3A,KLF15,LPIN1,MAFF,NFKBIA,PDK4,SGK1,TSC22D3,ZFP36",12,12,10.74,12,-3.46410161513775,-1.1696843131462,"cyan"
"GO:0019438","GO:0019438","aromatic compound biosynthetic process",0.224,"AGT,CCN2,CDKN1A,HIF3A,KLF15,LPIN1,MAFF,NFKBIA,PDK4,SGK1,TSC22D3,ZFP36",12,12,10.74,12,-3.46410161513775,-1.1696843131462,"cyan"
"GO:0034654","GO:0034654","nucleobase-containing compound biosynthetic process",0.224,"AGT,CCN2,CDKN1A,HIF3A,KLF15,LPIN1,MAFF,NFKBIA,PDK4,SGK1,TSC22D3,ZFP36",12,12,10.74,12,-3.46410161513775,-1.1696843131462,"cyan"
"GO:1901362","GO:1901362","organic cyclic compound biosynthetic process",0.224,"AGT,CCN2,CDKN1A,HIF3A,KLF15,LPIN1,MAFF,NFKBIA,PDK4,SGK1,TSC22D3,ZFP36",12,12,10.74,12,-3.46410161513775,-1.1696843131462,"cyan"
"GO:0009059","GO:0009059","macromolecule biosynthetic process",0.224,"AGT,CCN2,CDKN1A,GLUL,HIF3A,KLF15,LPIN1,MAFF,NFKBIA,SGK1,TSC22D3,ZFP36",12,12,10.74,12,-3.46410161513775,-1.13840632389587,"cyan"
"GO:0042221","GO:0042221","response to chemical",0.242,"ABCG2,ADIPOR2,AGT,BCL2L1,CCN2,ERRFI1,FMO2,GLUL,HSPA2,KLF15,LPIN1,NDRG1,NFKBIA,PDK4,PTN,SGK1,SLC2A1,SLC3A2,SMOX,SULT1A1,ZFP36",21,22,19.68,21,-4.14613991448386,-0.634860356629913,"cyan"
"GO:0048468","GO:0048468","cell development",0.258,"AGT,BCL2L1,HSPA2,NDRG1,NFKBIA,PTN,SDC4,SGK1,TCAP,TTC21A,ZFP36",11,11,9.84,11,-2.71360210119987,-0.565652630985104,"cyan"
"GO:0031326","GO:0031326","regulation of cellular biosynthetic process",0.258,"AGT,CDKN1A,HIF3A,KLF15,LPIN1,MAFF,NFKBIA,PDK4,SGK1,TSC22D3,ZFP36",11,11,9.84,11,-3.3166247903554,-1.19773752190605,"cyan"
"GO:0046907","GO:0046907","intracellular transport",0.258,"AGT,BCL2L1,CDKN1A,HPS4,NFKBIA,PLEKHF1,RPH3AL,SNX33,SUN2,TINAGL1,TTC21A",11,11,9.84,11,-3.3166247903554,-0.632498144029392,"cyan"
"GO:0051049","GO:0051049","regulation of transport",0.258,"AGT,AHNAK,GLUL,HPS4,HSPA2,KLF15,NFKBIA,RPH3AL,SDC4,SGK1,SNX33",11,11,9.84,11,-3.3166247903554,-0.724279528932388,"cyan"
"GO:0009611","GO:0009611","response to wounding",0.258,"ADIPOR2,AHNAK,CCN2,CDKN1A,ENPP4,HPS4,KNG1,LYVE1,PTN,SDC4,ZFP36",11,11,9.84,11,-2.71360210119987,-0.414515592708752,"cyan"
