"","kMEblack","kMEgreen","kMEpurple","kMEgreenyellow","kMEmagenta","kMEtan","kMEblue","kMEred","kMEyellow","kMEpink","kMEbrown","kMEturquoise"
"A1M",0.0121468728782905,0.128675979899586,-0.244104154485079,-0.271375677398022,-0.0445656248028216,-0.461809095918024,0.455358068406626,0.448609598426598,0.400290370050819,0.439681178226492,0.233573191497463,-0.118143606383212
"A2M",-0.0159558991286452,-0.219780607263476,-0.0716497269454451,0.180573169456453,-0.0356766789642095,0.191044504396299,-0.223010390110197,-0.21306784930977,-0.156099237712708,-0.241106438627287,-0.23731825605267,0.0554968549048031
"A4GALT",-0.277606853030594,0.173651835936112,-0.461943603215595,-0.523183294422459,-0.539843491904424,-0.877457082608358,0.828017359492514,0.841320692267357,0.732508551167367,0.180224696252014,0.290972293925244,-0.18602624206389
"A4GNT",-0.303974459784983,0.329761434185141,0.0682604452948381,0.0287710980377355,-0.379627101253069,-0.344492170405168,0.211085986708273,0.384931425745693,0.421583422057022,-0.312159822192079,-0.122320776202025,-0.264485935388717
"AAAS",-0.01047778932333,-0.470484958122903,-0.587880853544799,-0.635208634721026,-0.404739352276861,-0.325391653298731,0.500475809546756,0.113704851841753,-0.0549841709972188,-0.0227614253984722,0.571570724525499,0.48597748501872
"AACS",0.308104099670924,0.0375385076085221,0.251357287176538,0.666297086486318,-0.129406888474453,0.231451872316445,-0.455338743757393,-0.0938218740884411,0.122402991404323,-0.536228966091676,-0.66020074295529,-0.535808146101767
"AADAC",-0.383212323001156,-0.131364700095988,-0.492308359802329,-0.927755582563432,-0.399088833058901,-0.565512896579995,0.812608043941212,0.344191131023949,0.0918853606321364,0.184296757809947,0.861245427471705,0.625681795360484
"AADAT",-0.265508773301465,-0.145435976615672,-0.323072393278417,-0.802846805636231,-0.0750679942563569,-0.287061447188381,0.573573206471806,0.0867444928367847,-0.150538056738455,0.379987106290985,0.812685642249963,0.715022072993453
"AAGAB",0.117484323023443,-0.159390986254554,-0.191275649528226,-0.00028193022465424,-0.298491632580304,-0.116349528016556,0.0908913121973932,0.112755447169961,0.125702215254014,-0.34200270609451,0.07143735037803,-0.193103128095644
"AAK1",-0.0248876164916267,0.687080579789323,0.902496560808417,0.812218817051476,0.314474869942195,0.375374012396951,-0.629461393328863,-0.140764969275824,0.0912257589795174,-0.109448987300601,-0.708969324332672,-0.548443409909945
"AAMDC",-0.197591953643883,-0.102952517253278,-0.55901981453398,-0.869454743561407,-0.365506590288088,-0.692727674791948,0.834783493379534,0.512449418178231,0.239785476090231,0.309429646481822,0.785827653810907,0.337381633390654
"AAMP",-0.219376746970014,-0.667164751762274,-0.667342404459271,-0.664277872151133,-0.338528011550951,-0.130459057641136,0.432430359143144,-0.104162229141452,-0.273185069887896,-0.104460437754535,0.739163695188067,0.572220703953749
"AAR2",-0.0626717772950692,-0.456813320781829,-0.436471559080957,-0.264723296966347,-0.540815840828408,-0.160866111609752,0.253301652936019,0.0143568492831548,-0.00630250433606453,-0.488583403504925,0.280909238086146,0.211965623325105
