"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0051607","GO:0051607","defense response to virus",3.1e-05,"ADAR,ARMC5,CASP1,DDX60,DHX58,DTX3L,EIF2AK2,EXOC1,GBP1,HTRA1,IFIH1,IFIT1,IFIT3,IFITM2,IFITM3,IL1B,IRF7,ISG15,MARCHF2,MBL2,MOV10,MX1,MX2,NLRX1,PARP9,RNF125,RNF135,RSAD2,RTP4,SLFN13,STAT1,STAT2,TRIM21,TRIM26,TSPAN6",35,54,16.97,35,5.91607978309962,0.951918959171887,"blue"
"GO:0008285","GO:0008285","negative regulation of cell population proliferation",4.5e-05,"AIF1,ALOX5,ANG,AXIN2,CAV2,CITED2,CLDN3,CSK,CTNNBIP1,CXADR,DDAH1,DLC1,EIF2AK2,ETS1,FZD5,GATA2,GATA6,IFI35,IFIT3,IHH,IL1B,JAK2,LDOC1,LGALS9,LRRC32,LYN,NGFR,NMI,NR2F2,P3H3,PARP10,PLG,PPARD,PRDX4,PTH1R,PTPRM,RARA,SERPINF1,SIX5,SLC16A2,SMAD6,SMARCB1,SPARC,STAT1,TAX1BP3,TNFRSF14,TP53I11,VGLL4,WDR6",49,97,30.48,49,7,0.620646455410838,"blue"
"GO:0014855","GO:0014855","striated muscle cell proliferation",7e-05,"ANHX,CAV2,CITED2,CXADR,GATA6,JAK2,PPARD,SELENON,SIX5,VGLL4",10,11,3.46,10,3.16227766016838,0.516737272104611,"blue"
"GO:0007565","GO:0007565","female pregnancy",0.00016,"ADRA2B,AMBP,ANGPT2,CAPN2,CITED2,FKBP4,HPGD,IHH,IL1B,LDOC1,LGALS9,MAGED2,NR2F2,PCSK5,PPARD,PZP,RARA,SPP1",18,27,8.48,18,4.24264068711929,0.722077570978139,"blue"
"GO:0048514","GO:0048514","blood vessel morphogenesis",0.00017,"ADIPOR2,ADRA2B,AGO1,ALOX5,ANG,ANGPT2,ANPEP,APLNR,AQP1,CDH2,CITED2,COL3A1,CUL7,DDAH1,ECM1,ETS1,FGF1,FZD5,GATA2,GATA6,HPGD,HSPB1,HSPB6,IHH,IL1B,JAM3,JMJD8,MFGE8,MMP14,NGFR,NR2F2,NRP1,NTRK2,PLXND1,PTPRM,PXDN,RNF213,ROBO4,S1PR1,SEMA5A,SERPINF1,SERPINF2,SGPL1,SMO,SOX18,SPARC,SRPK2,STAB1,STAB2,STAT1,TGFBI,WARS2",52,98,30.79,52,7.21110255092798,0.678689371328679,"blue"
"GO:0001764","GO:0001764","neuron migration",0.00018,"COL3A1,CXCL12,DCDC2,GAS6,GATA2,GPM6A,IGSF10,NR2F2,NRP1,NTRK2,PLXNB2,RELN,SEPTIN4,SRGAP2",14,19,5.97,14,3.74165738677394,0.788971092478806,"blue"
"GO:0046632","GO:0046632","alpha-beta T cell differentiation",0.00021,"ARMC5,BCL3,IHH,IL18R1,ITPKB,LGALS9,NFKBIZ,RARA,RSAD2",9,10,3.14,9,3,0.736627756331626,"blue"
"GO:0032729","GO:0032729","positive regulation of type II interferon production",3e-04,"BCL3,CD276,FZD5,IL18R1,IL1B,ISG15,JAK2,LGALS9,PDE4B,TYK2",10,12,3.77,10,3.16227766016838,0.926431351230584,"blue"
"GO:0008284","GO:0008284","positive regulation of cell population proliferation",0.00033,"AIF1,ANG,APLNR,AQP1,CAV2,CCND2,CD276,CD47,CRIP2,CSF1,CXCL12,ECM1,FGF1,FLT3LG,FZD7,GAS6,GATA2,GATA6,HPGD,HTRA1,ID2,IGF1,IHH,IL1B,IL34,JAK2,LGALS9,LTBP3,LYN,MTA3,NGFR,NRP1,NTRK2,PPARD,PTH1R,RARA,RTN4,S1PR1,SDCBP,SELENON,SEMA5A,SERPINF2,SHMT2,SMARCD3,SMO,SMPD3,SRPK2,SSBP3,ST6GAL1,STAT1,TNXB,TSC22D1,TYK2",53,104,32.67,53,7.28010988928052,0.706957125264663,"blue"
"GO:0002753","GO:0002753","cytosolic pattern recognition receptor signaling pathway",0.00037,"DDX60,DHX58,IFIH1,IRF7,NLRX1,PIK3AP1,RNF125,RNF135,RSAD2,RTN4,TSPAN6",11,14,4.4,11,3.3166247903554,0.965798358996001,"blue"
"GO:0098609","GO:0098609","cell-cell adhesion",0.00038,"ADGRL1,AIF1,ALOX5,ARVCF,CD276,CD47,CDH2,CITED2,CLDN3,CLIC1,CLSTN1,COL14A1,CSK,CXADR,CXCL12,ETS1,HSPB1,IGF1,IHH,IL1B,ITGA6,ITGA9,ITPKB,JAK2,JAM3,LGALS2,LGALS9,LRRC32,LYN,MYO10,MYPN,NFKBIZ,PCDH12,PCDH18,PLG,PLXNB2,PTPRM,RARA,ROBO4,SERPINF2,SIGLEC1,SIRPA,SMARCB1,SMARCD3,ST3GAL4,STK10,TLN2,TNFRSF14,TNXB,TYK2,VSIG10,ZAN,ZDHHC2",53,99,31.1,53,7.28010988928052,0.651740743243131,"blue"
"GO:0007259","GO:0007259","receptor signaling pathway via JAK-STAT",0.00041,"BCL3,IGF1,JAK2,LEPROT,LYN,NMI,OCIAD2,PARP14,PARP9,STAT1,STAT2,TYK2",12,16,5.03,12,3.46410161513775,0.607919396014714,"blue"
