"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0051049","GO:0051049","regulation of transport",0.0065,"ACE,ANXA1,AXL,BTK,CCL19,CCR2,CD22,CD38,CD74,CD84,CFP,CNN2,CORO1A,CTSS,CXCL10,CXCL11,CYBA,CYBB,DOCK2,EHD4,EZR,FGR,FLNA,FYN,GABBR1,GNAI2,GPR35,GZMB,HCK,HCLS1,HFE,IL16,IL2RG,ITGB2,KEL,LCP1,LRRK2,MERTK,MICAL1,MSN,MYOF,NCKAP1L,NFKB1,OXCT1,P2RX7,PDGFRB,PIK3CG,PLA2G4A,PLCG2,PRKCB,PTAFR,PTK2B,PTPRC,PYCARD,S100A10,SAA1,SCN11A,SERPINE2,SLC11A1,SLC43A2,SPI1,STK39,STXBP1,SYK,TGFB1,THY1,TLR9,TMEM132A,TMSB4X,TRPM2,TRPV2,TSPO,UBASH3B,UCP2,WNK3",75,87,65.81,75,8.66025403784439,1.03961648789499,"brown"
"GO:1903706","GO:1903706","regulation of hemopoiesis",0.0109,"ANXA1,AXL,BTK,CARD11,CCL19,CCR2,CD74,CD83,CD86,EVI2B,FANCA,FGL2,HCLS1,IL2RG,IL4I1,INPP5D,IRF1,JAG1,LAG3,LILRB3,LOXL3,NCKAP1L,NFAM1,NLRP3,PIK3R6,PRDM1,PTK2B,PTPRC,RASSF2,SASH3,SPI1,SYK,TGFB1,TGFBR2,TLR9,TYROBP,UBASH3B,VSIR",38,42,31.77,38,6.16441400296898,1.03300436693822,"brown"
"GO:0060284","GO:0060284","regulation of cell development",0.0119,"ACE,ANXA1,ARHGAP4,AXL,BTK,CARD11,CCL19,CCR2,CD74,CD83,CD86,EVI2B,FANCA,FGL2,HCLS1,HDAC9,IL2RG,IL4I1,INPP5D,IRF1,JAG1,KIT,LAG3,LILRB3,LOXL3,LRRK2,NCKAP1L,NFAM1,NLRP3,PIK3R6,PLXNC1,PRDM1,PTK2B,PTPRC,RASSF2,S100A10,SASH3,SEMA4A,SERPINE2,SPI1,SYK,TGFB1,TGFBR2,THY1,TLR9,TRPV2,TSPO,TWF2,TYROBP,UBASH3B,VSIR",51,58,43.88,51,7.14142842854285,1.03645242719958,"brown"
"GO:1902105","GO:1902105","regulation of leukocyte differentiation",0.0164,"ANXA1,AXL,BTK,CARD11,CCL19,CCR2,CD74,CD83,CD86,EVI2B,FANCA,FGL2,HCLS1,IL2RG,IL4I1,INPP5D,IRF1,LAG3,LILRB3,LOXL3,NCKAP1L,NFAM1,NLRP3,PIK3R6,PRDM1,PTPRC,RASSF2,SASH3,SPI1,SYK,TGFB1,TGFBR2,TLR9,TYROBP,UBASH3B,VSIR",36,40,30.26,36,6,1.05261822302247,"brown"
"GO:0050896","GO:0050896","response to stimulus",0.0171,"ABI3,ABR,ACE,ACP5,ADCY3,ADCY7,AKNA,AKR1B1,ALPK1,ANXA1,APOL3,ARAP1,ARHGAP25,ARHGAP27,ARHGAP30,ARHGAP4,ARHGAP9,ARHGDIB,ARHGEF2,ARHGEF6,ATP2A3,AXL,BANK1,BATF2,BTK,C5AR1,C7,CAMKK1,CARD11,CASP12,CCDC88B,CCDC88C,CCL19,CCR2,CD180,CD22,CD38,CD44,CD48,CD53,CD68,CD7,CD74,CD83,CD84,CD86,CD8A,CDC20,CFP,CHSY1,CLEC4A,CMKLR1,CMTM3,CMTM7,CNN2,COL1A1,COL1A2,CORO1A,CORO7,COTL1,CREB3L1,CRIP1,CRLF2,CSRP1,CTBP2,CTSS,CTSW,CXCL10,CXCL11,CXCL13,CXCL16,CYBA,CYBB,CYBC1,CYFIP2,CYGB,CYP2S1,CYSLTR2,CYTH4,DENND4B,DOCK10,DOCK2,DOK1,DOK2,DOK3,EHD4,ELF4,ENTPD1,ERAP1,EVL,EZR,FAM111A,FANCA,FBLN1,FBXO6,FERMT3,FGD2,FGL2,FGR,FLNA,FYB1,FYN,GABBR1,GBP5,GBP6,GMIP,GNAI2,GNB4,GPR141,GPR35,GRK3,GZMB,HASPIN,HAVCR2,HCK,HCLS1,HDAC7,HDAC9,HFE,HK1,HPSE,IFI27L2,IFI44,IGKC,IKBKE,IL10RA,IL16,IL2RG,IL4I1,INPP5D,IRF1,IRF5,ITGA4,ITGB2,ITGB7,ITPR3,JAG1,JCHAIN,KCTD12,KIT,LAG3,LAIR1,LAMB1,LAPTM5,LCP1,LCP2,LFNG,LILRA6,LILRB3,LOXL1,LOXL3,LRRK1,LRRK2,LSP1,LTB,LY6E,LY86,MARCKS,MCM2,MCM3,MCM5,MERTK,MICAL1,MLKL,MMP25,MPEG1,MSN,MVP,MYO1G,MYOF,NCF2,NCKAP1L,NCOA7,NFAM1,NFKB1,NLRC4,NLRC5,NLRP3,NRROS,NUAK2,OXCT1,P2RX7,P2RY14,PAK1,PARP8,PDE1B,PDGFRB,PFKP,PIK3CD,PIK3CG,PIK3R5,PIK3R6,PILRB,PIP4K2A,PKM,PLA2G4A,PLA2G7,PLAC8,PLAU,PLCB2,PLCG2,PLD4,PLEK,PLXNC1,PPP1R16B,PPP1R9B,PRAG1,PRDM1,PREX1,PRKCB,PSMB10,PTAFR,PTGER1,PTK2B,PTPRC,PYCARD,RALGDS,RASA3,RASGRP4,RASSF2,RASSF4,RCSD1,RELL1,RFTN1,RGS18,RGS19,RIPOR2,RNASE6,S100A10,S100A11,SAA1,SAMD9,SAMHD1,SASH3,SCN11A,SELL,SELPLG,SEMA4A,SERPINE2,SH3BP1,SH3BP2,SLA,SLAMF9,SLC11A1,SLC13A5,SLC15A3,SLC25A24,SLC7A8,SP140,SPDL1,SPI1,STING1,STK39,STXBP1,SYDE1,SYK,TAF2,TAP1,TAP2,TAPBP,TCTN3,TFEC,TGFB1,TGFBR2,THEMIS2,THY1,TICAM2,TLE3,TLR5,TLR7,TLR8,TLR9,TMEM132A,TMSB4X,TNC,TNFAIP8L2,TNFSF13,TOP2A,TRAF5,TREML4,TRERF1,TRIM35,TRPM2,TRPV2,TSPO,TWF2,TYROBP,UBASH3B,UCP2,UNC93B1,VASP,VAV1,VIM,VSIR,WAS,WDFY4,WNK3,ZBP1,ZEB2",299,383,289.73,299,17.2916164657906,0.937363735868103,"brown"
"GO:0042116","GO:0042116","macrophage activation",0.0189,"C5AR1,CD74,CD84,HAVCR2,ITGB2,LRRK2,PLA2G4A,PLCG2,PTPRC,SLC11A1,STK39,SYK,TLR9,TYROBP",14,14,10.59,14,3.74165738677394,0.882835632990017,"brown"
"GO:0032940","GO:0032940","secretion by cell",0.0203,"ANXA1,AXL,BTK,CCR2,CD38,CD84,CORO1A,CREB3L1,CTBP2,EZR,FGR,GABBR1,GNAI2,HCK,HFE,ITGB2,KIT,LRRK2,MERTK,MICAL1,MYO1G,MYOF,NCKAP1L,OXCT1,P2RX7,PAK1,PIK3CD,PIK3CG,PLA2G4A,PLEK,PRKCB,PTAFR,S100A10,SAA1,SCN11A,SERPINE2,SPI1,STX11,STXBP1,SYK,SYTL1,SYTL2,TGFB1,TMEM132A,TNFAIP2,TRPM2,TSPO,UCP2",48,55,41.61,48,6.92820323027551,0.994463715643786,"brown"
"GO:0046903","GO:0046903","secretion",0.0208,"ACE,ANXA1,AXL,BTK,CCR2,CD38,CD74,CD84,CORO1A,CREB3L1,CTBP2,CYBA,EZR,FGR,GABBR1,GNAI2,HCK,HFE,ITGB2,KIT,LRRK2,MERTK,MICAL1,MYO1G,MYOF,NCKAP1L,OXCT1,P2RX7,PAK1,PIK3CD,PIK3CG,PLA2G4A,PLEK,PRKCB,PTAFR,S100A10,SAA1,SCN11A,SERPINE2,SPI1,STK39,STX11,STXBP1,SYK,SYTL1,SYTL2,TGFB1,TMEM132A,TNFAIP2,TRPM2,TSPO,UCP2",52,60,45.39,52,7.21110255092798,1.00352647007621,"brown"
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction",0.0219,"ABR,ARAP1,ARHGAP25,ARHGAP27,ARHGAP30,ARHGAP4,ARHGAP9,ARHGDIB,ARHGEF2,CYTH4,DENND4B,DOCK2,FGD2,GMIP,GPR35,PDGFRB,PIK3CG,PRAG1,PREX1,RASA3,RASGRP4,RIPOR2,SH3BP1,SYDE1,VAV1",25,27,20.43,25,5,0.812418152286719,"brown"
"GO:0045637","GO:0045637","regulation of myeloid cell differentiation",0.0252,"CD74,EVI2B,HCLS1,INPP5D,JAG1,LILRB3,NCKAP1L,PTK2B,RASSF2,SPI1,TGFB1,TYROBP,UBASH3B",13,13,9.83,13,3.60555127546399,0.961249966189391,"brown"
"GO:0050777","GO:0050777","negative regulation of immune response",0.0258,"ANXA1,CCR2,CD84,FGL2,FGR,FYN,HAVCR2,HCK,HFE,IL4I1,INPP5D,LOXL3,NCKAP1L,NLRC5,PTPRC,SAMHD1,SPI1,SYK,TGFB1",19,20,15.13,19,4.35889894354067,1.0824036749576,"brown"
"GO:0001818","GO:0001818","negative regulation of cytokine production",0.0297,"ACP5,ADCY7,ANXA1,AXL,BANK1,BTK,CD83,CD84,CLEC4A,CMKLR1,ELF4,EZR,HAVCR2,HDAC7,HDAC9,HFE,INPP5D,LAG3,LAPTM5,MERTK,NCKAP1L,NFKB1,NLRP3,PTPRC,PYCARD,SLC11A1,TGFB1,TLR8,TLR9,TMSB4X,TSPO,TYROBP,VSIR",33,37,27.99,33,5.74456264653803,0.892006043883999,"brown"
"GO:0006909","GO:0006909","phagocytosis",0.0297,"ANXA1,ARHGAP25,AXL,BTK,CFP,CNN2,CORO1A,CYBA,DOCK2,FGR,FYN,HCK,IL2RG,ITGB2,MERTK,MYO1G,MYO7A,NCF2,NCF4,NCKAP1L,P2RX7,PAK1,PLCG2,PLD4,PTPRC,PYCARD,SH3BP1,SLC11A1,SYK,TICAM2,TIMD4,TYROBP,VAV1",33,37,27.99,33,5.74456264653803,0.970589555223924,"brown"
