"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0071840","GO:0071840","cellular component organization or biogenesis",0.028,"ACACB,FAM161B,INSIG1,PCSK9,SQLE,TMCC1",6,16,3.12,6,-2.44948974278318,-0.796974809309787,"cyan"
"GO:0016043","GO:0016043","cellular component organization",0.028,"ACACB,FAM161B,INSIG1,PCSK9,SQLE,TMCC1",6,16,3.12,6,-2.44948974278318,-0.796974809309787,"cyan"
"GO:0042221","GO:0042221","response to chemical",0.082,"ACACB,INSIG1,PCSK9,SQLE",4,10,1.95,4,-2,-0.951354367535825,"cyan"
"GO:0051179","GO:0051179","localization",0.101,"ACACB,INSIG1,PCSK9,SQLE,TMCC1",5,15,2.93,5,-2.23606797749979,-0.840280996283376,"cyan"
"GO:0031323","GO:0031323","regulation of cellular metabolic process",0.158,"ACACB,INSIG1,PCSK9,SPPL3",4,12,2.34,4,-2,-0.757699743803754,"cyan"
"GO:0080090","GO:0080090","regulation of primary metabolic process",0.205,"ACACB,INSIG1,PCSK9,SPPL3",4,13,2.54,4,-2,-0.757699743803754,"cyan"
"GO:0019222","GO:0019222","regulation of metabolic process",0.257,"ACACB,INSIG1,PCSK9,SPPL3",4,14,2.73,4,-2,-0.757699743803754,"cyan"
"GO:0006793","GO:0006793","phosphorus metabolic process",0.257,"ACACB,IDI1,PCSK9,SPPL3",4,14,2.73,4,-2,-0.748781174984427,"cyan"
"GO:0006796","GO:0006796","phosphate-containing compound metabolic process",0.257,"ACACB,IDI1,PCSK9,SPPL3",4,14,2.73,4,-2,-0.748781174984427,"cyan"
"GO:0042592","GO:0042592","homeostatic process",0.295,"ACACB,INSIG1,PCSK9",3,10,1.95,3,-1.73205080756888,-0.919722181560941,"cyan"
"GO:0048519","GO:0048519","negative regulation of biological process",0.295,"ACACB,INSIG1,PCSK9",3,10,1.95,3,-1.73205080756888,-0.919722181560941,"cyan"
"GO:0060255","GO:0060255","regulation of macromolecule metabolic process",0.295,"ACACB,PCSK9,SPPL3",3,10,1.95,3,-1.73205080756888,-0.689133357537585,"cyan"
"GO:0010467","GO:0010467","gene expression",0.295,"ACACB,PCSK9,SPPL3",3,10,1.95,3,-1.73205080756888,-0.689133357537585,"cyan"
"GO:0009987","GO:0009987","cellular process",0.317,"ACACB,FAM161B,IDI1,INSIG1,PCSK9,SPPL3,SQLE,TMCC1",8,36,7.02,8,-2.82842712474619,-0.747650739214484,"cyan"
"GO:0050896","GO:0050896","response to stimulus",0.319,"ACACB,INSIG1,PCSK9,SPPL3,SQLE",5,20,3.9,5,-2.23606797749979,-0.815409980135099,"cyan"
"GO:0032501","GO:0032501","multicellular organismal process",0.363,"ACACB,INSIG1,PCSK9",3,11,2.15,3,-1.73205080756888,-0.919722181560941,"cyan"
"GO:0019637","GO:0019637","organophosphate metabolic process",0.363,"ACACB,IDI1,PCSK9",3,11,2.15,3,-1.73205080756888,-0.907830756468505,"cyan"
"GO:0044237","GO:0044237","cellular metabolic process",0.373,"ACACB,IDI1,INSIG1,PCSK9,SPPL3,SQLE",6,26,5.07,6,-2.44948974278318,-0.834129088000074,"cyan"
"GO:0044255","GO:0044255","cellular lipid metabolic process",0.374,"ACACB,IDI1,INSIG1,PCSK9",4,16,3.12,4,-2,-0.921722793001944,"cyan"
"GO:0048518","GO:0048518","positive regulation of biological process",0.431,"ACACB,PCSK9,SPPL3",3,12,2.34,3,-1.73205080756888,-0.689133357537585,"cyan"
"GO:0007165","GO:0007165","signal transduction",0.431,"INSIG1,PCSK9,SPPL3",3,12,2.34,3,-1.73205080756888,-0.720066388159954,"cyan"
"GO:0051234","GO:0051234","establishment of localization",0.431,"INSIG1,PCSK9,TMCC1",3,12,2.34,3,-1.73205080756888,-0.761518081740417,"cyan"
"GO:0006810","GO:0006810","transport",0.431,"INSIG1,PCSK9,TMCC1",3,12,2.34,3,-1.73205080756888,-0.761518081740417,"cyan"
"GO:0008610","GO:0008610","lipid biosynthetic process",0.437,"ACACB,IDI1,INSIG1,SQLE",4,17,3.32,4,-2,-0.951993566530711,"cyan"
"GO:0008203","GO:0008203","cholesterol metabolic process",0.437,"IDI1,INSIG1,PCSK9,SQLE",4,17,3.32,4,-2,-0.965635571683275,"cyan"
"GO:1902652","GO:1902652","secondary alcohol metabolic process",0.437,"IDI1,INSIG1,PCSK9,SQLE",4,17,3.32,4,-2,-0.965635571683275,"cyan"
"GO:0044281","GO:0044281","small molecule metabolic process",0.438,"ACACB,IDI1,INSIG1,PCSK9,SQLE",5,22,4.29,5,-2.23606797749979,-0.946628419493651,"cyan"
"GO:0050794","GO:0050794","regulation of cellular process",0.438,"ACACB,INSIG1,PCSK9,SPPL3,SQLE",5,22,4.29,5,-2.23606797749979,-0.815409980135099,"cyan"
"GO:0006694","GO:0006694","steroid biosynthetic process",0.499,"IDI1,INSIG1,SQLE",3,13,2.54,3,-1.73205080756888,-0.979124818462564,"cyan"
"GO:0044283","GO:0044283","small molecule biosynthetic process",0.499,"ACACB,IDI1,INSIG1",3,13,2.54,3,-1.73205080756888,-0.920574446887455,"cyan"
