"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0030162","GO:0030162","regulation of proteolysis",0.0061,"ENO1,MAP1A",2,130,0.14,2,0,0.717791303085465,"grey"
"GO:0023051","GO:0023051","regulation of signaling",0.0095,"ENO1,MAP1A,MCF2L",3,598,0.64,3,0.577350269189626,1.04461770927291,"grey"
"GO:0010646","GO:0010646","regulation of cell communication",0.0095,"ENO1,MAP1A,MCF2L",3,598,0.64,3,0.577350269189626,1.04461770927291,"grey"
"GO:0045981","GO:0045981","positive regulation of nucleotide metabolic process",0.0106,"ENO1",1,10,0.01,1,-1,-0.326626585609408,"grey"
"GO:0031638","GO:0031638","zymogen activation",0.0106,"ENO1",1,10,0.01,1,-1,-0.326626585609408,"grey"
"GO:1900544","GO:1900544","positive regulation of purine nucleotide metabolic process",0.0106,"ENO1",1,10,0.01,1,-1,-0.326626585609408,"grey"
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process",0.0106,"ENO1",1,10,0.01,1,-1,-0.326626585609408,"grey"
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process",0.0106,"ENO1",1,10,0.01,1,-1,-0.326626585609408,"grey"
"GO:0007019","GO:0007019","microtubule depolymerization",0.0106,"MAP1A",1,10,0.01,1,1,1.76220919178034,"grey"
"GO:2000059","GO:2000059","negative regulation of ubiquitin-dependent protein catabolic process",0.0117,"MAP1A",1,11,0.01,1,1,1.76220919178034,"grey"
"GO:0034394","GO:0034394","protein localization to cell surface",0.0117,"MAP1A",1,11,0.01,1,1,1.76220919178034,"grey"
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process",0.0117,"ENO1",1,11,0.01,1,-1,-0.326626585609408,"grey"
"GO:0070613","GO:0070613","regulation of protein processing",0.0127,"ENO1",1,12,0.01,1,-1,-0.326626585609408,"grey"
"GO:1903317","GO:1903317","regulation of protein maturation",0.0138,"ENO1",1,13,0.01,1,-1,-0.326626585609408,"grey"
"GO:0070050","GO:0070050","neuron cellular homeostasis",0.0138,"MAP1A",1,13,0.01,1,1,1.76220919178034,"grey"
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process",0.0138,"ENO1",1,13,0.01,1,-1,-0.326626585609408,"grey"
"GO:1903051","GO:1903051","negative regulation of proteolysis involved in protein catabolic process",0.0138,"MAP1A",1,13,0.01,1,1,1.76220919178034,"grey"
"GO:0035418","GO:0035418","protein localization to synapse",0.0148,"MAP1A",1,14,0.01,1,1,1.76220919178034,"grey"
"GO:0008089","GO:0008089","anterograde axonal transport",0.0159,"MAP1A",1,15,0.02,1,1,1.76220919178034,"grey"
"GO:0031110","GO:0031110","regulation of microtubule polymerization or depolymerization",0.0159,"MAP1A",1,15,0.02,1,1,1.76220919178034,"grey"
"GO:1901879","GO:1901879","regulation of protein depolymerization",0.0159,"MAP1A",1,15,0.02,1,1,1.76220919178034,"grey"
"GO:1902414","GO:1902414","protein localization to cell junction",0.0169,"MAP1A",1,16,0.02,1,1,1.76220919178034,"grey"
"GO:0035023","GO:0035023","regulation of Rho protein signal transduction",0.0169,"MCF2L",1,16,0.02,1,1,1.69827052164779,"grey"
"GO:0006096","GO:0006096","glycolytic process",0.0169,"ENO1",1,16,0.02,1,-1,-0.326626585609408,"grey"
"GO:1903578","GO:1903578","regulation of ATP metabolic process",0.0169,"ENO1",1,16,0.02,1,-1,-0.326626585609408,"grey"
"GO:0006757","GO:0006757","ATP generation from ADP",0.0169,"ENO1",1,16,0.02,1,-1,-0.326626585609408,"grey"
"GO:0098930","GO:0098930","axonal transport",0.018,"MAP1A",1,17,0.02,1,1,1.76220919178034,"grey"
"GO:0008306","GO:0008306","associative learning",0.018,"MAP1A",1,17,0.02,1,1,1.76220919178034,"grey"
"GO:0046031","GO:0046031","ADP metabolic process",0.019,"ENO1",1,18,0.02,1,-1,-0.326626585609408,"grey"
"GO:0006140","GO:0006140","regulation of nucleotide metabolic process",0.019,"ENO1",1,18,0.02,1,-1,-0.326626585609408,"grey"
