"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:1902600","GO:1902600","proton transmembrane transport",0.03,"ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,ATP5PO,COX5A,SLC25A3,UQCRC1,UQCRFS1",9,12,6.26,9,-3,-0.257205876816067,"lightcyan"
"GO:0009060","GO:0009060","aerobic respiration",0.059,"ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,ATP5PO,COX5A,NDUFB4,SUCLG1,UQCRB,UQCRC1,UQCRFS1",11,17,8.87,11,-3.3166247903554,-0.239180980879963,"lightcyan"
"GO:0098660","GO:0098660","inorganic ion transmembrane transport",0.074,"ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,ATP5PO,COX5A,SLC25A3,UQCRC1,UQCRFS1",9,13,6.78,9,-3,-0.257205876816067,"lightcyan"
"GO:0098662","GO:0098662","inorganic cation transmembrane transport",0.074,"ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,ATP5PO,COX5A,SLC25A3,UQCRC1,UQCRFS1",9,13,6.78,9,-3,-0.257205876816067,"lightcyan"
"GO:0034220","GO:0034220","monoatomic ion transmembrane transport",0.074,"ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,ATP5PO,COX5A,SLC25A3,UQCRC1,UQCRFS1",9,13,6.78,9,-3,-0.257205876816067,"lightcyan"
"GO:0051179","GO:0051179","localization",0.074,"ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,ATP5PO,COX5A,SLC25A3,UQCRC1,UQCRFS1",9,13,6.78,9,-3,-0.257205876816067,"lightcyan"
"GO:0006810","GO:0006810","transport",0.074,"ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,ATP5PO,COX5A,SLC25A3,UQCRC1,UQCRFS1",9,13,6.78,9,-3,-0.257205876816067,"lightcyan"
"GO:0051234","GO:0051234","establishment of localization",0.074,"ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,ATP5PO,COX5A,SLC25A3,UQCRC1,UQCRFS1",9,13,6.78,9,-3,-0.257205876816067,"lightcyan"
"GO:0006811","GO:0006811","monoatomic ion transport",0.074,"ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,ATP5PO,COX5A,SLC25A3,UQCRC1,UQCRFS1",9,13,6.78,9,-3,-0.257205876816067,"lightcyan"
"GO:0006812","GO:0006812","monoatomic cation transport",0.074,"ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,ATP5PO,COX5A,SLC25A3,UQCRC1,UQCRFS1",9,13,6.78,9,-3,-0.257205876816067,"lightcyan"
"GO:0098655","GO:0098655","monoatomic cation transmembrane transport",0.074,"ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,ATP5PO,COX5A,SLC25A3,UQCRC1,UQCRFS1",9,13,6.78,9,-3,-0.257205876816067,"lightcyan"
