"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0042981","GO:0042981","regulation of apoptotic process",0.076,"CDH5,PCDHGC3",2,16,0.49,2,1.41421356237309,0.47536116728487,"magenta"
"GO:0043067","GO:0043067","regulation of programmed cell death",0.076,"CDH5,PCDHGC3",2,16,0.49,2,1.41421356237309,0.47536116728487,"magenta"
"GO:0098609","GO:0098609","cell-cell adhesion",0.085,"CDH5,PCDHGC3",2,17,0.52,2,1.41421356237309,0.47536116728487,"magenta"
"GO:0010941","GO:0010941","regulation of cell death",0.094,"CDH5,PCDHGC3",2,18,0.55,2,1.41421356237309,0.47536116728487,"magenta"
"GO:0006915","GO:0006915","apoptotic process",0.094,"CDH5,PCDHGC3",2,18,0.55,2,1.41421356237309,0.47536116728487,"magenta"
"GO:0045595","GO:0045595","regulation of cell differentiation",0.094,"CDH5,NOTCH3",2,18,0.55,2,1.41421356237309,0.66688344912945,"magenta"
"GO:0051173","GO:0051173","positive regulation of nitrogen compound metabolic process",0.102,"CDH5,NOTCH3,PELP1",3,41,1.26,3,1.73205080756888,0.548657219927736,"magenta"
"GO:0031325","GO:0031325","positive regulation of cellular metabolic process",0.102,"CDH5,NOTCH3,PELP1",3,41,1.26,3,1.73205080756888,0.548657219927736,"magenta"
"GO:0012501","GO:0012501","programmed cell death",0.104,"CDH5,PCDHGC3",2,19,0.58,2,1.41421356237309,0.47536116728487,"magenta"
"GO:0042127","GO:0042127","regulation of cell population proliferation",0.104,"CDH5,NOTCH3",2,19,0.58,2,1.41421356237309,0.66688344912945,"magenta"
"GO:0001525","GO:0001525","angiogenesis",0.114,"CDH5,NOTCH3",2,20,0.61,2,1.41421356237309,0.66688344912945,"magenta"
"GO:0045944","GO:0045944","positive regulation of transcription by RNA polymerase II",0.114,"NOTCH3,PELP1",2,20,0.61,2,1.41421356237309,0.558672642128053,"magenta"
"GO:0008283","GO:0008283","cell population proliferation",0.125,"CDH5,NOTCH3",2,21,0.64,2,1.41421356237309,0.66688344912945,"magenta"
"GO:0008219","GO:0008219","cell death",0.125,"CDH5,PCDHGC3",2,21,0.64,2,1.41421356237309,0.47536116728487,"magenta"
"GO:1902680","GO:1902680","positive regulation of RNA biosynthetic process",0.146,"NOTCH3,PELP1",2,23,0.71,2,1.41421356237309,0.558672642128053,"magenta"
"GO:1903508","GO:1903508","positive regulation of nucleic acid-templated transcription",0.146,"NOTCH3,PELP1",2,23,0.71,2,1.41421356237309,0.558672642128053,"magenta"
"GO:0045893","GO:0045893","positive regulation of DNA-templated transcription",0.146,"NOTCH3,PELP1",2,23,0.71,2,1.41421356237309,0.558672642128053,"magenta"
"GO:0010604","GO:0010604","positive regulation of macromolecule metabolic process",0.153,"CDH5,NOTCH3,PELP1",3,48,1.47,3,1.73205080756888,0.548657219927736,"magenta"
"GO:0051254","GO:0051254","positive regulation of RNA metabolic process",0.157,"NOTCH3,PELP1",2,24,0.74,2,1.41421356237309,0.558672642128053,"magenta"
"GO:0071495","GO:0071495","cellular response to endogenous stimulus",0.169,"CDH5,PELP1",2,25,0.77,2,1.41421356237309,0.420415568525704,"magenta"
"GO:0010557","GO:0010557","positive regulation of macromolecule biosynthetic process",0.169,"NOTCH3,PELP1",2,25,0.77,2,1.41421356237309,0.558672642128053,"magenta"
"GO:0034330","GO:0034330","cell junction organization",0.169,"CDH5,PCDHGC3",2,25,0.77,2,1.41421356237309,0.47536116728487,"magenta"
"GO:0007155","GO:0007155","cell adhesion",0.169,"CDH5,PCDHGC3",2,25,0.77,2,1.41421356237309,0.47536116728487,"magenta"
"GO:0009719","GO:0009719","response to endogenous stimulus",0.169,"CDH5,PELP1",2,25,0.77,2,1.41421356237309,0.420415568525704,"magenta"
"GO:0009893","GO:0009893","positive regulation of metabolic process",0.177,"CDH5,NOTCH3,PELP1",3,51,1.56,3,1.73205080756888,0.548657219927736,"magenta"
"GO:0048514","GO:0048514","blood vessel morphogenesis",0.18,"CDH5,NOTCH3",2,26,0.8,2,1.41421356237309,0.66688344912945,"magenta"
"GO:0009891","GO:0009891","positive regulation of biosynthetic process",0.18,"NOTCH3,PELP1",2,26,0.8,2,1.41421356237309,0.558672642128053,"magenta"
"GO:0031328","GO:0031328","positive regulation of cellular biosynthetic process",0.18,"NOTCH3,PELP1",2,26,0.8,2,1.41421356237309,0.558672642128053,"magenta"
"GO:0045935","GO:0045935","positive regulation of nucleobase-containing compound metabolic process",0.18,"NOTCH3,PELP1",2,26,0.8,2,1.41421356237309,0.558672642128053,"magenta"
"GO:0000902","GO:0000902","cell morphogenesis",0.192,"CDH5,NOTCH3",2,27,0.83,2,1.41421356237309,0.66688344912945,"magenta"
