"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:1901606","GO:1901606","alpha-amino acid catabolic process",7.7e-05,"AASS,ACMSD,CBS,CDO1,GLUD2,GOT1,GPT2,HGD,HPD,KMO,KYNU,MAT1A,MTRR,OAT,PAH,PRODH,SDS,SDSL,TAT,TDO2",20,21,11.7,20,-4.47213595499958,-0.979749778834268,"turquoise"
"GO:0009063","GO:0009063","amino acid catabolic process",0.00015,"AASS,ACMSD,BCKDHA,BCKDHB,CBS,CDO1,GLUD2,GOT1,GPT2,HGD,HPD,KMO,KYNU,MAT1A,MTRR,OAT,PAH,PRODH,SDS,SDSL,TAT,TDO2",22,24,13.37,22,-4.69041575982343,-0.921142678222185,"turquoise"
"GO:0050728","GO:0050728","negative regulation of inflammatory response",0.00109,"ADORA1,C1QTNF12,GIT1,GPR17,GPS2,HGF,IER3,KLF4,MKRN2,NDFIP1,NR1D2,PLCG1,RABGEF1,RB1,SELENOS,SOCS5,YES1,ZFP36",18,20,11.14,18,-4.24264068711929,-0.505601131603587,"turquoise"
"GO:0006094","GO:0006094","gluconeogenesis",0.00114,"ATF4,C1QTNF12,CRTC2,CRY1,FBP2,FOXO1,GOT1,LEPR,MDH1,NNMT,PCK1,PDK2,PGAM2,PGM1,PGP,PPARGC1A,RANBP2,SDS,SELENOS,SESN2,SIK1,SIRT1,SLC37A4",23,27,15.04,23,-4.79583152331272,-0.965053532674535,"turquoise"
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process",0.00147,"ACMSD,ASL,ASS1,FH,GLUD2,GOT1,GPT2,KMO,KYNU,MDH1,MTRR,OAT,OGDHL,PCK1,PRODH,SDHA,SDHB,SLC19A1,SLC25A32,TAT",20,23,12.81,20,-4.47213595499958,-1.06063469600708,"turquoise"
"GO:0006096","GO:0006096","glycolytic process",0.00179,"ALDOA,DDIT4,DHTKD1,EIF6,FOXK2,GIT1,IER3,INSR,OGDHL,PFKFB2,PFKM,PGAM2,PGM1,PRKAA1,PRKAG2,RPTOR,TIGAR",17,19,10.59,17,-4.12310562561766,-0.726719655919172,"turquoise"
"GO:0030073","GO:0030073","insulin secretion",0.002,"AACS,ACSL4,ACVR2B,BAD,C1QTNF12,C2CD2L,CCDC186,ENSA,F2,FOXO1,HNF4A,IL1RN,INHBB,IRS2,JAGN1,PFKFB2,PFKM,PIM3,RAF1,SELENOT,SLC25A22,SLC8B1,SMAD2,STXBP3",24,29,16.16,24,-4.89897948556636,-0.669516251613496,"turquoise"
"GO:0006099","GO:0006099","tricarboxylic acid cycle",0.00284,"ACO2,DHTKD1,FH,IDH3A,MDH1,OGDHL,PDHA1,PDHB,SDHA,SDHB",10,10,5.57,10,-3.16227766016838,-0.722129455071023,"turquoise"
"GO:0030177","GO:0030177","positive regulation of Wnt signaling pathway",0.00366,"CDC73,CRBN,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,EGFR,PPM1A,PPM1B,PRDM15,RNF146,RNF220,SALL1,TNKS2,UBR5,USP34,USP8,ZRANB1",18,21,11.7,18,-4.24264068711929,-0.370280902198817,"turquoise"
"GO:0006470","GO:0006470","protein dephosphorylation",0.00444,"ADORA1,ANKLE2,DUSP1,DUSP28,DUSP3,DUSP4,DUSP9,ENSA,FAM220A,IKBKB,MTMR2,MTMR6,MTMR7,PGAM5,PHLPP2,PPM1A,PPM1B,PPM1D,PPM1G,PPM1K,PPP1R12A,PPP1R15A,PPP1R15B,PPP2R5B,PPP2R5E,PPP3CC,PPP4R3A,PPP6R3,PPTC7,PTP4A1,PTPN9,PTPRK,SSH2,TNS2",34,45,25.07,34,-5.8309518948453,-0.501101737931542,"turquoise"
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process",0.0047,"AASS,ASL,ASS1,CBS,CPS1,GLUD2,GOT1,MTRR,OAT,PAH,PSAT1,SDS,SDSL,SEPHS1,SERINC3",15,17,9.47,15,-3.87298334620742,-0.862952495222812,"turquoise"
"GO:0046883","GO:0046883","regulation of hormone secretion",0.00475,"AACS,ACSL4,ADORA1,AGT,BAD,C1QTNF12,C2CD2L,CRY1,ENSA,F2,FOXO1,HNF4A,INHBB,IRS2,JAGN1,PFKFB2,PFKM,PIM3,RAB11FIP3,SELENOT,SLC25A22,SLC8B1,SMAD4,TMF1",24,30,16.71,24,-4.89897948556636,-0.730606592805206,"turquoise"
"GO:0044262","GO:0044262","cellular carbohydrate metabolic process",0.00489,"ADIPOR1,BAD,BPNT2,BRAF,C1QTNF12,CRY1,DDIT4,EXT1,FBP2,FOXK2,FOXO1,GIT1,GNPTG,GOT1,GSK3A,IER3,INSR,IRS2,ISYNA1,LEPR,MECP2,MTMR2,MTMR7,NDST2,NNMT,PCK1,PDK2,PFKFB2,PFKM,PGP,PPARGC1A,PPIP5K2,PRKAG2,RANBP2,RB1CC1,RPTOR,SELENOS,SESN2,SIK1,SIRT1,TIGAR",41,56,31.2,41,-6.40312423743285,-0.796215321989312,"turquoise"
"GO:0006790","GO:0006790","sulfur compound metabolic process",0.00645,"AASS,ACOT12,ACSL4,ACSM5,AHCY,B3GAT3,BPNT2,CBS,CDO1,CIAPIN1,CPS1,DIP2A,EXT1,FMO3,GPAT4,HSPA9,ISCA1,MAT1A,MAT2A,MMS19,MTRR,NDST2,PDHA1,PDHB,PDHX,PDK2,SLC25A19,SULT1A1,SUOX,TDO2,TPST1",31,41,22.84,31,-5.56776436283002,-0.514421613317814,"turquoise"
"GO:0043409","GO:0043409","negative regulation of MAPK cascade",0.00678,"AGT,DUSP1,DUSP3,DUSP4,DUSP9,EIF3A,ERRFI1,FOXO1,GPS2,HMGCR,HYAL2,ITCH,MARVELD3,PAFAH1B1,PER1,PRDM15,PRMT1,QARS1,RANBP9,SMAD4,SPRY1",21,26,14.49,21,-4.58257569495584,-0.75055970731555,"turquoise"
