"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0006417","GO:0006417","regulation of translation",0.0077,"CDC123,CPEB1,NGDN",3,20,0.45,3,-1.73205080756888,-0.317937321285272,"yellow"
"GO:0044282","GO:0044282","small molecule catabolic process",0.0361,"GCAT,TPI1",2,14,0.32,2,-1.41421356237309,-0.3348437737804,"yellow"
"GO:0010608","GO:0010608","post-transcriptional regulation of gene expression",0.0489,"CDC123,CDC37,CPEB1,NGDN",4,23,0.52,4,-2,-0.294982245415464,"yellow"
"GO:0019752","GO:0019752","carboxylic acid metabolic process",0.0521,"GCAT,TPI1",2,17,0.38,2,-1.41421356237309,-0.3348437737804,"yellow"
"GO:0006082","GO:0006082","organic acid metabolic process",0.0521,"GCAT,TPI1",2,17,0.38,2,-1.41421356237309,-0.3348437737804,"yellow"
"GO:0043436","GO:0043436","oxoacid metabolic process",0.0521,"GCAT,TPI1",2,17,0.38,2,-1.41421356237309,-0.3348437737804,"yellow"
"GO:0061024","GO:0061024","membrane organization",0.0832,"EMC4,TMEM11",2,22,0.5,2,-1.41421356237309,-0.319818086401945,"yellow"
"GO:0016310","GO:0016310","phosphorylation",0.0832,"CDC37,TPI1",2,22,0.5,2,-1.41421356237309,-0.257997316721261,"yellow"
"GO:0051726","GO:0051726","regulation of cell cycle",0.09,"CDC123,CDC37",2,23,0.52,2,-1.41421356237309,-0.209924754412715,"yellow"
"GO:0071840","GO:0071840","cellular component organization or biogenesis",0.1092,"CDC123,CDC37,COA6,EMC4,NGDN,TDRD5,TMEM11",7,203,4.58,7,-2.64575131106459,-0.322275014798323,"yellow"
"GO:0071310","GO:0071310","cellular response to organic substance",0.1501,"CDC37,CPEB1",2,31,0.7,2,-1.41421356237309,-0.335106020552741,"yellow"
"GO:0016043","GO:0016043","cellular component organization",0.1554,"CDC123,CDC37,COA6,EMC4,TDRD5,TMEM11",6,175,3.95,6,-2.44948974278318,-0.323323442341879,"yellow"
"GO:0007049","GO:0007049","cell cycle",0.1999,"CDC123,CDC37",2,37,0.84,2,-1.41421356237309,-0.209924754412715,"yellow"
"GO:0044283","GO:0044283","small molecule biosynthetic process",0.206,"TPI1",1,10,0.23,1,-1,-0.289877615636479,"yellow"
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process",0.206,"TPI1",1,10,0.23,1,-1,-0.289877615636479,"yellow"
"GO:0019953","GO:0019953","sexual reproduction",0.206,"TDRD5",1,10,0.23,1,-1,-0.410225737147898,"yellow"
"GO:0016054","GO:0016054","organic acid catabolic process",0.206,"GCAT",1,10,0.23,1,-1,-0.379809931924321,"yellow"
"GO:0046395","GO:0046395","carboxylic acid catabolic process",0.206,"GCAT",1,10,0.23,1,-1,-0.379809931924321,"yellow"
"GO:0044248","GO:0044248","cellular catabolic process",0.2116,"CDC37,GCAT,TPI1",3,72,1.63,3,-1.73205080756888,-0.298601521788947,"yellow"
"GO:0090150","GO:0090150","establishment of protein localization to membrane",0.2244,"EMC4",1,11,0.25,1,-1,-0.235046796477207,"yellow"
"GO:1903311","GO:1903311","regulation of mRNA metabolic process",0.2244,"CPEB1",1,11,0.25,1,-1,-0.444095023299439,"yellow"
"GO:0043549","GO:0043549","regulation of kinase activity",0.2244,"CDC37",1,11,0.25,1,-1,-0.226117017806043,"yellow"
"GO:0007006","GO:0007006","mitochondrial membrane organization",0.2244,"TMEM11",1,11,0.25,1,-1,-0.404589376326683,"yellow"
"GO:0009725","GO:0009725","response to hormone",0.2244,"CPEB1",1,11,0.25,1,-1,-0.444095023299439,"yellow"
"GO:0030490","GO:0030490","maturation of SSU-rRNA",0.2244,"NGDN",1,11,0.25,1,-1,-0.315984449536988,"yellow"
"GO:0003006","GO:0003006","developmental process involved in reproduction",0.2244,"TDRD5",1,11,0.25,1,-1,-0.410225737147898,"yellow"
"GO:0071345","GO:0071345","cellular response to cytokine stimulus",0.2423,"CDC37",1,12,0.27,1,-1,-0.226117017806043,"yellow"
"GO:1901699","GO:1901699","cellular response to nitrogen compound",0.2423,"CPEB1",1,12,0.27,1,-1,-0.444095023299439,"yellow"
"GO:0051301","GO:0051301","cell division",0.2599,"CDC123",1,13,0.29,1,-1,-0.193732491019387,"yellow"
"GO:0034097","GO:0034097","response to cytokine",0.2599,"CDC37",1,13,0.29,1,-1,-0.226117017806043,"yellow"
