"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus",0.0044,"ADAM17,CREB3L1,FZD1,ITGA5,KDR,NGFR,TGFB1I1,TNXB",8,11,3.43,8,2.82842712474619,0.54958257079793,"black"
"GO:0010604","GO:0010604","positive regulation of macromolecule metabolic process",0.0047,"ADAM17,AKNA,ATP13A2,CREB3L1,FZD1,ITGA5,ITGAX,JUP,KDR,LIMCH1,MED24,MOV10,MSN,NGFR,RARA,SLC24A4,SMO,SOX7,TGFB1I1,TNXB,VGLL2",21,43,13.42,21,4.58257569495584,0.462309997085091,"black"
"GO:0031325","GO:0031325","positive regulation of cellular metabolic process",0.0048,"ABCD1,ADAM17,AKNA,CREB3L1,FZD1,ITGA5,JUP,KDR,LIMCH1,MED24,MOV10,NGFR,RARA,SMO,SOX7,TGFB1I1,TNXB,VGLL2",18,35,10.93,18,4.24264068711929,0.476146447670099,"black"
"GO:0051173","GO:0051173","positive regulation of nitrogen compound metabolic process",0.0048,"ADAM17,AKNA,CREB3L1,FZD1,ITGA5,JUP,KDR,LIMCH1,MED24,MOV10,MSN,NGFR,RARA,SMO,SOX7,TGFB1I1,TNXB,VGLL2",18,35,10.93,18,4.24264068711929,0.474544787887969,"black"
"GO:0009888","GO:0009888","tissue development",0.0086,"ADAM17,AKNA,CCDC154,CUL7,FZD1,ITGA5,ITGAX,KDR,MMP15,MSN,NGFR,NRP2,PALLD,PLXND1,POFUT1,RARA,SEMA4G,SLC24A4,SMO,SOX7,TGFB1I1,TNXB,VCL,VGLL2,WDR1",25,56,17.48,25,5,0.455997347991157,"black"
"GO:0070997","GO:0070997","neuron death",0.0113,"ATP13A2,FZD1,KDR,NGFR,PCDHGC3,PIGT,PLXND1",7,10,3.12,7,2.64575131106459,0.442470331003745,"black"
"GO:0048729","GO:0048729","tissue morphogenesis",0.0132,"ADAM17,FZD1,ITGA5,ITGAX,KDR,MSN,NGFR,NRP2,PLXND1,RARA,SMO,TGFB1I1,VCL,WDR1",14,27,8.43,14,3.74165738677394,0.425473046522836,"black"
"GO:0048646","GO:0048646","anatomical structure formation involved in morphogenesis",0.0137,"ADAM17,CREB3L1,FZD1,ITGA5,ITGAX,JUP,KDR,MMP15,NGFR,NRP2,PLXND1,POFUT1,RARA,SLC24A4,SMO,SOX7,WDR1",17,35,10.93,17,4.12310562561766,0.420482846416879,"black"
"GO:0045935","GO:0045935","positive regulation of nucleobase-containing compound metabolic process",0.0137,"AKNA,CREB3L1,FZD1,JUP,MED24,MOV10,NGFR,RARA,SMO,SOX7,TGFB1I1,VGLL2",12,22,6.87,12,3.46410161513775,0.508484323833038,"black"
"GO:0051254","GO:0051254","positive regulation of RNA metabolic process",0.0137,"AKNA,CREB3L1,FZD1,JUP,MED24,MOV10,NGFR,RARA,SMO,SOX7,TGFB1I1,VGLL2",12,22,6.87,12,3.46410161513775,0.508484323833038,"black"
"GO:0010468","GO:0010468","regulation of gene expression",0.0153,"ABCD1,ADAM17,ADCY7,AKNA,ATP13A2,CREB3L1,FZD1,ITGAX,JUP,KDR,MED24,MOV10,MSN,NGFR,PKNOX2,POFUT1,RARA,SLC24A4,SMO,SOX7,TAPBP,TGFB1I1,TNXB,VGLL2",24,55,17.17,24,4.89897948556636,0.456963118241317,"black"
"GO:0009891","GO:0009891","positive regulation of biosynthetic process",0.0169,"ABCD1,AKNA,CREB3L1,FZD1,JUP,KDR,MED24,NGFR,RARA,SMO,SOX7,TGFB1I1,VGLL2",13,25,7.8,13,3.60555127546399,0.485523930192144,"black"
"GO:0002009","GO:0002009","morphogenesis of an epithelium",0.0169,"ADAM17,FZD1,ITGA5,ITGAX,KDR,MSN,NGFR,PLXND1,RARA,SMO,TGFB1I1,VCL,WDR1",13,25,7.8,13,3.60555127546399,0.426978668563187,"black"
"GO:0048514","GO:0048514","blood vessel morphogenesis",0.0173,"CREB3L1,CUL7,ITGA5,ITGAX,JUP,KDR,NGFR,NRP2,PLXND1,POFUT1,SMO",11,20,6.24,11,3.3166247903554,0.411192820457428,"black"
"GO:0009653","GO:0009653","anatomical structure morphogenesis",0.0208,"ADAM17,CCDC154,CDKL5,CREB3L1,CUL7,FZD1,ITGA5,ITGAX,JUP,KDR,MMP15,MOV10,MSN,NGFR,NRP2,PALLD,PLXND1,POFUT1,RARA,SEMA4G,SLC24A4,SMO,SOX7,TGFB1I1,VCL,WDR1",26,62,19.35,26,5.09901951359279,0.42425168833148,"black"
"GO:0031328","GO:0031328","positive regulation of cellular biosynthetic process",0.0215,"ABCD1,AKNA,CREB3L1,FZD1,JUP,MED24,NGFR,RARA,SMO,SOX7,TGFB1I1,VGLL2",12,23,7.18,12,3.46410161513775,0.495819498515362,"black"
"GO:0060429","GO:0060429","epithelium development",0.0225,"ADAM17,FZD1,ITGA5,ITGAX,KDR,MSN,NGFR,PALLD,PLXND1,POFUT1,RARA,SMO,TGFB1I1,VCL,WDR1",15,31,9.68,15,3.87298334620742,0.440122766337144,"black"
"GO:1901565","GO:1901565","organonitrogen compound catabolic process",0.0234,"ABCD1,ATP13A2,CUL7,KLHL42,MSN,PDE7B,TGFB1I1",7,11,3.43,7,2.64575131106459,0.356053829574869,"black"
"GO:0045893","GO:0045893","positive regulation of DNA-templated transcription",0.0272,"AKNA,CREB3L1,FZD1,JUP,MED24,NGFR,RARA,SMO,SOX7,TGFB1I1,VGLL2",11,21,6.56,11,3.3166247903554,0.510797603844701,"black"
"GO:1903508","GO:1903508","positive regulation of nucleic acid-templated transcription",0.0272,"AKNA,CREB3L1,FZD1,JUP,MED24,NGFR,RARA,SMO,SOX7,TGFB1I1,VGLL2",11,21,6.56,11,3.3166247903554,0.510797603844701,"black"
"GO:1902680","GO:1902680","positive regulation of RNA biosynthetic process",0.0272,"AKNA,CREB3L1,FZD1,JUP,MED24,NGFR,RARA,SMO,SOX7,TGFB1I1,VGLL2",11,21,6.56,11,3.3166247903554,0.510797603844701,"black"
"GO:0010557","GO:0010557","positive regulation of macromolecule biosynthetic process",0.0321,"AKNA,CREB3L1,FZD1,JUP,KDR,MED24,NGFR,RARA,SMO,SOX7,TGFB1I1,VGLL2",12,24,7.49,12,3.46410161513775,0.498395896050436,"black"
