"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0006796","GO:0006796","phosphate-containing compound metabolic process",0.0014,"AKR1A1,APRT,ATIC,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5IF1,ATP5MC1,ATP5MC3,ATP5ME,ATP5MG,ATP5PB,ATP5PD,ATP5PF,ATP5PO,ATPSCKMT,CALM2,CD40,CD81,CDC42,CDIPT,CDK4,CDK5RAP3,CIB1,CRYL1,DBI,DCTPP1,DCXR,DKK1,DNAJC19,DNPH1,DTYMK,DUSP22,ELOVL1,ENO1,ENTPD2,FABP5,FDPS,FGGY,FIS1,FKBP8,FOXA2,FRA10AC1,G6PC3,GADD45A,GAPDHS,GMFG,GNAI2,GNPTG,GRK7,GTF2H5,GUK1,HCK,HEXB,HPRT1,HSP90AA1,HSP90AB1,HSP90B1,HSPB1,LDHA,MACROH2A1,MAD2L2,MAP2K1,MAPK3,MCEE,MDH1,MYDGF,NAGK,NAXE,NCBP2,NDUFA1,NDUFA11,NDUFA12,NDUFA2,NDUFA3,NDUFA9,NDUFAB1,NDUFB1,NDUFB3,NDUFB4,NDUFB5,NDUFB6,NDUFB8,NDUFC2,NDUFS4,NDUFS5,NDUFS6,NDUFS8,NDUFV2,NME2,NME3,NME6,NMRK1,NPTN,NUDT18,NUDT2,OLA1,OXSM,PAPSS1,PARK7,PGK1,PGLS,PHPT1,PIGC,PIGK,PIGU,PKIG,PLA2G5,PLAAT3,PLPP5,PPA2,PPCS,PPIA,PPP1CA,PPP1R14B,PRDX3,PRDX4,PRPS1,PSMD10,PSPH,PSTK,PYCARD,RFK,RNASEH2B,RPEL1,RPIA,SDHC,SDHD,SLC25A1,SOD1,SRD5A3,SUCLG1,TADA3,TAF10,TAF11,TALDO1,TECR,TMSB4X,TSPO,TXN,UNC119,VRK1,WNK3,XRCC6",146,208,126.62,146,12.0830459735946,0.3743101276056,"blue"
"GO:0044283","GO:0044283","small molecule biosynthetic process",0.0026,"ACADM,AKR1A1,AKR1B1,ALOX5AP,ANXA1,APRT,ASNS,CASP1,COQ2,COQ4,COQ7,DEGS1,DTYMK,EBP,ELOVL1,FABP5,FDPS,FDXR,G6PC3,HPRT1,LTC4S,MDH1,MECR,NDUFA9,NDUFAB1,OXSM,PARK7,PGK1,PHGDH,PLA2G5,PRPS1,PRXL2B,PSPH,PTS,PYCARD,QDPR,RFK,SCP2,SLC25A1,SLC25A11,SOD1,SPR,SPTSSA,SRD5A3,TECR,TM7SF2,UROS",47,60,36.52,47,6.85565460040104,0.375305885080194,"blue"
"GO:0007417","GO:0007417","central nervous system development",0.0029,"ANXA3,ATIC,ATP5PB,ATP5PF,B2M,B4GALT2,BTD,CALM2,CAPG,CDC42,CDK5RAP3,COX6B1,COX7B,DKK1,HPRT1,HSP90AA1,HSP90AB1,IER3IP1,MAP2K1,MAPK3,NDUFS4,PAFAH1B3,PHGDH,PRDM8,PTS,RHEB,ROGDI,RTN4,S100A1,SDF4,TYROBP,UFC1,UQCRQ,WLS,YWHAQ",35,43,26.18,35,5.91607978309962,0.37557426743053,"blue"
"GO:0006955","GO:0006955","immune response",0.0056,"ACTR3,ANXA1,ANXA3,B2M,BANF1,BPIFB3,C8B,CASP1,CD40,CD81,CDC42,CFP,CHID1,CNIH1,CRIP1,CTSS,CUEDC2,CYBA,DUSP22,FCER1G,FCGRT,G3BP1,HCK,HMGN2,HPRT1,HSP90AA1,IFI35,IFITM2,IFNGR2,IGLL1,IRAK1BP1,MAD2L2,MARCHF2,OPRK1,PARK7,PF4,PHPT1,PLA2G5,POLR3H,POLR3K,PPP1R14B,PRDX1,PSMA1,PSMB10,PSMB4,PYCARD,ROMO1,RPL13A,RPL39,RTN4,SDHAF4,SPG21,SPI1,TNFRSF13B,TNFSF13,TSPAN6,TYROBP,WFDC2,XRCC6",59,79,48.09,59,7.68114574786861,0.438767096483349,"blue"
"GO:0010634","GO:0010634","positive regulation of epithelial cell migration",0.006,"ANXA1,ANXA3,ATP5F1A,ATP5F1B,CALR,CD40,CIB1,EMC10,HSPB1,PDCD6,PFN1,RAB25,RTN4,TMSB4X",14,15,9.13,14,3.74165738677394,0.347337915351774,"blue"
"GO:0030168","GO:0030168","platelet activation",0.006,"C1GALT1C1,CD40,CLIC1,ENTPD2,F11R,FCER1G,FIBP,FUNDC2,GNAS,HSPB1,MYL9,PDPN,PF4,PPIA",14,15,9.13,14,3.74165738677394,0.436933507576919,"blue"
"GO:1901135","GO:1901135","carbohydrate derivative metabolic process",0.0063,"AKR1A1,AKR1B1,ALG3,APRT,ATIC,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5IF1,ATP5MC1,ATP5MC3,ATP5ME,ATP5MG,ATP5PB,ATP5PD,ATP5PF,ATP5PO,ATPSCKMT,B3GNT9,B4GALT2,B4GAT1,C1GALT1C1,CRYL1,DAD1,DCTPP1,DCXR,DDOST,DNPH1,DTYMK,ELOVL1,ENO1,ERH,FIS1,FUCA1,G6PC3,GAL3ST4,GAPDHS,GLA,GLTP,GNPTG,GUK1,HAS3,HEXB,HPRT1,KRTCAP2,LDHA,MCEE,MPDU1,NAGK,NDUFA1,NDUFA11,NDUFA12,NDUFA2,NDUFA3,NDUFA9,NDUFAB1,NDUFB1,NDUFB3,NDUFB4,NDUFB5,NDUFB6,NDUFB8,NDUFC2,NDUFS4,NDUFS5,NDUFS6,NDUFS8,NDUFV2,NME2,NME3,NME6,NUDT18,NUDT2,OLA1,OSTC,OXSM,PAPSS1,PARK7,PGK1,PGLS,PGM3,PIGC,PIGK,PIGU,POMGNT1,PORCN,PPCS,PRPS1,RFK,RNASEH2B,RPEL1,RPIA,RPN1,RPN2,SCCPDH,SDHC,SDHD,SLC25A1,SRD5A3,SUCLG1,TALDO1,TECR,TMEM258,TMSB4X,TSPO,UXS1",108,148,90.09,108,10.3923048454133,0.345614960943041,"blue"
"GO:0031333","GO:0031333","negative regulation of protein-containing complex assembly",0.0068,"CAPG,CDC42,CRYAB,DKK1,PARK7,PFN1,RPL13A,TMSB10,TMSB4X,TWF2",10,10,6.09,10,3.16227766016838,0.410952374365973,"blue"
"GO:0098542","GO:0098542","defense response to other organism",0.0077,"ACTR3,ANXA1,ANXA3,BANF1,BPIFB3,C8B,CASP1,CD40,CDC42,CFP,CHID1,CTSS,CYBA,FCER1G,G3BP1,HCK,HMGN2,HSP90AA1,IFI35,IFITM2,IFNGR2,MAPK3,MARCHF2,OPRK1,PF4,PLA2G5,PLAC8,POLR3H,POLR3K,PPP1R14B,PRDX1,PYCARD,ROMO1,RPL13A,RPL39,RTN4,SDHAF4,SPI1,TSPAN6,TUSC2,TYROBP,WFDC2,XRCC6",43,56,34.09,43,6.557438524302,0.469127403000493,"blue"
"GO:0006869","GO:0006869","lipid transport",0.0089,"ANXA1,APOO,DBI,FABP5,FIS1,GLTP,LAMTOR1,NAXE,PLA2G5,PRELID1,SCP2,SFTPA1,SLC25A11,SPNS1,STARD3NL,STARD5,TSPO,VMP1,YJEFN3",19,22,13.39,19,4.35889894354067,0.408597218273133,"blue"
