"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0009790","GO:0009790","embryo development",0.0027,"ACTR8,ATF4,GGNBP2,HOXB4,KAT5,KIFBP,LDB1,MBD2,MSX2,NASP,NDEL1,RBBP8,RNF220,SYF2,UCHL5,ZNF358",16,31,8.58,16,-4,-0.359975387768465,"green"
"GO:2000026","GO:2000026","regulation of multicellular organismal development",0.0057,"ACTR8,ATF4,IFRD1,KAT5,LDB1,MSX2,PARP6,RXRB,TOMM70,UCHL5",10,17,4.7,10,-3.16227766016838,-0.33485718507384,"green"
"GO:0006338","GO:0006338","chromatin remodeling",0.0123,"ACTR8,DAXX,KAT5,MBD2,MPHOSPH8,NASP,UCHL5",7,11,3.04,7,-2.64575131106459,-0.267908639883486,"green"
"GO:0045892","GO:0045892","negative regulation of DNA-templated transcription",0.0128,"ATF4,DAXX,DNAJC17,HOXB4,ING1,KAT5,LDB1,MAX,MBD2,MPHOSPH8,MSX2,NOP53,QARS1,RBBP8,RNF8,UIMC1,YAF2",17,38,10.51,17,-4.12310562561766,-0.340129053421535,"green"
"GO:1903507","GO:1903507","negative regulation of nucleic acid-templated transcription",0.0128,"ATF4,DAXX,DNAJC17,HOXB4,ING1,KAT5,LDB1,MAX,MBD2,MPHOSPH8,MSX2,NOP53,QARS1,RBBP8,RNF8,UIMC1,YAF2",17,38,10.51,17,-4.12310562561766,-0.340129053421535,"green"
"GO:1902679","GO:1902679","negative regulation of RNA biosynthetic process",0.0128,"ATF4,DAXX,DNAJC17,HOXB4,ING1,KAT5,LDB1,MAX,MBD2,MPHOSPH8,MSX2,NOP53,QARS1,RBBP8,RNF8,UIMC1,YAF2",17,38,10.51,17,-4.12310562561766,-0.340129053421535,"green"
"GO:0016049","GO:0016049","cell growth",0.013,"CDK11B,EGLN2,IFRD1,ING1,IP6K2,NDEL1,SLC25A33,ST7L,TOMM70",9,16,4.43,9,-3,-0.421640166379386,"green"
"GO:0051094","GO:0051094","positive regulation of developmental process",0.0213,"ATF4,HOXB4,ING1,KAT5,MSX2,PARP6,PINK1,RXRB,SETD3",9,17,4.7,9,-3,-0.357726986303695,"green"
"GO:0040007","GO:0040007","growth",0.0244,"CDK11B,EGLN2,IFRD1,ING1,IP6K2,MSX2,NDEL1,SLC25A33,ST7L,TOMM70",10,20,5.53,10,-3.16227766016838,-0.43172925120323,"green"
"GO:0001558","GO:0001558","regulation of cell growth",0.0286,"CDK11B,EGLN2,IFRD1,ING1,IP6K2,SLC25A33,ST7L,TOMM70",8,15,4.15,8,-2.82842712474619,-0.400955378650189,"green"
