"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0032501","GO:0032501","multicellular organismal process",0.25,"DHX58,EIF2AK2,FGL2,GBP1,GBP5,IRF7,KCNA5,RNF213,RTP4,STAT1,TRIM21",11,14,9.6,11,3.3166247903554,0.675275386523085,"magenta"
"GO:0009892","GO:0009892","negative regulation of metabolic process",0.31,"DHX58,EIF2AK2,GBP1,IRF7,PARP10,PARP14,STAT1,TRIM21",8,10,6.86,8,2.82842712474619,0.484943036557199,"magenta"
"GO:0010605","GO:0010605","negative regulation of macromolecule metabolic process",0.31,"DHX58,EIF2AK2,GBP1,IRF7,PARP10,PARP14,STAT1,TRIM21",8,10,6.86,8,2.82842712474619,0.484943036557199,"magenta"
"GO:0050896","GO:0050896","response to stimulus",0.31,"CMPK2,DHX58,EIF2AK2,FGL2,GBP1,GBP4,GBP5,GBP6,GPR141,IFI44,IL13RA1,IRF7,KCNA5,MX1,PARP10,PARP14,RNF213,RTP4,SAMD9,STAT1,TAP1,TRIM21,UBA7,XAF1",24,34,23.31,24,4.89897948556636,0.633048914973973,"magenta"
"GO:0051239","GO:0051239","regulation of multicellular organismal process",0.42,"DHX58,EIF2AK2,FGL2,GBP1,GBP5,IRF7,KCNA5,STAT1,TRIM21",9,12,8.23,9,3,0.694430712562523,"magenta"
"GO:0001816","GO:0001816","cytokine production",0.62,"DHX58,EIF2AK2,GBP1,GBP5,IRF7,STAT1,TRIM21",7,10,6.86,7,2.64575131106459,0.724095237449864,"magenta"
"GO:0001817","GO:0001817","regulation of cytokine production",0.62,"DHX58,EIF2AK2,GBP1,GBP5,IRF7,STAT1,TRIM21",7,10,6.86,7,2.64575131106459,0.724095237449864,"magenta"
"GO:0048585","GO:0048585","negative regulation of response to stimulus",0.62,"DHX58,FGL2,GBP1,PARP14,RNF213,STAT1,TRIM21",7,10,6.86,7,2.64575131106459,0.502679887445119,"magenta"
"GO:0009617","GO:0009617","response to bacterium",0.62,"CMPK2,DHX58,GBP4,GBP5,GBP6,IFI44,RNF213",7,10,6.86,7,2.64575131106459,0.829340498463345,"magenta"
"GO:0042221","GO:0042221","response to chemical",0.67,"CMPK2,EIF2AK2,GBP1,GBP4,GBP5,GBP6,IL13RA1,IRF7,KCNA5,MX1,PARP14,RTP4,STAT1,TRIM21,XAF1",15,22,15.09,15,3.87298334620742,0.66090386389498,"magenta"
"GO:0070887","GO:0070887","cellular response to chemical stimulus",0.73,"CMPK2,EIF2AK2,GBP1,GBP4,GBP5,GBP6,IL13RA1,IRF7,MX1,PARP14,STAT1,TRIM21",12,18,12.34,12,3.46410161513775,0.658954480996368,"magenta"
"GO:0010033","GO:0010033","response to organic substance",0.75,"CMPK2,EIF2AK2,GBP1,GBP4,GBP5,GBP6,IL13RA1,IRF7,KCNA5,MX1,PARP14,STAT1,TRIM21,XAF1",14,21,14.4,14,3.74165738677394,0.662630054524879,"magenta"
"GO:0048523","GO:0048523","negative regulation of cellular process",0.79,"DHX58,EIF2AK2,FGL2,GBP1,IRF7,PARP10,PARP14,RNF213,STAT1",9,14,9.6,9,3,0.529667739832407,"magenta"
"GO:0071345","GO:0071345","cellular response to cytokine stimulus",0.79,"GBP1,GBP4,GBP5,GBP6,IL13RA1,IRF7,MX1,PARP14,STAT1",9,14,9.6,9,3,0.747045220974606,"magenta"
"GO:0009058","GO:0009058","biosynthetic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:0018130","GO:0018130","heterocycle biosynthetic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:1901564","GO:1901564","organonitrogen compound metabolic process",0.79,"CMPK2,EIF2AK2,PARP10,PARP14,RNF213,TRIM21,UBA7",7,11,7.54,7,2.64575131106459,0.385797055618709,"magenta"
"GO:0044271","GO:0044271","cellular nitrogen compound biosynthetic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:1901360","GO:1901360","organic cyclic compound metabolic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:1901362","GO:1901362","organic cyclic compound biosynthetic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:0046483","GO:0046483","heterocycle metabolic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:0006725","GO:0006725","cellular aromatic compound metabolic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:0006139","GO:0006139","nucleobase-containing compound metabolic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:0034641","GO:0034641","cellular nitrogen compound metabolic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:1901576","GO:1901576","organic substance biosynthetic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:0019438","GO:0019438","aromatic compound biosynthetic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:0034654","GO:0034654","nucleobase-containing compound biosynthetic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:0044249","GO:0044249","cellular biosynthetic process",0.79,"CMPK2,EIF2AK2,IRF7,PARP10,PARP14,STAT1,TRIM21",7,11,7.54,7,2.64575131106459,0.436484369557867,"magenta"
"GO:0071310","GO:0071310","cellular response to organic substance",0.8,"CMPK2,EIF2AK2,GBP1,GBP4,GBP5,GBP6,IL13RA1,IRF7,MX1,PARP14,STAT1",11,17,11.66,11,3.3166247903554,0.700656777584467,"magenta"
"GO:0051716","GO:0051716","cellular response to stimulus",0.81,"CMPK2,DHX58,EIF2AK2,GBP1,GBP4,GBP5,GBP6,GPR141,IL13RA1,IRF7,KCNA5,MX1,PARP10,PARP14,RNF213,STAT1,TRIM21,UBA7",18,27,18.51,18,4.24264068711929,0.62188002204554,"magenta"
