"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0012501","GO:0012501","programmed cell death",0.046,"CASP7,CLDN7,NLRP6,SCIN,SLC5A11",5,12,2.3,5,2.23606797749979,0.967823719371284,"pink"
"GO:0008219","GO:0008219","cell death",0.046,"CASP7,CLDN7,NLRP6,SCIN,SLC5A11",5,12,2.3,5,2.23606797749979,0.967823719371284,"pink"
"GO:0044238","GO:0044238","primary metabolic process",0.061,"ALDH1B1,ANPEP,CASP7,DDC,DHRS11,FBP1,HKDC1,NLRP6,UGT1A9,XPNPEP2",10,36,6.9,10,3.16227766016838,0.997493129830654,"pink"
"GO:0070887","GO:0070887","cellular response to chemical stimulus",0.065,"CASP7,DDC,FBP1,NLRP6,UGT1A9",5,13,2.49,5,2.23606797749979,1.12141564078548,"pink"
"GO:0071310","GO:0071310","cellular response to organic substance",0.091,"CASP7,DDC,FBP1,NLRP6",4,10,1.92,4,2,1.20244773522367,"pink"
"GO:0071704","GO:0071704","organic substance metabolic process",0.114,"ALDH1B1,ANPEP,CASP7,DDC,DHRS11,FBP1,HKDC1,NLRP6,UGT1A9,XPNPEP2",10,39,7.48,10,3.16227766016838,0.997493129830654,"pink"
"GO:0010033","GO:0010033","response to organic substance",0.118,"CASP7,CLDN7,DDC,FBP1,NLRP6",5,15,2.88,5,2.23606797749979,1.03009573985494,"pink"
"GO:0006082","GO:0006082","organic acid metabolic process",0.126,"DDC,FBP1,HKDC1,UGT1A9",4,11,2.11,4,2,1.22546009692362,"pink"
"GO:0006915","GO:0006915","apoptotic process",0.126,"CASP7,CLDN7,SCIN,SLC5A11",4,11,2.11,4,2,0.763741517406746,"pink"
"GO:0051128","GO:0051128","regulation of cellular component organization",0.126,"CASP7,CLDN7,FBP1,SCIN",4,11,2.11,4,2,0.697891844963218,"pink"
"GO:0019752","GO:0019752","carboxylic acid metabolic process",0.126,"DDC,FBP1,HKDC1,UGT1A9",4,11,2.11,4,2,1.22546009692362,"pink"
"GO:0043436","GO:0043436","oxoacid metabolic process",0.126,"DDC,FBP1,HKDC1,UGT1A9",4,11,2.11,4,2,1.22546009692362,"pink"
"GO:0007275","GO:0007275","multicellular organism development",0.152,"ANPEP,CASP7,DDC,SCIN,UGT1A9",5,16,3.07,5,2.23606797749979,0.986915860641722,"pink"
"GO:0008152","GO:0008152","metabolic process",0.164,"ALDH1B1,ANPEP,CASP7,DDC,DHRS11,FBP1,HKDC1,NLRP6,UGT1A9,XPNPEP2",10,41,7.86,10,3.16227766016838,0.997493129830654,"pink"
"GO:0042221","GO:0042221","response to chemical",0.166,"CASP7,CLDN7,DDC,FBP1,NLRP6,UGT1A9",6,21,4.03,6,2.44948974278318,0.991294327051231,"pink"
"GO:1901564","GO:1901564","organonitrogen compound metabolic process",0.173,"ANPEP,CASP7,DDC,FBP1,HKDC1,NLRP6,XPNPEP2",7,26,4.99,7,2.64575131106459,1.14539742699506,"pink"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",0.206,"ANPEP,CASP7,DDC,FBP1,HKDC1,NLRP6,XPNPEP2",7,27,5.18,7,2.64575131106459,1.14539742699506,"pink"
"GO:0043170","GO:0043170","macromolecule metabolic process",0.274,"ANPEP,CASP7,FBP1,NLRP6,XPNPEP2",5,19,3.64,5,2.23606797749979,0.994648239792346,"pink"
"GO:0005975","GO:0005975","carbohydrate metabolic process",0.291,"ALDH1B1,FBP1,HKDC1",3,10,1.92,3,1.73205080756888,1.09711336088509,"pink"
"GO:0046483","GO:0046483","heterocycle metabolic process",0.291,"DDC,FBP1,HKDC1",3,10,1.92,3,1.73205080756888,1.36818437488725,"pink"
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process",0.291,"FBP1,HKDC1,UGT1A9",3,10,1.92,3,1.73205080756888,1.12508839282194,"pink"
"GO:1901362","GO:1901362","organic cyclic compound biosynthetic process",0.291,"DDC,DHRS11,FBP1",3,10,1.92,3,1.73205080756888,1.01102914099097,"pink"
"GO:0010467","GO:0010467","gene expression",0.291,"CASP7,FBP1,NLRP6",3,10,1.92,3,1.73205080756888,1.09440524388868,"pink"
"GO:0048731","GO:0048731","system development",0.311,"ANPEP,CASP7,SCIN,UGT1A9",4,15,2.88,4,2,0.852001023494991,"pink"
"GO:0048523","GO:0048523","negative regulation of cellular process",0.311,"CLDN7,FBP1,NLRP6,SCIN",4,15,2.88,4,2,1.03416725932593,"pink"
"GO:0048519","GO:0048519","negative regulation of biological process",0.311,"CLDN7,FBP1,NLRP6,SCIN",4,15,2.88,4,2,1.03416725932593,"pink"
"GO:0019538","GO:0019538","protein metabolic process",0.311,"ANPEP,CASP7,NLRP6,XPNPEP2",4,15,2.88,4,2,0.978307216075924,"pink"
"GO:0065008","GO:0065008","regulation of biological quality",0.311,"DHRS11,NLRP6,SCIN,UGT1A9",4,15,2.88,4,2,0.994939021596163,"pink"
"GO:0009056","GO:0009056","catabolic process",0.32,"ALDH1B1,ANPEP,FBP1,HKDC1,NLRP6",5,20,3.84,5,2.23606797749979,1.25906843080342,"pink"
"GO:0006725","GO:0006725","cellular aromatic compound metabolic process",0.353,"DDC,FBP1,HKDC1",3,11,2.11,3,1.73205080756888,1.36818437488725,"pink"
