"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0060491","GO:0060491","regulation of cell projection assembly",0.04,"DYNC2LI1",1,10,0.04,1,1,0.504488954068744,"red"
"GO:0120032","GO:0120032","regulation of plasma membrane bounded cell projection assembly",0.04,"DYNC2LI1",1,10,0.04,1,1,0.504488954068744,"red"
"GO:1902017","GO:1902017","regulation of cilium assembly",0.04,"DYNC2LI1",1,10,0.04,1,1,0.504488954068744,"red"
"GO:1902115","GO:1902115","regulation of organelle assembly",0.052,"DYNC2LI1",1,13,0.05,1,1,0.504488954068744,"red"
"GO:0042073","GO:0042073","intraciliary transport",0.06,"DYNC2LI1",1,15,0.06,1,1,0.504488954068744,"red"
"GO:0120035","GO:0120035","regulation of plasma membrane bounded cell projection organization",0.064,"DYNC2LI1",1,16,0.06,1,1,0.504488954068744,"red"
"GO:0031503","GO:0031503","protein-containing complex localization",0.064,"DYNC2LI1",1,16,0.06,1,1,0.504488954068744,"red"
"GO:0044087","GO:0044087","regulation of cellular component biogenesis",0.068,"DYNC2LI1",1,17,0.07,1,1,0.504488954068744,"red"
"GO:0010970","GO:0010970","transport along microtubule",0.068,"DYNC2LI1",1,17,0.07,1,1,0.504488954068744,"red"
"GO:0031344","GO:0031344","regulation of cell projection organization",0.068,"DYNC2LI1",1,17,0.07,1,1,0.504488954068744,"red"
"GO:0030705","GO:0030705","cytoskeleton-dependent intracellular transport",0.072,"DYNC2LI1",1,18,0.07,1,1,0.504488954068744,"red"
"GO:0009855","GO:0009855","determination of bilateral symmetry",0.076,"DYNC2LI1",1,19,0.08,1,1,0.504488954068744,"red"
"GO:0007368","GO:0007368","determination of left/right symmetry",0.076,"DYNC2LI1",1,19,0.08,1,1,0.504488954068744,"red"
"GO:0009799","GO:0009799","specification of symmetry",0.076,"DYNC2LI1",1,19,0.08,1,1,0.504488954068744,"red"
"GO:0060972","GO:0060972","left/right pattern formation",0.084,"DYNC2LI1",1,21,0.08,1,1,0.504488954068744,"red"
"GO:0033043","GO:0033043","regulation of organelle organization",0.092,"DYNC2LI1",1,23,0.09,1,1,0.504488954068744,"red"
"GO:0046907","GO:0046907","intracellular transport",0.096,"DYNC2LI1",1,24,0.1,1,1,0.504488954068744,"red"
"GO:0003002","GO:0003002","regionalization",0.104,"DYNC2LI1",1,26,0.1,1,1,0.504488954068744,"red"
"GO:0007389","GO:0007389","pattern specification process",0.112,"DYNC2LI1",1,28,0.11,1,1,0.504488954068744,"red"
"GO:0051128","GO:0051128","regulation of cellular component organization",0.131,"DYNC2LI1",1,33,0.13,1,1,0.504488954068744,"red"
"GO:0099111","GO:0099111","microtubule-based transport",0.143,"DYNC2LI1",1,36,0.14,1,1,0.504488954068744,"red"
"GO:0051649","GO:0051649","establishment of localization in cell",0.155,"DYNC2LI1",1,39,0.16,1,1,0.504488954068744,"red"
"GO:0051641","GO:0051641","cellular localization",0.243,"DYNC2LI1",1,61,0.24,1,1,0.504488954068744,"red"
"GO:0007275","GO:0007275","multicellular organism development",0.275,"DYNC2LI1",1,69,0.27,1,1,0.504488954068744,"red"
"GO:0060271","GO:0060271","cilium assembly",0.295,"DYNC2LI1",1,74,0.29,1,1,0.504488954068744,"red"
"GO:0030031","GO:0030031","cell projection assembly",0.299,"DYNC2LI1",1,75,0.3,1,1,0.504488954068744,"red"
"GO:0120031","GO:0120031","plasma membrane bounded cell projection assembly",0.299,"DYNC2LI1",1,75,0.3,1,1,0.504488954068744,"red"
"GO:0006810","GO:0006810","transport",0.299,"DYNC2LI1",1,75,0.3,1,1,0.504488954068744,"red"
"GO:0051234","GO:0051234","establishment of localization",0.311,"DYNC2LI1",1,78,0.31,1,1,0.504488954068744,"red"
"GO:0007018","GO:0007018","microtubule-based movement",0.315,"DYNC2LI1",1,79,0.31,1,1,0.504488954068744,"red"
