"","gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score","mod"
"GO:0090304","GO:0090304","nucleic acid metabolic process",0.022,"ABLIM3,ADCY8,AFAP1L2,AIM2,ANXA4,APBB1,APLN,APOBEC4,ATXN1,BCL11B,BCL6B,BEND5,BIN1,BLM,BRCA1,BTK,CAPRIN2,CCND1,CD36,CD4,CD74,CDK1,CENPF,COL1A1,CRYM,CSF2,CX3CR1,DKK3,DNASE1L3,E2F1,ECM1,EFEMP1,EGR2,ELP2,EYA4,FAM111A,FGF7,FGFR2,FGFR4,GAS6,HDAC9,HNRNPA3,HNRNPR,ID2,IKBKE,IKZF1,IKZF3,IL18RAP,IL1A,IL27RA,IL4I1,INTS4,IRF5,ITGA8,KHDRBS1,KHDRBS3,LEF1,LGALS9,LUM,MAGED2,MAMSTR,MAPK7,MCM2,MCM3,MEOX2,MESP2,MND1,MTPN,NCF1,NFKBIE,NIF3L1,NLRC3,NLRC4,NODAL,NOL3,NT5E,PAX5,PCBD1,PDLIM1,PKIA,PLEKHN1,POU2AF1,PPIL1,PRKCQ,PRR5L,PTPRC,PYHIN1,RAD54L,RBL1,RELB,RGMA,RGS14,RHOH,RPA1,RRM2,RRP15,RUNX3,SHH,SKAP1,SLFN12,SLFN13,SMARCB1,SNAI2,SNRPA,SPIB,SYK,TAF9B,TARS2,TBX22,TCF7,TESC,TFDP1,TGFB1,TK1,TLR9,TRAF1,TRAF5,TRMT9B,TTF2,VEGFA,VGLL1,VIM,WAS,WDR6,WNT2,WNT7A,WWC1,ZNF202,ZNF519,ZNF692",130,130,126.57,130,11.4017542509914,0.679351949747339,"yellow"
"GO:0044238","GO:0044238","primary metabolic process",0.022,"AACS,AADAC,ABHD3,ABLIM3,ACCS,ACLY,ACOXL,ACSL5,ACSM1,ACSS2,ADAMTS10,ADCY8,AFAP1L2,AGA,AIF1,AIM2,ALAS2,ANGPT1,ANXA4,APBB1,APLN,APLNR,APOBEC4,APOL3,ATAT1,ATXN1,BACE2,BANK1,BCHE,BCL11B,BCL6B,BEND5,BGN,BID,BIN1,BLK,BLM,BRCA1,BTK,BUB1,BUB1B,CADM1,CAPN11,CAPRIN2,CARNS1,CASP12,CASP6,CCL11,CCND1,CCND2,CCR7,CD19,CD27,CD36,CD3E,CD4,CD6,CD74,CDCA3,CDK1,CDKN2C,CEMIP,CENPE,CENPF,CEP41,CERKL,CFD,CFTR,CHST7,CLEC3B,CMA1,CNP,CNR1,CNTN1,COL1A1,COL3A1,COMT,CPQ,CRPPA,CRYM,CSF2,CSK,CTSE,CTSF,CTSH,CTSO,CTSW,CX3CR1,CYFIP2,CYP4F3,CYP51A1,DAPP1,DCT,DCTD,DECR2,DERA,DHCR7,DKK3,DNASE1L3,DPEP2,DPP4,DUSP19,E2F1,EBPL,ECM1,ECSCR,EDEM2,EDN3,EDNRA,EEF2K,EFEMP1,EGFLAM,EGR2,EHD4,ELP2,ENTPD1,EPHA3,EPHX2,ERAP1,ERMP1,EYA4,FAM111A,FGD2,FGF7,FGFR2,FGFR4,FGR,FKBP1A,FOLH1,GALNT12,GAS6,GH1,GHSR,GIMAP7,GLB1,GNPAT,GOLM1,GPC3,GPRC5A,GSN,GSTO1,GYG1,GZMM,HCAR1,HDAC9,HEXD,HFE,HIBCH,HK3,HNRNPA3,HNRNPR,HS3ST1,HSD11B2,HSD17B12,HSD17B4,HTRA1,ID2,IDNK,IKBKE,IKZF1,IKZF3,IL18RAP,IL1A,IL1RN,IL27RA,IL4I1,IL7,INTS4,IRF5,ITGA8,ITGB2,ITM2A,ITM2C,KEL,KHDRBS1,KHDRBS3,KLHL13,LAMP3,LAPTM4B,LAT,LAX1,LCP2,LEF1,LGALS9,LIPG,LOXL1,LRAT,LRRTM3,LUM,LYN,LYPLAL1,MAGED2,MAMSTR,MANBA,MAOB,MAP4K1,MAPK7,MBOAT7,MCM2,MCM3,ME2,MEOX2,MESP2,MGLL,MINDY2,MME,MMP11,MND1,MPPE1,MTPN,NAALAD2,NCF1,NCKAP1L,NDNF,NEK6,NEURL3,NFKBIE,NIF3L1,NLRC3,NLRC4,NME4,NNT,NODAL,NOL3,NSDHL,NT5E,NTAN1,NUDT17,P3H3,PARP11,PAX5,PCBD1,PCDH12,PCOLCE,PCYOX1L,PDE1B,PDE5A,PDGFA,PDLIM1,PFKP,PFN2,PGAP2,PGGHG,PGM5,PHKB,PHLDA1,PIK3CD,PIK3R5,PIK3R6,PILRB,PIP4K2A,PJA1,PKIA,PLCB2,PLEK,PLEKHN1,PLSCR3,PM20D1,POU2AF1,PPIL1,PPP1R3C,PPT1,PRCP,PRKCQ,PROM2,PRPSAP2,PRR5L,PTPA,PTPN22,PTPN6,PTPN7,PTPRC,PTPRD,PYCR1,PYGB,PYGL,PYGM,PYHIN1,RAD54L,RBL1,RELB,RGMA,RGS14,RHOH,RNFT2,ROS1,RPA1,RRM2,RRP15,RTN1,RUNX3,SARDH,SCRN1,SERPINB10,SERPINF1,SERPINI1,SH3BGRL,SH3BP5,SHH,SIRT5,SKAP1,SLC16A3,SLC27A3,SLC35C1,SLC44A3,SLFN12,SLFN13,SMARCB1,SMYD5,SNAI2,SNAPIN,SNRPA,SPIB,SPNS2,SRBD1,SRGN,STK32C,STK4,STT3A,SUMF1,SYK,TAF9B,TARS2,TBX22,TCF7,TESC,TFDP1,TFPI2,TGFB1,THY1,TK1,TLR8,TLR9,TMEM119,TNFRSF14,TNFRSF18,TNFSF14,TPP1,TPX2,TRAF1,TRAF5,TRMT9B,TSLP,TTF2,TTLL1,TUSC3,UBD,UBE2C,USP11,VEGFA,VGLL1,VIM,VLDLR,VTN,WAS,WDR6,WNT2,WNT7A,WWC1,XPO1,XXYLT1,ZAP70,ZDHHC3,ZNF202,ZNF519,ZNF692",366,371,361.22,366,19.131126469709,0.681702996714651,"yellow"
"GO:0008152","GO:0008152","metabolic process",0.025,"AACS,AADAC,ABHD3,ABLIM3,ACCS,ACLY,ACOXL,ACSL5,ACSM1,ACSS2,ACTA2,ADAMTS10,ADCY8,ADRB1,AFAP1L2,AGA,AGR2,AIF1,AIM2,ALAS2,ANGPT1,ANXA4,APBB1,APLN,APLNR,APMAP,APOBEC4,APOL3,AS3MT,ATAT1,ATXN1,BACE2,BANK1,BCHE,BCL11B,BCL6B,BEND5,BGN,BID,BIN1,BLK,BLM,BRCA1,BTK,BUB1,BUB1B,CADM1,CAPN11,CAPRIN2,CARNS1,CASP12,CASP6,CCL11,CCND1,CCND2,CCR7,CD177,CD19,CD2,CD22,CD226,CD27,CD34,CD36,CD3E,CD4,CD47,CD6,CD74,CD83,CD96,CDCA3,CDK1,CDKN2C,CEMIP,CENPE,CENPF,CEP41,CERKL,CFD,CFTR,CHST7,CKB,CLEC3B,CMA1,CNP,CNR1,CNTN1,COG5,COL1A1,COL1A2,COL3A1,COLQ,COMT,CPQ,CRLF2,CRPPA,CRYM,CRYZ,CSF2,CSK,CTSE,CTSF,CTSH,CTSO,CTSW,CTTN,CX3CR1,CYBC1,CYFIP2,CYP4F3,CYP51A1,DAPP1,DCT,DCTD,DECR2,DERA,DHCR7,DKK3,DNASE1L3,DPEP2,DPP4,DUSP19,E2F1,EBPL,ECM1,ECSCR,EDEM2,EDN3,EDNRA,EEF2K,EFEMP1,EGFLAM,EGR2,EHD4,ELP2,ENTPD1,EPHA3,EPHX2,ERAP1,ERMP1,EVA1A,EYA4,FAM111A,FBLN5,FCER2,FFAR2,FGD2,FGF7,FGFR2,FGFR4,FGR,FKBP1A,FOLH1,FUBP1,G0S2,GALNT12,GAS6,GGACT,GH1,GHSR,GIMAP7,GLB1,GNPAT,GOLM1,GPC3,GPRC5A,GSN,GSTO1,GYG1,GZMM,HCAR1,HDAC9,HDHD2,HEXD,HFE,HIBCH,HK3,HLA-DOA,HLA-DPA1,HNRNPA3,HNRNPR,HS3ST1,HSD11B2,HSD17B12,HSD17B4,HTRA1,HVCN1,ICOSLG,ID2,IDNK,IKBKE,IKZF1,IKZF3,IL16,IL18RAP,IL1A,IL1RN,IL27RA,IL2RG,IL4I1,IL7,INMT,INTS4,IRF5,ITGA8,ITGB2,ITGB6,ITM2A,ITM2C,KEL,KHDRBS1,KHDRBS3,KLHL13,KLRK1,LAMP3,LAPTM4B,LAT,LAX1,LCP2,LEF1,LGALS9,LIPG,LMNB1,LOXL1,LRAT,LRRTM3,LTB,LUM,LYN,LYPLAL1,LYVE1,MAGED2,MAMSTR,MANBA,MAOB,MAP4K1,MAPK7,MBOAT7,MCM2,MCM3,ME2,MEOX2,MESP2,MFAP2,MFAP4,MGLL,MINDY2,MME,MMP11,MND1,MPPE1,MTPN,NAALAD2,NAT2,NCF1,NCKAP1L,NDNF,NEK6,NEURL3,NFKBIE,NIF3L1,NLRC3,NLRC4,NLRX1,NME4,NNT,NODAL,NOL3,NRROS,NSDHL,NT5E,NTAN1,NUDT17,NUP107,OLFM1,P2RX4,P3H3,PARP11,PAX5,PCBD1,PCDH12,PCOLCE,PCYOX1L,PDE1B,PDE5A,PDGFA,PDIA5,PDLIM1,PFKP,PFN2,PGAP2,PGGHG,PGM5,PHETA2,PHKB,PHLDA1,PIK3CD,PIK3R5,PIK3R6,PILRB,PIP4K2A,PJA1,PKIA,PLCB2,PLEK,PLEKHN1,PLSCR3,PM20D1,POU2AF1,PPIL1,PPP1R14A,PPP1R3C,PPT1,PRCP,PRKCQ,PROM2,PRPSAP2,PRR5L,PTER,PTPA,PTPN22,PTPN6,PTPN7,PTPRC,PTPRD,PYCR1,PYGB,PYGL,PYGM,PYHIN1,RAB26,RAD54L,RBL1,RELB,RGMA,RGS14,RHOH,RNFT2,ROS1,RPA1,RRM2,RRP15,RTN1,RUNX3,SARDH,SASH3,SCIMP,SCRN1,SERPINB10,SERPINF1,SERPINI1,SESN3,SH3BGRL,SH3BP5,SHH,SIRT5,SKAP1,SLAMF1,SLAMF6,SLAMF8,SLC16A3,SLC27A3,SLC35C1,SLC44A3,SLC4A5,SLFN12,SLFN13,SMARCB1,SMYD4,SMYD5,SNAI2,SNAPIN,SNRPA,SPIB,SPN,SPNS2,SPON2,SRBD1,SRGN,STAP1,STC2,STK32C,STK4,STT3A,SUMF1,SYK,TAF9B,TARS2,TBX22,TCF7,TESC,TFDP1,TFPI2,TGFB1,THY1,TK1,TLR8,TLR9,TMEM119,TNFRSF14,TNFRSF18,TNFSF14,TPP1,TPX2,TRAF1,TRAF5,TRAT1,TRMT9B,TSLP,TTF2,TTLL1,TUSC3,UBD,UBE2C,UNC93B1,USP11,VCAM1,VEGFA,VGLL1,VIM,VLDLR,VTN,WAS,WDR6,WNT2,WNT7A,WWC1,XPO1,XXYLT1,ZAP70,ZDHHC3,ZNF202,ZNF519,ZNF692",435,442,430.35,435,20.8566536146142,0.693185479955559,"yellow"
"GO:1901362","GO:1901362","organic cyclic compound biosynthetic process",0.032,"ABLIM3,ACLY,ACSL5,ACSS2,ADCY8,AFAP1L2,AIM2,ALAS2,ANXA4,APBB1,APLN,ATXN1,BCL11B,BCL6B,BEND5,BIN1,BLM,BRCA1,BTK,CAPRIN2,CCND1,CD36,CD4,CD74,CENPF,CFTR,COL1A1,CRYM,CSF2,CX3CR1,CYP51A1,DCT,DHCR7,DKK3,E2F1,ECM1,EFEMP1,EGR2,ELP2,FGF7,FGFR2,FGFR4,GAS6,HDAC9,HSD17B12,ID2,IKBKE,IKZF1,IKZF3,IL18RAP,IL1A,IL4I1,INTS4,IRF5,ITGA8,KHDRBS1,LEF1,LGALS9,LUM,MAGED2,MAMSTR,MAPK7,MEOX2,MESP2,MTPN,NCF1,NFKBIE,NIF3L1,NLRC3,NLRC4,NME4,NODAL,NSDHL,NT5E,PAX5,PCBD1,PDLIM1,PKIA,POU2AF1,PPT1,PRKCQ,PRPSAP2,PYCR1,PYHIN1,RBL1,RELB,RGMA,RGS14,RHOH,RPA1,RRM2,RUNX3,SHH,SKAP1,SMARCB1,SNAI2,SPIB,SYK,TAF9B,TBX22,TCF7,TESC,TFDP1,TGFB1,TK1,TLR9,TRAF1,TRAF5,TTF2,VEGFA,VGLL1,WAS,WNT2,WNT7A,WWC1,ZNF202,ZNF519,ZNF692",118,118,114.89,118,10.8627804912002,0.675647923418333,"yellow"
"GO:0016070","GO:0016070","RNA metabolic process",0.035,"ABLIM3,ADCY8,AFAP1L2,AIM2,ANXA4,APBB1,APLN,APOBEC4,ATXN1,BCL11B,BCL6B,BEND5,BIN1,BLM,BRCA1,BTK,CAPRIN2,CCND1,CD36,CD4,CD74,CENPF,COL1A1,CRYM,CSF2,CX3CR1,DKK3,E2F1,ECM1,EFEMP1,EGR2,ELP2,FGF7,FGFR2,GAS6,HDAC9,HNRNPA3,HNRNPR,ID2,IKBKE,IKZF1,IKZF3,IL18RAP,IL1A,IL4I1,INTS4,IRF5,ITGA8,KHDRBS1,KHDRBS3,LEF1,LGALS9,LUM,MAGED2,MAMSTR,MAPK7,MEOX2,MESP2,MTPN,NCF1,NFKBIE,NIF3L1,NLRC3,NLRC4,NODAL,NOL3,PAX5,PCBD1,PDLIM1,PKIA,PLEKHN1,POU2AF1,PPIL1,PRKCQ,PRR5L,PYHIN1,RBL1,RELB,RGMA,RGS14,RHOH,RRP15,RUNX3,SHH,SKAP1,SLFN12,SLFN13,SMARCB1,SNAI2,SNRPA,SPIB,SYK,TAF9B,TARS2,TBX22,TCF7,TESC,TFDP1,TGFB1,TLR9,TRAF1,TRAF5,TRMT9B,TTF2,VEGFA,VGLL1,VIM,WAS,WDR6,WNT2,WNT7A,WWC1,ZNF202,ZNF519,ZNF692",115,115,111.97,115,10.7238052947636,0.659846077766769,"yellow"
"GO:0018130","GO:0018130","heterocycle biosynthetic process",0.037,"ABLIM3,ACLY,ACSL5,ACSS2,ADCY8,AFAP1L2,AIM2,ALAS2,ANXA4,APBB1,APLN,ATXN1,BCL11B,BCL6B,BEND5,BIN1,BLM,BRCA1,BTK,CAPRIN2,CCND1,CD36,CD4,CD74,CENPF,COL1A1,CRYM,CSF2,CX3CR1,DKK3,E2F1,ECM1,EFEMP1,EGR2,ELP2,FGF7,FGFR2,FGFR4,GAS6,HDAC9,HSD17B12,ID2,IKBKE,IKZF1,IKZF3,IL18RAP,IL1A,IL4I1,INTS4,IRF5,ITGA8,KHDRBS1,LEF1,LGALS9,LUM,MAGED2,MAMSTR,MAPK7,MEOX2,MESP2,MTPN,NCF1,NFKBIE,NIF3L1,NLRC3,NLRC4,NME4,NODAL,NT5E,PAX5,PCBD1,PDLIM1,PKIA,POU2AF1,PPT1,PRKCQ,PRPSAP2,PYCR1,PYHIN1,RBL1,RELB,RGMA,RGS14,RHOH,RPA1,RRM2,RUNX3,SHH,SKAP1,SMARCB1,SNAI2,SPIB,SYK,TAF9B,TBX22,TCF7,TESC,TFDP1,TGFB1,TK1,TLR9,TRAF1,TRAF5,TTF2,VEGFA,VGLL1,WAS,WNT2,WNT7A,WWC1,ZNF202,ZNF519,ZNF692",113,113,110.02,113,10.6301458127346,0.679806440127583,"yellow"
"GO:0019438","GO:0019438","aromatic compound biosynthetic process",0.037,"ABLIM3,ACLY,ACSL5,ACSS2,ADCY8,AFAP1L2,AIM2,ALAS2,ANXA4,APBB1,APLN,ATXN1,BCL11B,BCL6B,BEND5,BIN1,BLM,BRCA1,BTK,CAPRIN2,CCND1,CD36,CD4,CD74,CENPF,COL1A1,CRYM,CSF2,CX3CR1,DCT,DKK3,E2F1,ECM1,EFEMP1,EGR2,ELP2,FGF7,FGFR2,FGFR4,GAS6,HDAC9,HSD17B12,ID2,IKBKE,IKZF1,IKZF3,IL18RAP,IL1A,IL4I1,INTS4,IRF5,ITGA8,KHDRBS1,LEF1,LGALS9,LUM,MAGED2,MAMSTR,MAPK7,MEOX2,MESP2,MTPN,NCF1,NFKBIE,NIF3L1,NLRC3,NLRC4,NME4,NODAL,NT5E,PAX5,PCBD1,PDLIM1,PKIA,POU2AF1,PPT1,PRKCQ,PRPSAP2,PYHIN1,RBL1,RELB,RGMA,RGS14,RHOH,RPA1,RRM2,RUNX3,SHH,SKAP1,SMARCB1,SNAI2,SPIB,SYK,TAF9B,TBX22,TCF7,TESC,TFDP1,TGFB1,TK1,TLR9,TRAF1,TRAF5,TTF2,VEGFA,VGLL1,WAS,WNT2,WNT7A,WWC1,ZNF202,ZNF519,ZNF692",113,113,110.02,113,10.6301458127346,0.678602209664682,"yellow"
"GO:0019219","GO:0019219","regulation of nucleobase-containing compound metabolic process",0.04,"ABLIM3,ADCY8,AFAP1L2,AIM2,ANXA4,APBB1,APLN,ATXN1,BCL11B,BCL6B,BEND5,BIN1,BLM,BRCA1,BTK,CAPRIN2,CCND1,CD36,CD4,CD74,CDK1,CENPF,COL1A1,CRYM,CSF2,CX3CR1,DKK3,E2F1,ECM1,EFEMP1,EGR2,ELP2,EYA4,FGF7,FGFR2,FGFR4,GAS6,HDAC9,ID2,IKBKE,IKZF1,IKZF3,IL18RAP,IL1A,IL27RA,IL4I1,INTS4,IRF5,ITGA8,KHDRBS1,KHDRBS3,LEF1,LGALS9,LUM,MAGED2,MAMSTR,MAPK7,MCM2,MCM3,ME2,MEOX2,MESP2,MTPN,NCF1,NFKBIE,NIF3L1,NLRC3,NLRC4,NODAL,PAX5,PCBD1,PDLIM1,PKIA,PLEKHN1,POU2AF1,PRKCQ,PRR5L,PTPRC,PYHIN1,RBL1,RELB,RGMA,RGS14,RHOH,RUNX3,SHH,SKAP1,SMARCB1,SNAI2,SNRPA,SPIB,SYK,TAF9B,TBX22,TCF7,TESC,TFDP1,TGFB1,TLR9,TRAF1,TRAF5,VEGFA,VGLL1,VIM,WAS,WNT2,WNT7A,WWC1,ZNF202,ZNF519,ZNF692",111,111,108.07,111,10.5356537528527,0.672171840083326,"yellow"
"GO:0034654","GO:0034654","nucleobase-containing compound biosynthetic process",0.04,"ABLIM3,ACLY,ACSL5,ACSS2,ADCY8,AFAP1L2,AIM2,ANXA4,APBB1,APLN,ATXN1,BCL11B,BCL6B,BEND5,BIN1,BLM,BRCA1,BTK,CAPRIN2,CCND1,CD36,CD4,CD74,CENPF,COL1A1,CRYM,CSF2,CX3CR1,DKK3,E2F1,ECM1,EFEMP1,EGR2,ELP2,FGF7,FGFR2,FGFR4,GAS6,HDAC9,HSD17B12,ID2,IKBKE,IKZF1,IKZF3,IL18RAP,IL1A,IL4I1,INTS4,IRF5,ITGA8,KHDRBS1,LEF1,LGALS9,LUM,MAGED2,MAMSTR,MAPK7,MEOX2,MESP2,MTPN,NCF1,NFKBIE,NIF3L1,NLRC3,NLRC4,NME4,NODAL,NT5E,PAX5,PCBD1,PDLIM1,PKIA,POU2AF1,PPT1,PRKCQ,PRPSAP2,PYHIN1,RBL1,RELB,RGMA,RGS14,RHOH,RPA1,RRM2,RUNX3,SHH,SKAP1,SMARCB1,SNAI2,SPIB,SYK,TAF9B,TBX22,TCF7,TESC,TFDP1,TGFB1,TK1,TLR9,TRAF1,TRAF5,TTF2,VEGFA,VGLL1,WAS,WNT2,WNT7A,WWC1,ZNF202,ZNF519,ZNF692",111,111,108.07,111,10.5356537528527,0.665414156168928,"yellow"
"GO:0044249","GO:0044249","cellular biosynthetic process",0.043,"AACS,ABHD3,ABLIM3,ACLY,ACSL5,ACSM1,ACSS2,ADCY8,AFAP1L2,AIF1,AIM2,ALAS2,ANGPT1,ANXA4,APBB1,APLN,ATXN1,BACE2,BANK1,BCL11B,BCL6B,BEND5,BIN1,BLM,BRCA1,BTK,CAPRIN2,CARNS1,CCND1,CCR7,CD34,CD36,CD4,CD47,CD74,CENPF,CERKL,CHST7,COL1A1,CRPPA,CRYM,CSF2,CX3CR1,DCT,DECR2,DKK3,E2F1,ECM1,EEF2K,EFEMP1,EGR2,ELP2,FGF7,FGFR2,FGFR4,GALNT12,GAS6,GNPAT,GYG1,HDAC9,HS3ST1,HSD17B12,ID2,IKBKE,IKZF1,IKZF3,IL18RAP,IL1A,IL4I1,INTS4,IRF5,ITGA8,ITM2A,ITM2C,KHDRBS1,KLRK1,LEF1,LGALS9,LUM,MAGED2,MAMSTR,MAOB,MAPK7,MBOAT7,MEOX2,MESP2,MGLL,MPPE1,MTPN,NCF1,NFKBIE,NIF3L1,NLRC3,NLRC4,NME4,NODAL,NT5E,P2RX4,PAX5,PCBD1,PDGFA,PDLIM1,PGAP2,PHLDA1,PIK3CD,PIK3R6,PIP4K2A,PKIA,PLEK,PLEKHN1,PLSCR3,PM20D1,POU2AF1,PPP1R3C,PPT1,PRKCQ,PRPSAP2,PYCR1,PYHIN1,RBL1,RELB,RGMA,RGS14,RHOH,RPA1,RRM2,RUNX3,SH3BGRL,SHH,SIRT5,SKAP1,SLC35C1,SLC44A3,SMARCB1,SNAI2,SPIB,SPNS2,SRBD1,STC2,STT3A,SYK,TAF9B,TARS2,TBX22,TCF7,TESC,TFDP1,TGFB1,TK1,TLR9,TRAF1,TRAF5,TTF2,TUSC3,VEGFA,VGLL1,VIM,WAS,WNT2,WNT7A,WWC1,XXYLT1,ZDHHC3,ZNF202,ZNF519,ZNF692",166,167,162.6,166,12.8840987267251,0.639019993983426,"yellow"
