"CCA1"	"CCA2"
"AATK"	0.226368382450448	0.0543105596506108
"ABCC8"	0.290765551603099	0.0328114437274969
"ABCG4"	0.230044507091839	-0.0228451451357986
"ACSBG1"	0.362203203238529	0.100632223931443
"ACSL6"	0.226192871034139	0.219415737612446
"ACTL6B"	0.226071929775053	0.133183843413403
"ADAM11"	0.276712724762379	0.175248775764918
"ADAM22"	0.238096188620142	0.0634107957517115
"ADAM23"	0.204661934375396	0.182099985830814
"ADCY1"	0.215405446791886	0.182310816406853
"ADCY2"	0.20838168631175	-0.0191525359289858
"ADCY8"	0.208195556077451	-0.0510235914798928
"ADCYAP1"	0.211921965025588	0.0601956234187809
"ADCYAP1R1"	0.243834955673577	0.0684578099094108
"ADD2"	0.33956077004947	0.0844589555715792
"ADGRB1"	0.414428606027136	0.107387697790973
"ADGRB3"	0.312362225745342	0.084351403841462
"AGAP2"	0.285349301373312	0.0315502562093053
"AHI1"	0.23695181664502	-0.00543212878383611
"AIFM3"	0.226754676673048	0.118997756923572
"AJAP1"	0.210491042711392	0.0225774062950437
"AJM1"	0.297872354774399	0.0348771575860334
"AK5"	0.256274042638481	0.115558618876661
"AKAP6"	0.248854603517002	-0.0255155184380354
"ALDOC"	0.378152114996404	0.126216034515344
"AMER2"	0.308291571481016	0.0596503894580879
"AMPH"	0.346475455043196	-0.0242110512081051
"ANK1"	0.32502730697259	0.103989462731015
"ANK2"	0.303127334963766	0.0203735105838828
"ANKRD13D"	0.229544418378436	0.0232319248964986
"ANKRD34B"	0.247169318259179	0.0850025573237436
"ANKS1B"	0.377705969719965	0.107302284413917
"ANO3"	0.295979601103941	0.0724778456502205
"AP3B2"	0.366092906139137	0.0881354050384987
"APBA1"	0.273726203629904	0.0199641247888852
"APBA2"	0.322456385895109	0.124829490477053
"APBB1"	0.251724446134349	-0.0153014398612687
"APC2"	0.241593383567108	0.0740539171430984
"APLP1"	0.262016232332764	0.0409200271112677
"APOD"	0.22539786626117	0.050453521617166
"AQP4"	0.203378184454989	-0.0981929932327246
"ARHGAP20"	0.207473525543222	-0.016085766974042
"ARHGAP44"	0.205776008034077	-0.00895214533700079
"ARHGEF4"	0.223734345558845	0.0487979046793026
"ARHGEF9"	0.217121651958491	0.0693021152111122
"ARMCX2"	0.210698524468224	-0.0106628665113975
"ARPP21"	0.328727621464185	0.0730349019155302
"ASIC1"	0.278302098380195	0.0722758356276864
"ASIC2"	0.252578656759068	0.0427533645149584
"ASIC4"	0.204780607242865	-0.0029535869776688
"ASPHD1"	0.216182051646653	0.0597359708177423
"ASPHD2"	0.257009998815934	0.111146328349326
"ATP13A4"	0.267857738394897	0.025275997200496
"ATP13A5"	0.244405761778167	0.0592690569096322
"ATP1A2"	0.333645934514121	-0.0123241659527141
"ATP1A3"	0.488818503909853	0.158290870585716
"ATP1B2"	0.32531175163933	0.0653217792554575
"ATP2B2"	0.260765076901175	0.223782830946366
"ATP2B3"	0.327972558597535	0.121679210125567
"ATP6V0E2"	0.209816273958592	0.0537061314931685
"B3GAT1"	0.282995635593245	0.172583001484098
"B4GALNT4"	0.29037602183798	-0.0141119709665486
"B4GALT2"	0.221728391311998	0.0223287614442628
"BCAN"	0.270415517739932	0.132018453015896
"BCAT1"	0.292440100097835	0.0769666844104758
"BCL11A"	0.203228363763061	-0.0301366936156849
"BEGAIN"	0.244056878680391	0.0844736332784613
"BEND6"	0.345219950307845	0.0827867486099022
"BMERB1"	0.343584481231249	0.0646225659106453
"BRINP1"	0.370860752778848	0.0974496989542794
"BRINP3"	0.236542127133026	0.0703168650961507
"BRSK1"	0.3467431787769	0.097465256451719
"BRSK2"	0.339707189206568	0.0886103250946628
