"","sex","total_weight_delta","pro_weight","Na","BUN","AnGap","K","Crea","Hct","Cl","Glu","Hb.","TCO2","iCa","trt","mean_RQ","mean_EE","mean_H2Og","body_temp_3"
"MEbrown",0.767644554455889,0.000222952197589029,1.49051865690463e-05,4.4510695095773e-07,1.26182753673746e-06,0.360901976791743,0.827628889281564,0.158351568244044,2.2565860696615e-06,1.70637158812109e-05,0.642012680280996,2.33869050685753e-06,0.0022442021842551,0.60442013707315,0.000260955516610986,0.0208040634944581,0.78432293357912,0.0354413599577804,0.103426990512817
"MElightcyan",0.425910746055753,0.210039234490907,0.223073185044806,0.728067945836256,0.000874065934897289,0.963505009405213,0.577764331642288,0.611932848943038,0.421008687845564,0.72045186347349,0.751003969609981,0.426804734329022,0.322662348185421,0.468536424534706,0.16804669424093,0.125107648166841,0.00455745246374149,0.0112694036544968,0.631199150174698
"MEsalmon",0.504879483883486,0.358158705302436,0.446187813242656,0.245934742402673,0.00600697365846414,0.257006228335219,0.0870098005994383,0.973205687721936,0.983928898501406,0.12107619924918,0.665512886625866,0.972796497439292,0.63091857047022,0.000199470572104467,0.198159226567739,0.0992220434220338,0.00856164592603947,0.0164454637472447,0.0509714993133774
"MEturquoise",0.542968547388846,0.0642358625742517,0.0508471982035673,0.082398793596191,0.00915328640442824,0.765713493630006,0.931240520701632,0.874302421438923,0.055868139094886,0.146637787777315,0.924743155474132,0.0562883095736594,0.293119528069562,0.204788104162911,0.0466013351668651,0.36272417080173,0.574426060784223,0.0703532680426957,0.386928475890512
"MEblack",0.483871445129449,0.887593189998203,0.64956360579547,0.0862445427074452,0.865971299020067,0.953497555822195,0.784575692922935,0.208636415020304,0.270000589746401,0.0580477764772463,0.870383392072479,0.268078250305441,0.214267811572351,0.245225565413525,0.981697930568717,0.901400002712856,0.260897689557183,0.224547362092589,0.414415817895393
"MEpink",0.427826124343259,0.172069146454478,0.135427120118882,0.0537764083445964,0.18806787132703,0.327157491399279,0.717793157853078,0.829097867253472,0.229410062421968,0.0824078651835739,0.430786666202923,0.2324558270065,0.291997799679544,0.322880327805079,0.278387646846942,0.262955867706049,0.867358488254595,0.612739783007033,0.791163641366797
"MEyellow",0.472737546464658,0.965285898925733,0.956774627138825,0.487998083203283,0.823695472036643,0.673772938419879,0.879156228470076,0.851844541021092,0.989840401565566,0.463078020354216,0.739134162211515,0.986251426097319,0.68700983436229,0.241444654000416,0.848526848385916,0.686238683771293,0.891158762958581,0.410311636936316,0.74229639781174
"MEcyan",0.713401836031934,0.323630144157287,0.288591914033724,0.00332850167344096,0.266870455093758,0.25088457090863,0.641084499492151,0.556115612343045,0.251685580362104,0.000792387379834989,0.491204262801552,0.254624999519588,0.63625636500156,0.404499138704236,0.498594985315593,0.766613782164583,0.834816821251316,0.145848582409352,0.925545052848432
"MEred",0.521040615008421,0.125818853394503,0.0538563539282116,0.255493851770032,0.0351075304637006,0.70050573318959,0.62688151323038,0.0483698300657903,0.0222172812958772,0.595936605490336,0.307383726823073,0.0219084777632431,0.0374895556529299,0.355890175214465,0.063139388748049,0.297165457111074,0.984819101986975,0.00456698923355215,0.0554857822462588
"MEmagenta",0.702267783848267,0.342062225650562,0.548736330794841,0.0526491239247746,0.150682127584385,0.904489097934996,0.00898127870103022,0.391121891191143,0.851447755550675,0.0438393434854601,0.841588678442787,0.847993052629856,0.843359759554577,0.00754424026179723,0.307681926911101,0.119619069073517,0.112136929598171,0.190201819607275,0.0571357116632152
"MEpurple",0.618000293541757,0.000476776182593096,0.000742454503741742,0.135711226848054,7.64060702098129e-06,0.799040859968835,0.157521038353579,0.259107833611189,0.00152513005355423,0.259698753891759,0.813426095759688,0.00151213261058998,0.0617939796571416,0.0237630078903,0.000525787814586025,0.00782557392699214,0.224412037397753,0.00803669416629385,0.92632371687691
"MEtan",0.104676205998219,0.392322975822093,0.507395113949432,0.940701473837959,0.456745009385792,0.00611432190432533,0.023494682220275,0.357402950621894,0.733048193269604,0.530359672422493,0.562905952364714,0.74759148151506,0.0799956618531037,0.0725660860658557,0.389953138208375,0.826353911776106,0.74294263706962,0.914080315055724,0.36477957919938
"MEgreenyellow",0.722921027796382,0.345509184188299,0.418120134314919,0.052530213897913,0.643860871964242,0.267393784796152,0.241735774136595,0.197698317140077,0.564788455169777,0.0255707918441992,0.315928768335142,0.577306259665025,0.64808899029369,0.952690175733103,0.398450156204048,0.660895548342431,0.625249702478313,0.860751600148607,0.866241268366605
"MEmidnightblue",0.506286137709525,0.331749155279244,0.344946176698136,0.00661913179877946,0.814138372750887,0.115558921095978,0.112648626207635,0.169000363657855,0.63047746028871,0.00338547798168221,0.680215931228446,0.646188430787575,0.957331685799031,0.307696338534018,0.452307967152148,0.45708027876462,0.454862464468345,0.870894105492901,0.833455297861456
"MEblue",0.672020061414084,0.00622374827582128,0.00242332569265224,0.0012220919887382,0.000266381524444554,0.459919784786957,0.924814407218041,0.541591795416982,0.00132395756745487,0.00367059946407655,0.95653727517169,0.00134572315901083,0.0793908600169043,0.304056934429957,0.00456164720837369,0.150719745426528,0.74830413494069,0.0501990693493513,0.198630976542837
"MEgreen",0.720130457311843,0.000525480010716182,4.51865382311416e-05,5.77809738594098e-09,2.55465111310454e-05,0.400816549720787,0.692795915818605,0.308355445476619,8.64273352752981e-06,6.32637014716386e-07,0.759760287133907,8.96317017736689e-06,0.00211306174765271,0.669480123437574,0.00106669177054988,0.0385441054067537,0.940731202415898,0.111555524656472,0.0639189300145067
"MEgrey",0.615843487078311,0.0263453708160572,0.00696643560478887,9.24423994580904e-06,0.00737175158098441,0.486446474623965,0.883663322679115,0.23475163507876,0.00149452719402638,2.76801133611873e-05,0.549236173905171,0.00150524306673106,0.0106168922085254,0.329782222614101,0.0503525301594793,0.139968954577268,0.940588760136291,0.796783597235296,0.138603768611877
